"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"central_northeast";"morning peak";"108";"Monday";1
"2017-01-03";"central_northeast";"morning peak";"104";"Tuesday";1
"2017-01-04";"central_northeast";"morning peak";"87";"Wednesday";1
"2017-01-05";"central_northeast";"morning peak";"107";"Thursday";1
"2017-01-06";"central_northeast";"morning peak";"101";"Friday";1
"2017-01-09";"central_northeast";"morning peak";"92";"Monday";1
"2017-01-10";"central_northeast";"morning peak";"80";"Tuesday";1
"2017-01-11";"central_northeast";"morning peak";"82";"Wednesday";1
"2017-01-12";"central_northeast";"morning peak";"94";"Thursday";1
"2017-01-13";"central_northeast";"morning peak";"96";"Friday";1
"2017-01-16";"central_northeast";"morning peak";"131";"Monday";1
"2017-01-17";"central_northeast";"morning peak";"120";"Tuesday";1
"2017-01-18";"central_northeast";"morning peak";"103";"Wednesday";1
"2017-01-19";"central_northeast";"morning peak";"127";"Thursday";1
"2017-01-20";"central_northeast";"morning peak";"121";"Friday";1
"2017-01-23";"central_northeast";"morning peak";"119";"Monday";1
"2017-01-24";"central_northeast";"morning peak";"138";"Tuesday";1
"2017-01-25";"central_northeast";"morning peak";"116";"Wednesday";1
"2017-01-26";"central_northeast";"morning peak";"138";"Thursday";1
"2017-01-27";"central_northeast";"morning peak";"141";"Friday";1
"2017-01-30";"central_northeast";"morning peak";"140";"Monday";1
"2017-01-31";"central_northeast";"morning peak";"110";"Tuesday";1
"2017-02-01";"central_northeast";"morning peak";"142";"Wednesday";2
"2017-02-02";"central_northeast";"morning peak";"151";"Thursday";2
"2017-02-03";"central_northeast";"morning peak";"148";"Friday";2
"2017-02-06";"central_northeast";"morning peak";"160";"Monday";2
"2017-02-07";"central_northeast";"morning peak";"164";"Tuesday";2
"2017-02-08";"central_northeast";"morning peak";"154";"Wednesday";2
"2017-02-09";"central_northeast";"morning peak";"146";"Thursday";2
"2017-02-10";"central_northeast";"morning peak";"168";"Friday";2
"2017-02-13";"central_northeast";"morning peak";"186";"Monday";2
"2017-02-14";"central_northeast";"morning peak";"191";"Tuesday";2
"2017-02-15";"central_northeast";"morning peak";"186";"Wednesday";2
"2017-02-16";"central_northeast";"morning peak";"167";"Thursday";2
"2017-02-17";"central_northeast";"morning peak";"193";"Friday";2
"2017-02-20";"central_northeast";"morning peak";"188";"Monday";2
"2017-02-21";"central_northeast";"morning peak";"209";"Tuesday";2
"2017-02-22";"central_northeast";"morning peak";"190";"Wednesday";2
"2017-02-23";"central_northeast";"morning peak";"156";"Thursday";2
"2017-02-24";"central_northeast";"morning peak";"160";"Friday";2
"2017-02-27";"central_northeast";"morning peak";NA;"Monday";2
"2017-02-28";"central_northeast";"morning peak";NA;"Tuesday";2
"2017-03-01";"central_northeast";"morning peak";NA;"Wednesday";3
"2017-03-02";"central_northeast";"morning peak";"161";"Thursday";3
"2017-03-03";"central_northeast";"morning peak";"120";"Friday";3
"2017-03-06";"central_northeast";"morning peak";"164";"Monday";3
"2017-03-07";"central_northeast";"morning peak";"152";"Tuesday";3
"2017-03-08";"central_northeast";"morning peak";"190";"Wednesday";3
"2017-03-09";"central_northeast";"morning peak";"124";"Thursday";3
"2017-03-10";"central_northeast";"morning peak";"158";"Friday";3
"2017-03-13";"central_northeast";"morning peak";"165";"Monday";3
"2017-03-14";"central_northeast";"morning peak";"171";"Tuesday";3
"2017-03-15";"central_northeast";"morning peak";"182";"Wednesday";3
"2017-03-16";"central_northeast";"morning peak";"159";"Thursday";3
"2017-03-17";"central_northeast";"morning peak";"188";"Friday";3
"2017-03-20";"central_northeast";"morning peak";"81";"Monday";3
"2017-03-21";"central_northeast";"morning peak";"200";"Tuesday";3
"2017-03-22";"central_northeast";"morning peak";"177";"Wednesday";3
"2017-03-23";"central_northeast";"morning peak";"157";"Thursday";3
"2017-03-24";"central_northeast";"morning peak";"126";"Friday";3
"2017-03-27";"central_northeast";"morning peak";"156";"Monday";3
"2017-03-28";"central_northeast";"morning peak";"156";"Tuesday";3
"2017-03-29";"central_northeast";"morning peak";"179";"Wednesday";3
"2017-03-30";"central_northeast";"morning peak";"163";"Thursday";3
"2017-03-31";"central_northeast";"morning peak";"175";"Friday";3
"2017-04-03";"central_northeast";"morning peak";"196";"Monday";4
"2017-04-04";"central_northeast";"morning peak";"162";"Tuesday";4
"2017-04-05";"central_northeast";"morning peak";"120";"Wednesday";4
"2017-04-06";"central_northeast";"morning peak";"135";"Thursday";4
"2017-04-07";"central_northeast";"morning peak";"183";"Friday";4
"2017-04-10";"central_northeast";"morning peak";"170";"Monday";4
"2017-04-11";"central_northeast";"morning peak";"152";"Tuesday";4
"2017-04-12";"central_northeast";"morning peak";"148";"Wednesday";4
"2017-04-13";"central_northeast";"morning peak";NA;"Thursday";4
"2017-04-14";"central_northeast";"morning peak";NA;"Friday";4
"2017-04-17";"central_northeast";"morning peak";"150";"Monday";4
"2017-04-18";"central_northeast";"morning peak";"168";"Tuesday";4
"2017-04-19";"central_northeast";"morning peak";"182";"Wednesday";4
"2017-04-20";"central_northeast";"morning peak";"218";"Thursday";4
"2017-04-21";"central_northeast";"morning peak";NA;"Friday";4
"2017-04-24";"central_northeast";"morning peak";"123";"Monday";4
"2017-04-25";"central_northeast";"morning peak";"190";"Tuesday";4
"2017-04-26";"central_northeast";"morning peak";"189";"Wednesday";4
"2017-04-27";"central_northeast";"morning peak";"187";"Thursday";4
"2017-04-28";"central_northeast";"morning peak";"158";"Friday";4
"2017-05-01";"central_northeast";"morning peak";NA;"Monday";5
"2017-05-02";"central_northeast";"morning peak";"172";"Tuesday";5
"2017-05-03";"central_northeast";"morning peak";"169";"Wednesday";5
"2017-05-04";"central_northeast";"morning peak";"192";"Thursday";5
"2017-05-05";"central_northeast";"morning peak";"188";"Friday";5
"2017-05-08";"central_northeast";"morning peak";"165";"Monday";5
"2017-05-09";"central_northeast";"morning peak";"209";"Tuesday";5
"2017-05-10";"central_northeast";"morning peak";"74";"Wednesday";5
"2017-05-11";"central_northeast";"morning peak";"145";"Thursday";5
"2017-05-12";"central_northeast";"morning peak";"145";"Friday";5
"2017-05-15";"central_northeast";"morning peak";"135";"Monday";5
"2017-05-16";"central_northeast";"morning peak";"145";"Tuesday";5
"2017-05-17";"central_northeast";"morning peak";"152";"Wednesday";5
"2017-05-18";"central_northeast";"morning peak";"134";"Thursday";5
"2017-05-19";"central_northeast";"morning peak";"138";"Friday";5
"2017-05-22";"central_northeast";"morning peak";"145";"Monday";5
"2017-05-23";"central_northeast";"morning peak";"115";"Tuesday";5
"2017-05-24";"central_northeast";"morning peak";"126";"Wednesday";5
"2017-05-25";"central_northeast";"morning peak";"147";"Thursday";5
"2017-05-26";"central_northeast";"morning peak";"116";"Friday";5
"2017-05-29";"central_northeast";"morning peak";"66";"Monday";5
"2017-05-30";"central_northeast";"morning peak";NA;"Tuesday";5
"2017-05-31";"central_northeast";"morning peak";"62";"Wednesday";5
"2017-06-01";"central_northeast";"morning peak";"128";"Thursday";6
"2017-06-02";"central_northeast";"morning peak";"154";"Friday";6
"2017-06-05";"central_northeast";"morning peak";"164";"Monday";6
"2017-06-06";"central_northeast";"morning peak";"123";"Tuesday";6
"2017-06-07";"central_northeast";"morning peak";"155";"Wednesday";6
"2017-06-08";"central_northeast";"morning peak";"136";"Thursday";6
"2017-06-09";"central_northeast";"morning peak";"130";"Friday";6
"2017-06-12";"central_northeast";"morning peak";"125";"Monday";6
"2017-06-13";"central_northeast";"morning peak";"141";"Tuesday";6
"2017-06-14";"central_northeast";"morning peak";"142";"Wednesday";6
"2017-06-15";"central_northeast";"morning peak";NA;"Thursday";6
"2017-06-16";"central_northeast";"morning peak";"142";"Friday";6
"2017-06-19";"central_northeast";"morning peak";"74";"Monday";6
"2017-06-20";"central_northeast";"morning peak";"162";"Tuesday";6
"2017-06-21";"central_northeast";"morning peak";"141";"Wednesday";6
"2017-06-22";"central_northeast";"morning peak";"159";"Thursday";6
"2017-06-23";"central_northeast";"morning peak";"173";"Friday";6
"2017-06-26";"central_northeast";"morning peak";"151";"Monday";6
"2017-06-27";"central_northeast";"morning peak";"147";"Tuesday";6
"2017-06-28";"central_northeast";"morning peak";"140";"Wednesday";6
"2017-06-29";"central_northeast";"morning peak";"115";"Thursday";6
"2017-06-30";"central_northeast";"morning peak";"147";"Friday";6
"2017-07-03";"central_northeast";"morning peak";"112";"Monday";7
"2017-07-04";"central_northeast";"morning peak";"134";"Tuesday";7
"2017-07-05";"central_northeast";"morning peak";"134";"Wednesday";7
"2017-07-06";"central_northeast";"morning peak";"128";"Thursday";7
"2017-07-07";"central_northeast";"morning peak";"151";"Friday";7
"2017-07-10";"central_northeast";"morning peak";"106";"Monday";7
"2017-07-11";"central_northeast";"morning peak";"103";"Tuesday";7
"2017-07-12";"central_northeast";"morning peak";"113";"Wednesday";7
"2017-07-13";"central_northeast";"morning peak";"98";"Thursday";7
"2017-07-14";"central_northeast";"morning peak";NA;"Friday";7
"2017-07-17";"central_northeast";"morning peak";"103";"Monday";7
"2017-07-18";"central_northeast";"morning peak";"131";"Tuesday";7
"2017-07-19";"central_northeast";"morning peak";"118";"Wednesday";7
"2017-07-20";"central_northeast";"morning peak";"77";"Thursday";7
"2017-07-21";"central_northeast";"morning peak";"107";"Friday";7
"2017-07-24";"central_northeast";"morning peak";"119";"Monday";7
"2017-07-25";"central_northeast";"morning peak";"103";"Tuesday";7
"2017-07-26";"central_northeast";"morning peak";"112";"Wednesday";7
"2017-07-27";"central_northeast";"morning peak";"103";"Thursday";7
"2017-07-28";"central_northeast";"morning peak";"126";"Friday";7
"2017-07-31";"central_northeast";"morning peak";"120";"Monday";7
"2017-08-01";"central_northeast";"morning peak";"144";"Tuesday";8
"2017-08-02";"central_northeast";"morning peak";"163";"Wednesday";8
"2017-08-03";"central_northeast";"morning peak";"154";"Thursday";8
"2017-08-04";"central_northeast";"morning peak";"152";"Friday";8
"2017-08-07";"central_northeast";"morning peak";"171";"Monday";8
"2017-08-08";"central_northeast";"morning peak";"171";"Tuesday";8
"2017-08-09";"central_northeast";"morning peak";"150";"Wednesday";8
"2017-08-10";"central_northeast";"morning peak";"178";"Thursday";8
"2017-08-11";"central_northeast";"morning peak";"160";"Friday";8
"2017-08-14";"central_northeast";"morning peak";"116";"Monday";8
"2017-08-15";"central_northeast";"morning peak";"75";"Tuesday";8
"2017-08-16";"central_northeast";"morning peak";"146";"Wednesday";8
"2017-08-17";"central_northeast";"morning peak";"142";"Thursday";8
"2017-08-18";"central_northeast";"morning peak";"182";"Friday";8
"2017-08-21";"central_northeast";"morning peak";"145";"Monday";8
"2017-08-22";"central_northeast";"morning peak";"147";"Tuesday";8
"2017-08-23";"central_northeast";"morning peak";"153";"Wednesday";8
"2017-08-24";"central_northeast";"morning peak";"156";"Thursday";8
"2017-08-25";"central_northeast";"morning peak";"153";"Friday";8
"2017-08-28";"central_northeast";"morning peak";"151";"Monday";8
"2017-08-29";"central_northeast";"morning peak";"142";"Tuesday";8
"2017-08-30";"central_northeast";"morning peak";"152";"Wednesday";8
"2017-08-31";"central_northeast";"morning peak";"182";"Thursday";8
"2017-09-01";"central_northeast";"morning peak";"171";"Friday";9
"2017-09-04";"central_northeast";"morning peak";"146";"Monday";9
"2017-09-05";"central_northeast";"morning peak";"142";"Tuesday";9
