"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"central_northwest";"morning peak";"927";"Monday";1
"2017-01-03";"central_northwest";"morning peak";"940";"Tuesday";1
"2017-01-04";"central_northwest";"morning peak";"784";"Wednesday";1
"2017-01-05";"central_northwest";"morning peak";"993";"Thursday";1
"2017-01-06";"central_northwest";"morning peak";"960";"Friday";1
"2017-01-09";"central_northwest";"morning peak";"1078";"Monday";1
"2017-01-10";"central_northwest";"morning peak";"1064";"Tuesday";1
"2017-01-11";"central_northwest";"morning peak";"1155";"Wednesday";1
"2017-01-12";"central_northwest";"morning peak";"1104";"Thursday";1
"2017-01-13";"central_northwest";"morning peak";"930";"Friday";1
"2017-01-16";"central_northwest";"morning peak";"1059";"Monday";1
"2017-01-17";"central_northwest";"morning peak";"1048";"Tuesday";1
"2017-01-18";"central_northwest";"morning peak";"1052";"Wednesday";1
"2017-01-19";"central_northwest";"morning peak";"1128";"Thursday";1
"2017-01-20";"central_northwest";"morning peak";"1080";"Friday";1
"2017-01-23";"central_northwest";"morning peak";"1160";"Monday";1
"2017-01-24";"central_northwest";"morning peak";"1119";"Tuesday";1
"2017-01-25";"central_northwest";"morning peak";"1111";"Wednesday";1
"2017-01-26";"central_northwest";"morning peak";"1120";"Thursday";1
"2017-01-27";"central_northwest";"morning peak";"1081";"Friday";1
"2017-01-30";"central_northwest";"morning peak";"1160";"Monday";1
"2017-01-31";"central_northwest";"morning peak";"841";"Tuesday";1
"2017-02-01";"central_northwest";"morning peak";"1157";"Wednesday";2
"2017-02-02";"central_northwest";"morning peak";"1154";"Thursday";2
"2017-02-03";"central_northwest";"morning peak";"1074";"Friday";2
"2017-02-06";"central_northwest";"morning peak";"1240";"Monday";2
"2017-02-07";"central_northwest";"morning peak";"1126";"Tuesday";2
"2017-02-08";"central_northwest";"morning peak";"1146";"Wednesday";2
"2017-02-09";"central_northwest";"morning peak";"1189";"Thursday";2
"2017-02-10";"central_northwest";"morning peak";"1139";"Friday";2
"2017-02-13";"central_northwest";"morning peak";"1130";"Monday";2
"2017-02-14";"central_northwest";"morning peak";"1123";"Tuesday";2
"2017-02-15";"central_northwest";"morning peak";"1075";"Wednesday";2
"2017-02-16";"central_northwest";"morning peak";"1124";"Thursday";2
"2017-02-17";"central_northwest";"morning peak";"1169";"Friday";2
"2017-02-20";"central_northwest";"morning peak";"1098";"Monday";2
"2017-02-21";"central_northwest";"morning peak";"1068";"Tuesday";2
"2017-02-22";"central_northwest";"morning peak";"1113";"Wednesday";2
"2017-02-23";"central_northwest";"morning peak";"1153";"Thursday";2
"2017-02-24";"central_northwest";"morning peak";"1059";"Friday";2
"2017-02-27";"central_northwest";"morning peak";NA;"Monday";2
"2017-02-28";"central_northwest";"morning peak";NA;"Tuesday";2
"2017-03-01";"central_northwest";"morning peak";NA;"Wednesday";3
"2017-03-02";"central_northwest";"morning peak";"920";"Thursday";3
"2017-03-03";"central_northwest";"morning peak";"809";"Friday";3
"2017-03-06";"central_northwest";"morning peak";"1200";"Monday";3
"2017-03-07";"central_northwest";"morning peak";"1099";"Tuesday";3
"2017-03-08";"central_northwest";"morning peak";"1194";"Wednesday";3
"2017-03-09";"central_northwest";"morning peak";"935";"Thursday";3
"2017-03-10";"central_northwest";"morning peak";"1079";"Friday";3
"2017-03-13";"central_northwest";"morning peak";"1217";"Monday";3
"2017-03-14";"central_northwest";"morning peak";"1261";"Tuesday";3
"2017-03-15";"central_northwest";"morning peak";"1146";"Wednesday";3
"2017-03-16";"central_northwest";"morning peak";"1270";"Thursday";3
"2017-03-17";"central_northwest";"morning peak";"1093";"Friday";3
"2017-03-20";"central_northwest";"morning peak";"1242";"Monday";3
