"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"central_south-west";"morning peak";"166";"Monday";1
"2017-01-03";"central_south-west";"morning peak";"151";"Tuesday";1
"2017-01-04";"central_south-west";"morning peak";NA;"Wednesday";1
"2017-01-05";"central_south-west";"morning peak";"161";"Thursday";1
"2017-01-06";"central_south-west";"morning peak";"179";"Friday";1
"2017-01-09";"central_south-west";"morning peak";"203";"Monday";1
"2017-01-10";"central_south-west";"morning peak";"217";"Tuesday";1
"2017-01-11";"central_south-west";"morning peak";"177";"Wednesday";1
"2017-01-12";"central_south-west";"morning peak";"213";"Thursday";1
"2017-01-13";"central_south-west";"morning peak";"171";"Friday";1
"2017-01-16";"central_south-west";"morning peak";"177";"Monday";1
"2017-01-17";"central_south-west";"morning peak";"173";"Tuesday";1
"2017-01-18";"central_south-west";"morning peak";"200";"Wednesday";1
"2017-01-19";"central_south-west";"morning peak";"226";"Thursday";1
"2017-01-20";"central_south-west";"morning peak";"179";"Friday";1
"2017-01-23";"central_south-west";"morning peak";"193";"Monday";1
"2017-01-24";"central_south-west";"morning peak";"215";"Tuesday";1
"2017-01-25";"central_south-west";"morning peak";"235";"Wednesday";1
"2017-01-26";"central_south-west";"morning peak";"222";"Thursday";1
"2017-01-27";"central_south-west";"morning peak";"194";"Friday";1
"2017-01-30";"central_south-west";"morning peak";"208";"Monday";1
"2017-01-31";"central_south-west";"morning peak";"171";"Tuesday";1
"2017-02-01";"central_south-west";"morning peak";"221";"Wednesday";2
"2017-02-02";"central_south-west";"morning peak";"238";"Thursday";2
"2017-02-03";"central_south-west";"morning peak";"212";"Friday";2
"2017-02-06";"central_south-west";"morning peak";"250";"Monday";2
"2017-02-07";"central_south-west";"morning peak";"215";"Tuesday";2
"2017-02-08";"central_south-west";"morning peak";"233";"Wednesday";2
"2017-02-09";"central_south-west";"morning peak";"210";"Thursday";2
"2017-02-10";"central_south-west";"morning peak";"210";"Friday";2
"2017-02-13";"central_south-west";"morning peak";"212";"Monday";2
"2017-02-14";"central_south-west";"morning peak";"160";"Tuesday";2
"2017-02-15";"central_south-west";"morning peak";"214";"Wednesday";2
"2017-02-16";"central_south-west";"morning peak";"227";"Thursday";2
"2017-02-17";"central_south-west";"morning peak";"187";"Friday";2
"2017-02-20";"central_south-west";"morning peak";"180";"Monday";2
"2017-02-21";"central_south-west";"morning peak";"218";"Tuesday";2
"2017-02-22";"central_south-west";"morning peak";"246";"Wednesday";2
"2017-02-23";"central_south-west";"morning peak";"192";"Thursday";2
"2017-02-24";"central_south-west";"morning peak";"175";"Friday";2
"2017-02-27";"central_south-west";"morning peak";NA;"Monday";2
"2017-02-28";"central_south-west";"morning peak";NA;"Tuesday";2
"2017-03-01";"central_south-west";"morning peak";NA;"Wednesday";3
"2017-03-02";"central_south-west";"morning peak";"184";"Thursday";3
"2017-03-03";"central_south-west";"morning peak";"202";"Friday";3
"2017-03-06";"central_south-west";"morning peak";"167";"Monday";3
"2017-03-07";"central_south-west";"morning peak";"236";"Tuesday";3
"2017-03-08";"central_south-west";"morning peak";"231";"Wednesday";3
"2017-03-09";"central_south-west";"morning peak";"181";"Thursday";3
"2017-03-10";"central_south-west";"morning peak";"214";"Friday";3
"2017-03-13";"central_south-west";"morning peak";"217";"Monday";3
"2017-03-14";"central_south-west";"morning peak";"225";"Tuesday";3
"2017-03-15";"central_south-west";"morning peak";"191";"Wednesday";3
"2017-03-16";"central_south-west";"morning peak";"219";"Thursday";3
"2017-03-17";"central_south-west";"morning peak";"208";"Friday";3
"2017-03-20";"central_south-west";"morning peak";"219";"Monday";3
"2017-03-21";"central_south-west";"morning peak";"237";"Tuesday";3
"2017-03-22";"central_south-west";"morning peak";"248";"Wednesday";3
"2017-03-23";"central_south-west";"morning peak";"231";"Thursday";3
"2017-03-24";"central_south-west";"morning peak";"220";"Friday";3
"2017-03-27";"central_south-west";"morning peak";"229";"Monday";3
"2017-03-28";"central_south-west";"morning peak";"200";"Tuesday";3
"2017-03-29";"central_south-west";"morning peak";"215";"Wednesday";3
"2017-03-30";"central_south-west";"morning peak";"248";"Thursday";3
"2017-03-31";"central_south-west";"morning peak";"212";"Friday";3
"2017-04-03";"central_south-west";"morning peak";"210";"Monday";4
"2017-04-04";"central_south-west";"morning peak";"198";"Tuesday";4
"2017-04-05";"central_south-west";"morning peak";"174";"Wednesday";4
"2017-04-06";"central_south-west";"morning peak";"199";"Thursday";4
"2017-04-07";"central_south-west";"morning peak";"227";"Friday";4
"2017-04-10";"central_south-west";"morning peak";"240";"Monday";4
"2017-04-11";"central_south-west";"morning peak";"187";"Tuesday";4
"2017-04-12";"central_south-west";"morning peak";"231";"Wednesday";4
"2017-04-13";"central_south-west";"morning peak";NA;"Thursday";4
"2017-04-14";"central_south-west";"morning peak";NA;"Friday";4
"2017-04-17";"central_south-west";"morning peak";"257";"Monday";4
"2017-04-18";"central_south-west";"morning peak";"246";"Tuesday";4
"2017-04-19";"central_south-west";"morning peak";"220";"Wednesday";4
"2017-04-20";"central_south-west";"morning peak";"226";"Thursday";4
"2017-04-21";"central_south-west";"morning peak";NA;"Friday";4
"2017-04-24";"central_south-west";"morning peak";"202";"Monday";4
"2017-04-25";"central_south-west";"morning peak";"250";"Tuesday";4
"2017-04-26";"central_south-west";"morning peak";"264";"Wednesday";4
"2017-04-27";"central_south-west";"morning peak";"283";"Thursday";4
"2017-04-28";"central_south-west";"morning peak";"223";"Friday";4
