"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"central_south";"morning peak";"232";"Monday";1
"2017-01-03";"central_south";"morning peak";"252";"Tuesday";1
"2017-01-04";"central_south";"morning peak";"245";"Wednesday";1
"2017-01-05";"central_south";"morning peak";"280";"Thursday";1
"2017-01-06";"central_south";"morning peak";"357";"Friday";1
"2017-01-09";"central_south";"morning peak";"345";"Monday";1
"2017-01-10";"central_south";"morning peak";"347";"Tuesday";1
"2017-01-11";"central_south";"morning peak";"292";"Wednesday";1
"2017-01-12";"central_south";"morning peak";"264";"Thursday";1
"2017-01-13";"central_south";"morning peak";"259";"Friday";1
"2017-01-16";"central_south";"morning peak";"313";"Monday";1
"2017-01-17";"central_south";"morning peak";"320";"Tuesday";1
"2017-01-18";"central_south";"morning peak";"279";"Wednesday";1
"2017-01-19";"central_south";"morning peak";"308";"Thursday";1
"2017-01-20";"central_south";"morning peak";"253";"Friday";1
"2017-01-23";"central_south";"morning peak";"314";"Monday";1
"2017-01-24";"central_south";"morning peak";"330";"Tuesday";1
"2017-01-25";"central_south";"morning peak";"294";"Wednesday";1
"2017-01-26";"central_south";"morning peak";"301";"Thursday";1
"2017-01-27";"central_south";"morning peak";"329";"Friday";1
"2017-01-30";"central_south";"morning peak";"333";"Monday";1
"2017-01-31";"central_south";"morning peak";"233";"Tuesday";1
"2017-02-01";"central_south";"morning peak";"292";"Wednesday";2
"2017-02-02";"central_south";"morning peak";"265";"Thursday";2
"2017-02-03";"central_south";"morning peak";"340";"Friday";2
"2017-02-06";"central_south";"morning peak";"322";"Monday";2
"2017-02-07";"central_south";"morning peak";"347";"Tuesday";2
"2017-02-08";"central_south";"morning peak";"334";"Wednesday";2
"2017-02-09";"central_south";"morning peak";"352";"Thursday";2
"2017-02-10";"central_south";"morning peak";"305";"Friday";2
"2017-02-13";"central_south";"morning peak";"388";"Monday";2
"2017-02-14";"central_south";"morning peak";"369";"Tuesday";2
"2017-02-15";"central_south";"morning peak";"413";"Wednesday";2
"2017-02-16";"central_south";"morning peak";"332";"Thursday";2
"2017-02-17";"central_south";"morning peak";"353";"Friday";2
"2017-02-20";"central_south";"morning peak";"319";"Monday";2
"2017-02-21";"central_south";"morning peak";"210";"Tuesday";2
"2017-02-22";"central_south";"morning peak";"368";"Wednesday";2
"2017-02-23";"central_south";"morning peak";"357";"Thursday";2
"2017-02-24";"central_south";"morning peak";"325";"Friday";2
"2017-02-27";"central_south";"morning peak";NA;"Monday";2
"2017-02-28";"central_south";"morning peak";NA;"Tuesday";2
"2017-03-01";"central_south";"morning peak";NA;"Wednesday";3
"2017-03-02";"central_south";"morning peak";"349";"Thursday";3
"2017-03-03";"central_south";"morning peak";"261";"Friday";3
"2017-03-06";"central_south";"morning peak";"377";"Monday";3
"2017-03-07";"central_south";"morning peak";"435";"Tuesday";3
"2017-03-08";"central_south";"morning peak";"457";"Wednesday";3
"2017-03-09";"central_south";"morning peak";"269";"Thursday";3
"2017-03-10";"central_south";"morning peak";"350";"Friday";3
"2017-03-13";"central_south";"morning peak";"350";"Monday";3
"2017-03-14";"central_south";"morning peak";"421";"Tuesday";3
"2017-03-15";"central_south";"morning peak";"408";"Wednesday";3
"2017-03-16";"central_south";"morning peak";"375";"Thursday";3
"2017-03-17";"central_south";"morning peak";"368";"Friday";3
"2017-03-20";"central_south";"morning peak";"204";"Monday";3
"2017-03-21";"central_south";"morning peak";"422";"Tuesday";3
"2017-03-22";"central_south";"morning peak";"386";"Wednesday";3
"2017-03-23";"central_south";"morning peak";"419";"Thursday";3
"2017-03-24";"central_south";"morning peak";"297";"Friday";3
"2017-03-27";"central_south";"morning peak";"429";"Monday";3
"2017-03-28";"central_south";"morning peak";"397";"Tuesday";3
"2017-03-29";"central_south";"morning peak";"372";"Wednesday";3
"2017-03-30";"central_south";"morning peak";"393";"Thursday";3
"2017-03-31";"central_south";"morning peak";"300";"Friday";3
"2017-04-03";"central_south";"morning peak";"393";"Monday";4
"2017-04-04";"central_south";"morning peak";"375";"Tuesday";4
"2017-04-05";"central_south";"morning peak";"244";"Wednesday";4
"2017-04-06";"central_south";"morning peak";"354";"Thursday";4
"2017-04-07";"central_south";"morning peak";"367";"Friday";4
"2017-04-10";"central_south";"morning peak";"358";"Monday";4
"2017-04-11";"central_south";"morning peak";"245";"Tuesday";4
"2017-04-12";"central_south";"morning peak";"284";"Wednesday";4
"2017-04-13";"central_south";"morning peak";NA;"Thursday";4
"2017-04-14";"central_south";"morning peak";NA;"Friday";4
"2017-04-17";"central_south";"morning peak";"337";"Monday";4
"2017-04-18";"central_south";"morning peak";"353";"Tuesday";4
"2017-04-19";"central_south";"morning peak";"382";"Wednesday";4
"2017-04-20";"central_south";"morning peak";"353";"Thursday";4
"2017-04-21";"central_south";"morning peak";NA;"Friday";4
"2017-04-24";"central_south";"morning peak";"212";"Monday";4
"2017-04-25";"central_south";"morning peak";"348";"Tuesday";4
"2017-04-26";"central_south";"morning peak";"380";"Wednesday";4
"2017-04-27";"central_south";"morning peak";"500";"Thursday";4
"2017-04-28";"central_south";"morning peak";"297";"Friday";4
"2017-05-01";"central_south";"morning peak";NA;"Monday";5
"2017-05-02";"central_south";"morning peak";"466";"Tuesday";5
"2017-05-03";"central_south";"morning peak";"396";"Wednesday";5
"2017-05-04";"central_south";"morning peak";"331";"Thursday";5
"2017-05-05";"central_south";"morning peak";"370";"Friday";5
"2017-05-08";"central_south";"morning peak";"347";"Monday";5
"2017-05-09";"central_south";"morning peak";"414";"Tuesday";5
"2017-05-10";"central_south";"morning peak";"405";"Wednesday";5
