"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northeast_central";"morning peak";"182";"Monday";1
"2017-01-03";"northeast_central";"morning peak";"185";"Tuesday";1
"2017-01-04";"northeast_central";"morning peak";"191";"Wednesday";1
"2017-01-05";"northeast_central";"morning peak";"207";"Thursday";1
"2017-01-06";"northeast_central";"morning peak";"215";"Friday";1
"2017-01-09";"northeast_central";"morning peak";"240";"Monday";1
"2017-01-10";"northeast_central";"morning peak";"236";"Tuesday";1
"2017-01-11";"northeast_central";"morning peak";"233";"Wednesday";1
"2017-01-12";"northeast_central";"morning peak";"224";"Thursday";1
"2017-01-13";"northeast_central";"morning peak";"253";"Friday";1
"2017-01-16";"northeast_central";"morning peak";"211";"Monday";1
"2017-01-17";"northeast_central";"morning peak";"202";"Tuesday";1
"2017-01-18";"northeast_central";"morning peak";"201";"Wednesday";1
"2017-01-19";"northeast_central";"morning peak";"228";"Thursday";1
"2017-01-20";"northeast_central";"morning peak";"223";"Friday";1
"2017-01-23";"northeast_central";"morning peak";"311";"Monday";1
"2017-01-24";"northeast_central";"morning peak";"479";"Tuesday";1
"2017-01-25";"northeast_central";"morning peak";"392";"Wednesday";1
"2017-01-26";"northeast_central";"morning peak";"382";"Thursday";1
"2017-01-27";"northeast_central";"morning peak";"381";"Friday";1
"2017-01-30";"northeast_central";"morning peak";"511";"Monday";1
"2017-01-31";"northeast_central";"morning peak";"452";"Tuesday";1
"2017-02-01";"northeast_central";"morning peak";"508";"Wednesday";2
"2017-02-02";"northeast_central";"morning peak";"508";"Thursday";2
"2017-02-03";"northeast_central";"morning peak";"525";"Friday";2
"2017-02-06";"northeast_central";"morning peak";"542";"Monday";2
"2017-02-07";"northeast_central";"morning peak";"555";"Tuesday";2
"2017-02-08";"northeast_central";"morning peak";"579";"Wednesday";2
"2017-02-09";"northeast_central";"morning peak";"457";"Thursday";2
"2017-02-10";"northeast_central";"morning peak";"399";"Friday";2
"2017-02-13";"northeast_central";"morning peak";"455";"Monday";2
"2017-02-14";"northeast_central";"morning peak";"540";"Tuesday";2
"2017-02-15";"northeast_central";"morning peak";"534";"Wednesday";2
"2017-02-16";"northeast_central";"morning peak";"511";"Thursday";2
"2017-02-17";"northeast_central";"morning peak";"552";"Friday";2
"2017-02-20";"northeast_central";"morning peak";"544";"Monday";2
