"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northeast_northwest";"morning peak";"63";"Monday";1
"2017-01-03";"northeast_northwest";"morning peak";"59";"Tuesday";1
"2017-01-04";"northeast_northwest";"morning peak";"54";"Wednesday";1
"2017-01-05";"northeast_northwest";"morning peak";"56";"Thursday";1
"2017-01-06";"northeast_northwest";"morning peak";"42";"Friday";1
"2017-01-09";"northeast_northwest";"morning peak";"52";"Monday";1
"2017-01-10";"northeast_northwest";"morning peak";"60";"Tuesday";1
"2017-01-11";"northeast_northwest";"morning peak";"51";"Wednesday";1
"2017-01-12";"northeast_northwest";"morning peak";"60";"Thursday";1
"2017-01-13";"northeast_northwest";"morning peak";"56";"Friday";1
"2017-01-16";"northeast_northwest";"morning peak";"45";"Monday";1
"2017-01-17";"northeast_northwest";"morning peak";"56";"Tuesday";1
"2017-01-18";"northeast_northwest";"morning peak";"41";"Wednesday";1
"2017-01-19";"northeast_northwest";"morning peak";"44";"Thursday";1
"2017-01-20";"northeast_northwest";"morning peak";"37";"Friday";1
"2017-01-23";"northeast_northwest";"morning peak";"50";"Monday";1
"2017-01-24";"northeast_northwest";"morning peak";"78";"Tuesday";1
"2017-01-25";"northeast_northwest";"morning peak";"67";"Wednesday";1
"2017-01-26";"northeast_northwest";"morning peak";"71";"Thursday";1
"2017-01-27";"northeast_northwest";"morning peak";"61";"Friday";1
"2017-01-30";"northeast_northwest";"morning peak";"85";"Monday";1
"2017-01-31";"northeast_northwest";"morning peak";"48";"Tuesday";1
"2017-02-01";"northeast_northwest";"morning peak";"63";"Wednesday";2
"2017-02-02";"northeast_northwest";"morning peak";"79";"Thursday";2
"2017-02-03";"northeast_northwest";"morning peak";"68";"Friday";2
"2017-02-06";"northeast_northwest";"morning peak";"73";"Monday";2
"2017-02-07";"northeast_northwest";"morning peak";"80";"Tuesday";2
"2017-02-08";"northeast_northwest";"morning peak";"74";"Wednesday";2
