"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northeast_south-west";"morning peak";"12";"Monday";1
"2017-01-03";"northeast_south-west";"morning peak";"11";"Tuesday";1
"2017-01-04";"northeast_south-west";"morning peak";"8";"Wednesday";1
"2017-01-05";"northeast_south-west";"morning peak";"3";"Thursday";1
"2017-01-06";"northeast_south-west";"morning peak";"11";"Friday";1
"2017-01-09";"northeast_south-west";"morning peak";"11";"Monday";1
"2017-01-10";"northeast_south-west";"morning peak";"8";"Tuesday";1
"2017-01-11";"northeast_south-west";"morning peak";"9";"Wednesday";1
"2017-01-12";"northeast_south-west";"morning peak";"5";"Thursday";1
"2017-01-13";"northeast_south-west";"morning peak";"6";"Friday";1
"2017-01-16";"northeast_south-west";"morning peak";"12";"Monday";1
"2017-01-17";"northeast_south-west";"morning peak";"9";"Tuesday";1
"2017-01-18";"northeast_south-west";"morning peak";"9";"Wednesday";1
"2017-01-19";"northeast_south-west";"morning peak";"4";"Thursday";1
"2017-01-20";"northeast_south-west";"morning peak";"3";"Friday";1
"2017-01-23";"northeast_south-west";"morning peak";"9";"Monday";1
"2017-01-24";"northeast_south-west";"morning peak";"12";"Tuesday";1
"2017-01-25";"northeast_south-west";"morning peak";"10";"Wednesday";1
"2017-01-26";"northeast_south-west";"morning peak";"3";"Thursday";1
"2017-01-27";"northeast_south-west";"morning peak";"9";"Friday";1
"2017-01-30";"northeast_south-west";"morning peak";"10";"Monday";1
"2017-01-31";"northeast_south-west";"morning peak";"6";"Tuesday";1
"2017-02-01";"northeast_south-west";"morning peak";"8";"Wednesday";2
"2017-02-02";"northeast_south-west";"morning peak";"10";"Thursday";2
"2017-02-03";"northeast_south-west";"morning peak";"6";"Friday";2
"2017-02-06";"northeast_south-west";"morning peak";"16";"Monday";2
"2017-02-07";"northeast_south-west";"morning peak";"8";"Tuesday";2
"2017-02-08";"northeast_south-west";"morning peak";"12";"Wednesday";2
"2017-02-09";"northeast_south-west";"morning peak";"9";"Thursday";2
"2017-02-10";"northeast_south-west";"morning peak";"5";"Friday";2
"2017-02-13";"northeast_south-west";"morning peak";"5";"Monday";2
"2017-02-14";"northeast_south-west";"morning peak";"4";"Tuesday";2
"2017-02-15";"northeast_south-west";"morning peak";"12";"Wednesday";2
"2017-02-16";"northeast_south-west";"morning peak";"10";"Thursday";2
"2017-02-17";"northeast_south-west";"morning peak";"11";"Friday";2
