"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northeast_south";"morning peak";"40";"Monday";1
"2017-01-03";"northeast_south";"morning peak";"37";"Tuesday";1
"2017-01-04";"northeast_south";"morning peak";"38";"Wednesday";1
"2017-01-05";"northeast_south";"morning peak";"42";"Thursday";1
"2017-01-06";"northeast_south";"morning peak";"37";"Friday";1
"2017-01-09";"northeast_south";"morning peak";"41";"Monday";1
"2017-01-10";"northeast_south";"morning peak";"48";"Tuesday";1
"2017-01-11";"northeast_south";"morning peak";"45";"Wednesday";1
"2017-01-12";"northeast_south";"morning peak";"52";"Thursday";1
"2017-01-13";"northeast_south";"morning peak";"48";"Friday";1
"2017-01-16";"northeast_south";"morning peak";"49";"Monday";1
"2017-01-17";"northeast_south";"morning peak";"52";"Tuesday";1
"2017-01-18";"northeast_south";"morning peak";"41";"Wednesday";1
"2017-01-19";"northeast_south";"morning peak";"50";"Thursday";1
"2017-01-20";"northeast_south";"morning peak";"33";"Friday";1
"2017-01-23";"northeast_south";"morning peak";"57";"Monday";1
"2017-01-24";"northeast_south";"morning peak";"54";"Tuesday";1
"2017-01-25";"northeast_south";"morning peak";"63";"Wednesday";1
"2017-01-26";"northeast_south";"morning peak";"68";"Thursday";1
"2017-01-27";"northeast_south";"morning peak";"64";"Friday";1
"2017-01-30";"northeast_south";"morning peak";"76";"Monday";1
"2017-01-31";"northeast_south";"morning peak";"46";"Tuesday";1
"2017-02-01";"northeast_south";"morning peak";"65";"Wednesday";2
"2017-02-02";"northeast_south";"morning peak";"36";"Thursday";2
"2017-02-03";"northeast_south";"morning peak";"66";"Friday";2
"2017-02-06";"northeast_south";"morning peak";"58";"Monday";2
"2017-02-07";"northeast_south";"morning peak";"80";"Tuesday";2
"2017-02-08";"northeast_south";"morning peak";"71";"Wednesday";2
"2017-02-09";"northeast_south";"morning peak";"55";"Thursday";2
"2017-02-10";"northeast_south";"morning peak";"51";"Friday";2
"2017-02-13";"northeast_south";"morning peak";"54";"Monday";2
"2017-02-14";"northeast_south";"morning peak";"58";"Tuesday";2
"2017-02-15";"northeast_south";"morning peak";"78";"Wednesday";2
"2017-02-16";"northeast_south";"morning peak";"55";"Thursday";2
"2017-02-17";"northeast_south";"morning peak";"73";"Friday";2
"2017-02-20";"northeast_south";"morning peak";"70";"Monday";2
"2017-02-21";"northeast_south";"morning peak";"26";"Tuesday";2
"2017-02-22";"northeast_south";"morning peak";"57";"Wednesday";2
"2017-02-23";"northeast_south";"morning peak";"52";"Thursday";2
"2017-02-24";"northeast_south";"morning peak";"60";"Friday";2
"2017-02-27";"northeast_south";"morning peak";NA;"Monday";2
"2017-02-28";"northeast_south";"morning peak";NA;"Tuesday";2
"2017-03-01";"northeast_south";"morning peak";NA;"Wednesday";3
"2017-03-02";"northeast_south";"morning peak";"60";"Thursday";3
"2017-03-03";"northeast_south";"morning peak";"45";"Friday";3
"2017-03-06";"northeast_south";"morning peak";"52";"Monday";3
"2017-03-07";"northeast_south";"morning peak";"54";"Tuesday";3
"2017-03-08";"northeast_south";"morning peak";"61";"Wednesday";3
"2017-03-09";"northeast_south";"morning peak";"32";"Thursday";3
"2017-03-10";"northeast_south";"morning peak";"66";"Friday";3
"2017-03-13";"northeast_south";"morning peak";"57";"Monday";3
"2017-03-14";"northeast_south";"morning peak";"68";"Tuesday";3
"2017-03-15";"northeast_south";"morning peak";"52";"Wednesday";3
"2017-03-16";"northeast_south";"morning peak";"45";"Thursday";3
"2017-03-17";"northeast_south";"morning peak";"67";"Friday";3
"2017-03-20";"northeast_south";"morning peak";"17";"Monday";3
"2017-03-21";"northeast_south";"morning peak";"69";"Tuesday";3
"2017-03-22";"northeast_south";"morning peak";"75";"Wednesday";3
"2017-03-23";"northeast_south";"morning peak";"84";"Thursday";3
"2017-03-24";"northeast_south";"morning peak";"63";"Friday";3
"2017-03-27";"northeast_south";"morning peak";"69";"Monday";3
"2017-03-28";"northeast_south";"morning peak";"64";"Tuesday";3
"2017-03-29";"northeast_south";"morning peak";"68";"Wednesday";3
"2017-03-30";"northeast_south";"morning peak";"55";"Thursday";3
"2017-03-31";"northeast_south";"morning peak";"54";"Friday";3
"2017-04-03";"northeast_south";"morning peak";"79";"Monday";4
"2017-04-04";"northeast_south";"morning peak";"73";"Tuesday";4
"2017-04-05";"northeast_south";"morning peak";"61";"Wednesday";4
"2017-04-06";"northeast_south";"morning peak";"57";"Thursday";4
"2017-04-07";"northeast_south";"morning peak";"60";"Friday";4
"2017-04-10";"northeast_south";"morning peak";"62";"Monday";4
"2017-04-11";"northeast_south";"morning peak";"57";"Tuesday";4
"2017-04-12";"northeast_south";"morning peak";"64";"Wednesday";4
"2017-04-13";"northeast_south";"morning peak";NA;"Thursday";4
"2017-04-14";"northeast_south";"morning peak";NA;"Friday";4
"2017-04-17";"northeast_south";"morning peak";"70";"Monday";4
"2017-04-18";"northeast_south";"morning peak";"70";"Tuesday";4
"2017-04-19";"northeast_south";"morning peak";"81";"Wednesday";4
"2017-04-20";"northeast_south";"morning peak";"59";"Thursday";4
"2017-04-21";"northeast_south";"morning peak";NA;"Friday";4
"2017-04-24";"northeast_south";"morning peak";"79";"Monday";4
"2017-04-25";"northeast_south";"morning peak";"74";"Tuesday";4
"2017-04-26";"northeast_south";"morning peak";"83";"Wednesday";4
"2017-04-27";"northeast_south";"morning peak";"74";"Thursday";4
"2017-04-28";"northeast_south";"morning peak";"44";"Friday";4
"2017-05-01";"northeast_south";"morning peak";NA;"Monday";5
"2017-05-02";"northeast_south";"morning peak";"79";"Tuesday";5
"2017-05-03";"northeast_south";"morning peak";"78";"Wednesday";5
"2017-05-04";"northeast_south";"morning peak";"71";"Thursday";5
"2017-05-05";"northeast_south";"morning peak";"65";"Friday";5
"2017-05-08";"northeast_south";"morning peak";"79";"Monday";5
"2017-05-09";"northeast_south";"morning peak";"79";"Tuesday";5
"2017-05-10";"northeast_south";"morning peak";"64";"Wednesday";5
"2017-05-11";"northeast_south";"morning peak";"79";"Thursday";5
"2017-05-12";"northeast_south";"morning peak";"66";"Friday";5
"2017-05-15";"northeast_south";"morning peak";"70";"Monday";5
"2017-05-16";"northeast_south";"morning peak";"61";"Tuesday";5
"2017-05-17";"northeast_south";"morning peak";"87";"Wednesday";5
"2017-05-18";"northeast_south";"morning peak";"55";"Thursday";5
"2017-05-19";"northeast_south";"morning peak";"71";"Friday";5
"2017-05-22";"northeast_south";"morning peak";"79";"Monday";5
"2017-05-23";"northeast_south";"morning peak";"75";"Tuesday";5
"2017-05-24";"northeast_south";"morning peak";"82";"Wednesday";5
"2017-05-25";"northeast_south";"morning peak";"68";"Thursday";5
"2017-05-26";"northeast_south";"morning peak";"64";"Friday";5
"2017-05-29";"northeast_south";"morning peak";"65";"Monday";5
"2017-05-30";"northeast_south";"morning peak";"66";"Tuesday";5
"2017-05-31";"northeast_south";"morning peak";"49";"Wednesday";5
"2017-06-01";"northeast_south";"morning peak";"72";"Thursday";6
"2017-06-02";"northeast_south";"morning peak";"54";"Friday";6
"2017-06-05";"northeast_south";"morning peak";"69";"Monday";6
"2017-06-06";"northeast_south";"morning peak";"64";"Tuesday";6
"2017-06-07";"northeast_south";"morning peak";"63";"Wednesday";6
"2017-06-08";"northeast_south";"morning peak";"71";"Thursday";6
"2017-06-09";"northeast_south";"morning peak";"58";"Friday";6
