"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northwest_central";"morning peak";"472";"Monday";1
"2017-01-03";"northwest_central";"morning peak";"534";"Tuesday";1
"2017-01-04";"northwest_central";"morning peak";"570";"Wednesday";1
"2017-01-05";"northwest_central";"morning peak";"600";"Thursday";1
"2017-01-06";"northwest_central";"morning peak";"630";"Friday";1
"2017-01-09";"northwest_central";"morning peak";"638";"Monday";1
"2017-01-10";"northwest_central";"morning peak";"621";"Tuesday";1
"2017-01-11";"northwest_central";"morning peak";"520";"Wednesday";1
"2017-01-12";"northwest_central";"morning peak";"600";"Thursday";1
"2017-01-13";"northwest_central";"morning peak";"616";"Friday";1
"2017-01-16";"northwest_central";"morning peak";"617";"Monday";1
"2017-01-17";"northwest_central";"morning peak";"645";"Tuesday";1
"2017-01-18";"northwest_central";"morning peak";"556";"Wednesday";1
"2017-01-19";"northwest_central";"morning peak";"701";"Thursday";1
"2017-01-20";"northwest_central";"morning peak";"559";"Friday";1
"2017-01-23";"northwest_central";"morning peak";"659";"Monday";1
"2017-01-24";"northwest_central";"morning peak";"676";"Tuesday";1
"2017-01-25";"northwest_central";"morning peak";"666";"Wednesday";1
"2017-01-26";"northwest_central";"morning peak";"692";"Thursday";1
"2017-01-27";"northwest_central";"morning peak";"717";"Friday";1
"2017-01-30";"northwest_central";"morning peak";"718";"Monday";1
"2017-01-31";"northwest_central";"morning peak";"535";"Tuesday";1
"2017-02-01";"northwest_central";"morning peak";"646";"Wednesday";2
"2017-02-02";"northwest_central";"morning peak";"803";"Thursday";2
"2017-02-03";"northwest_central";"morning peak";"686";"Friday";2
"2017-02-06";"northwest_central";"morning peak";"806";"Monday";2
"2017-02-07";"northwest_central";"morning peak";"812";"Tuesday";2
"2017-02-08";"northwest_central";"morning peak";"678";"Wednesday";2
"2017-02-09";"northwest_central";"morning peak";"663";"Thursday";2
"2017-02-10";"northwest_central";"morning peak";"752";"Friday";2
"2017-02-13";"northwest_central";"morning peak";"805";"Monday";2
"2017-02-14";"northwest_central";"morning peak";"731";"Tuesday";2
"2017-02-15";"northwest_central";"morning peak";"804";"Wednesday";2
"2017-02-16";"northwest_central";"morning peak";"766";"Thursday";2
"2017-02-17";"northwest_central";"morning peak";"521";"Friday";2
"2017-02-20";"northwest_central";"morning peak";"613";"Monday";2
"2017-02-21";"northwest_central";"morning peak";"658";"Tuesday";2
"2017-02-22";"northwest_central";"morning peak";"616";"Wednesday";2
"2017-02-23";"northwest_central";"morning peak";"646";"Thursday";2
"2017-02-24";"northwest_central";"morning peak";"693";"Friday";2
"2017-02-27";"northwest_central";"morning peak";NA;"Monday";2
"2017-02-28";"northwest_central";"morning peak";NA;"Tuesday";2
"2017-03-01";"northwest_central";"morning peak";NA;"Wednesday";3
"2017-03-02";"northwest_central";"morning peak";"675";"Thursday";3
"2017-03-03";"northwest_central";"morning peak";"458";"Friday";3
"2017-03-06";"northwest_central";"morning peak";"797";"Monday";3
"2017-03-07";"northwest_central";"morning peak";"695";"Tuesday";3
"2017-03-08";"northwest_central";"morning peak";"780";"Wednesday";3
"2017-03-09";"northwest_central";"morning peak";"429";"Thursday";3
"2017-03-10";"northwest_central";"morning peak";"655";"Friday";3
"2017-03-13";"northwest_central";"morning peak";"818";"Monday";3
"2017-03-14";"northwest_central";"morning peak";"876";"Tuesday";3
"2017-03-15";"northwest_central";"morning peak";"847";"Wednesday";3
"2017-03-16";"northwest_central";"morning peak";"637";"Thursday";3
"2017-03-17";"northwest_central";"morning peak";"732";"Friday";3
"2017-03-20";"northwest_central";"morning peak";"818";"Monday";3
"2017-03-21";"northwest_central";"morning peak";"762";"Tuesday";3
"2017-03-22";"northwest_central";"morning peak";"761";"Wednesday";3
"2017-03-23";"northwest_central";"morning peak";"694";"Thursday";3
"2017-03-24";"northwest_central";"morning peak";"586";"Friday";3
"2017-03-27";"northwest_central";"morning peak";"769";"Monday";3
"2017-03-28";"northwest_central";"morning peak";"641";"Tuesday";3
"2017-03-29";"northwest_central";"morning peak";"715";"Wednesday";3
"2017-03-30";"northwest_central";"morning peak";"738";"Thursday";3
"2017-03-31";"northwest_central";"morning peak";"750";"Friday";3
"2017-04-03";"northwest_central";"morning peak";"716";"Monday";4
"2017-04-04";"northwest_central";"morning peak";"620";"Tuesday";4
"2017-04-05";"northwest_central";"morning peak";"581";"Wednesday";4
"2017-04-06";"northwest_central";"morning peak";"593";"Thursday";4
"2017-04-07";"northwest_central";"morning peak";"691";"Friday";4
"2017-04-10";"northwest_central";"morning peak";"720";"Monday";4
"2017-04-11";"northwest_central";"morning peak";"424";"Tuesday";4
"2017-04-12";"northwest_central";"morning peak";"613";"Wednesday";4
"2017-04-13";"northwest_central";"morning peak";NA;"Thursday";4
"2017-04-14";"northwest_central";"morning peak";NA;"Friday";4
"2017-04-17";"northwest_central";"morning peak";"617";"Monday";4
"2017-04-18";"northwest_central";"morning peak";"577";"Tuesday";4
"2017-04-19";"northwest_central";"morning peak";"656";"Wednesday";4
"2017-04-20";"northwest_central";"morning peak";"776";"Thursday";4
"2017-04-21";"northwest_central";"morning peak";NA;"Friday";4
"2017-04-24";"northwest_central";"morning peak";"446";"Monday";4
"2017-04-25";"northwest_central";"morning peak";"701";"Tuesday";4
"2017-04-26";"northwest_central";"morning peak";"680";"Wednesday";4
"2017-04-27";"northwest_central";"morning peak";"720";"Thursday";4
"2017-04-28";"northwest_central";"morning peak";"658";"Friday";4
"2017-05-01";"northwest_central";"morning peak";NA;"Monday";5
"2017-05-02";"northwest_central";"morning peak";"649";"Tuesday";5
"2017-05-03";"northwest_central";"morning peak";"711";"Wednesday";5
