"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northwest_northeast";"morning peak";"34";"Monday";1
"2017-01-03";"northwest_northeast";"morning peak";"35";"Tuesday";1
"2017-01-04";"northwest_northeast";"morning peak";"34";"Wednesday";1
"2017-01-05";"northwest_northeast";"morning peak";"32";"Thursday";1
"2017-01-06";"northwest_northeast";"morning peak";"35";"Friday";1
"2017-01-09";"northwest_northeast";"morning peak";"38";"Monday";1
"2017-01-10";"northwest_northeast";"morning peak";"27";"Tuesday";1
"2017-01-11";"northwest_northeast";"morning peak";"40";"Wednesday";1
"2017-01-12";"northwest_northeast";"morning peak";"30";"Thursday";1
"2017-01-13";"northwest_northeast";"morning peak";"20";"Friday";1
"2017-01-16";"northwest_northeast";"morning peak";"33";"Monday";1
"2017-01-17";"northwest_northeast";"morning peak";"29";"Tuesday";1
"2017-01-18";"northwest_northeast";"morning peak";"26";"Wednesday";1
"2017-01-19";"northwest_northeast";"morning peak";"36";"Thursday";1
"2017-01-20";"northwest_northeast";"morning peak";"31";"Friday";1
"2017-01-23";"northwest_northeast";"morning peak";"30";"Monday";1
"2017-01-24";"northwest_northeast";"morning peak";"42";"Tuesday";1
"2017-01-25";"northwest_northeast";"morning peak";"38";"Wednesday";1
"2017-01-26";"northwest_northeast";"morning peak";"33";"Thursday";1
"2017-01-27";"northwest_northeast";"morning peak";"32";"Friday";1
"2017-01-30";"northwest_northeast";"morning peak";"35";"Monday";1
"2017-01-31";"northwest_northeast";"morning peak";"32";"Tuesday";1
"2017-02-01";"northwest_northeast";"morning peak";"31";"Wednesday";2
"2017-02-02";"northwest_northeast";"morning peak";"46";"Thursday";2
"2017-02-03";"northwest_northeast";"morning peak";"40";"Friday";2
"2017-02-06";"northwest_northeast";"morning peak";"45";"Monday";2
"2017-02-07";"northwest_northeast";"morning peak";"32";"Tuesday";2
"2017-02-08";"northwest_northeast";"morning peak";"31";"Wednesday";2
"2017-02-09";"northwest_northeast";"morning peak";"36";"Thursday";2
"2017-02-10";"northwest_northeast";"morning peak";"45";"Friday";2
"2017-02-13";"northwest_northeast";"morning peak";"36";"Monday";2
"2017-02-14";"northwest_northeast";"morning peak";"32";"Tuesday";2
"2017-02-15";"northwest_northeast";"morning peak";"36";"Wednesday";2
"2017-02-16";"northwest_northeast";"morning peak";"32";"Thursday";2
"2017-02-17";"northwest_northeast";"morning peak";"39";"Friday";2
"2017-02-20";"northwest_northeast";"morning peak";"33";"Monday";2
"2017-02-21";"northwest_northeast";"morning peak";"34";"Tuesday";2
"2017-02-22";"northwest_northeast";"morning peak";"36";"Wednesday";2
"2017-02-23";"northwest_northeast";"morning peak";"26";"Thursday";2
"2017-02-24";"northwest_northeast";"morning peak";"34";"Friday";2
"2017-02-27";"northwest_northeast";"morning peak";NA;"Monday";2
"2017-02-28";"northwest_northeast";"morning peak";NA;"Tuesday";2
"2017-03-01";"northwest_northeast";"morning peak";NA;"Wednesday";3
"2017-03-02";"northwest_northeast";"morning peak";"45";"Thursday";3
"2017-03-03";"northwest_northeast";"morning peak";"29";"Friday";3
"2017-03-06";"northwest_northeast";"morning peak";"46";"Monday";3
"2017-03-07";"northwest_northeast";"morning peak";"27";"Tuesday";3
"2017-03-08";"northwest_northeast";"morning peak";"35";"Wednesday";3
"2017-03-09";"northwest_northeast";"morning peak";"16";"Thursday";3
"2017-03-10";"northwest_northeast";"morning peak";"38";"Friday";3
"2017-03-13";"northwest_northeast";"morning peak";"40";"Monday";3
"2017-03-14";"northwest_northeast";"morning peak";"43";"Tuesday";3
"2017-03-15";"northwest_northeast";"morning peak";"47";"Wednesday";3
"2017-03-16";"northwest_northeast";"morning peak";"30";"Thursday";3
"2017-03-17";"northwest_northeast";"morning peak";"40";"Friday";3
"2017-03-20";"northwest_northeast";"morning peak";NA;"Monday";3
"2017-03-21";"northwest_northeast";"morning peak";"32";"Tuesday";3
"2017-03-22";"northwest_northeast";"morning peak";"29";"Wednesday";3
