"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northwest_south-west";"morning peak";"270";"Monday";1
"2017-01-03";"northwest_south-west";"morning peak";"319";"Tuesday";1
"2017-01-04";"northwest_south-west";"morning peak";"280";"Wednesday";1
"2017-01-05";"northwest_south-west";"morning peak";"315";"Thursday";1
"2017-01-06";"northwest_south-west";"morning peak";"299";"Friday";1
"2017-01-09";"northwest_south-west";"morning peak";"245";"Monday";1
"2017-01-10";"northwest_south-west";"morning peak";"279";"Tuesday";1
"2017-01-11";"northwest_south-west";"morning peak";"304";"Wednesday";1
"2017-01-12";"northwest_south-west";"morning peak";"287";"Thursday";1
"2017-01-13";"northwest_south-west";"morning peak";"289";"Friday";1
"2017-01-16";"northwest_south-west";"morning peak";"335";"Monday";1
"2017-01-17";"northwest_south-west";"morning peak";"330";"Tuesday";1
"2017-01-18";"northwest_south-west";"morning peak";"318";"Wednesday";1
"2017-01-19";"northwest_south-west";"morning peak";"300";"Thursday";1
"2017-01-20";"northwest_south-west";"morning peak";"298";"Friday";1
"2017-01-23";"northwest_south-west";"morning peak";"356";"Monday";1
"2017-01-24";"northwest_south-west";"morning peak";"297";"Tuesday";1
"2017-01-25";"northwest_south-west";"morning peak";"398";"Wednesday";1
"2017-01-26";"northwest_south-west";"morning peak";"334";"Thursday";1
"2017-01-27";"northwest_south-west";"morning peak";"306";"Friday";1
"2017-01-30";"northwest_south-west";"morning peak";"301";"Monday";1
"2017-01-31";"northwest_south-west";"morning peak";"254";"Tuesday";1
"2017-02-01";"northwest_south-west";"morning peak";"319";"Wednesday";2
"2017-02-02";"northwest_south-west";"morning peak";"313";"Thursday";2
"2017-02-03";"northwest_south-west";"morning peak";"316";"Friday";2
"2017-02-06";"northwest_south-west";"morning peak";"357";"Monday";2
"2017-02-07";"northwest_south-west";"morning peak";"303";"Tuesday";2
"2017-02-08";"northwest_south-west";"morning peak";"350";"Wednesday";2
"2017-02-09";"northwest_south-west";"morning peak";"302";"Thursday";2
"2017-02-10";"northwest_south-west";"morning peak";"365";"Friday";2
"2017-02-13";"northwest_south-west";"morning peak";"413";"Monday";2
"2017-02-14";"northwest_south-west";"morning peak";"346";"Tuesday";2
"2017-02-15";"northwest_south-west";"morning peak";"386";"Wednesday";2
"2017-02-16";"northwest_south-west";"morning peak";"339";"Thursday";2
"2017-02-17";"northwest_south-west";"morning peak";"313";"Friday";2
"2017-02-20";"northwest_south-west";"morning peak";"306";"Monday";2
"2017-02-21";"northwest_south-west";"morning peak";"334";"Tuesday";2
"2017-02-22";"northwest_south-west";"morning peak";"391";"Wednesday";2
"2017-02-23";"northwest_south-west";"morning peak";"336";"Thursday";2
"2017-02-24";"northwest_south-west";"morning peak";"322";"Friday";2
"2017-02-27";"northwest_south-west";"morning peak";NA;"Monday";2
"2017-02-28";"northwest_south-west";"morning peak";NA;"Tuesday";2
"2017-03-01";"northwest_south-west";"morning peak";NA;"Wednesday";3
"2017-03-02";"northwest_south-west";"morning peak";"316";"Thursday";3
"2017-03-03";"northwest_south-west";"morning peak";"248";"Friday";3
"2017-03-06";"northwest_south-west";"morning peak";"306";"Monday";3
"2017-03-07";"northwest_south-west";"morning peak";"356";"Tuesday";3
"2017-03-08";"northwest_south-west";"morning peak";"340";"Wednesday";3
"2017-03-09";"northwest_south-west";"morning peak";"241";"Thursday";3
"2017-03-10";"northwest_south-west";"morning peak";"297";"Friday";3
"2017-03-13";"northwest_south-west";"morning peak";"357";"Monday";3
"2017-03-14";"northwest_south-west";"morning peak";"380";"Tuesday";3
"2017-03-15";"northwest_south-west";"morning peak";"328";"Wednesday";3
"2017-03-16";"northwest_south-west";"morning peak";"388";"Thursday";3
"2017-03-17";"northwest_south-west";"morning peak";"308";"Friday";3
"2017-03-20";"northwest_south-west";"morning peak";"406";"Monday";3
"2017-03-21";"northwest_south-west";"morning peak";"355";"Tuesday";3
"2017-03-22";"northwest_south-west";"morning peak";"385";"Wednesday";3
"2017-03-23";"northwest_south-west";"morning peak";"342";"Thursday";3
"2017-03-24";"northwest_south-west";"morning peak";"324";"Friday";3
"2017-03-27";"northwest_south-west";"morning peak";"380";"Monday";3
"2017-03-28";"northwest_south-west";"morning peak";"347";"Tuesday";3
"2017-03-29";"northwest_south-west";"morning peak";"332";"Wednesday";3
"2017-03-30";"northwest_south-west";"morning peak";"307";"Thursday";3
"2017-03-31";"northwest_south-west";"morning peak";"346";"Friday";3
"2017-04-03";"northwest_south-west";"morning peak";"319";"Monday";4
"2017-04-04";"northwest_south-west";"morning peak";"346";"Tuesday";4
"2017-04-05";"northwest_south-west";"morning peak";"309";"Wednesday";4
"2017-04-06";"northwest_south-west";"morning peak";"318";"Thursday";4
"2017-04-07";"northwest_south-west";"morning peak";"351";"Friday";4
"2017-04-10";"northwest_south-west";"morning peak";"327";"Monday";4
"2017-04-11";"northwest_south-west";"morning peak";"283";"Tuesday";4
"2017-04-12";"northwest_south-west";"morning peak";"349";"Wednesday";4
"2017-04-13";"northwest_south-west";"morning peak";NA;"Thursday";4
"2017-04-14";"northwest_south-west";"morning peak";NA;"Friday";4
"2017-04-17";"northwest_south-west";"morning peak";"373";"Monday";4
"2017-04-18";"northwest_south-west";"morning peak";"371";"Tuesday";4
"2017-04-19";"northwest_south-west";"morning peak";"361";"Wednesday";4
"2017-04-20";"northwest_south-west";"morning peak";"412";"Thursday";4
"2017-04-21";"northwest_south-west";"morning peak";NA;"Friday";4
"2017-04-24";"northwest_south-west";"morning peak";"296";"Monday";4
"2017-04-25";"northwest_south-west";"morning peak";"322";"Tuesday";4
"2017-04-26";"northwest_south-west";"morning peak";"379";"Wednesday";4
"2017-04-27";"northwest_south-west";"morning peak";"409";"Thursday";4
"2017-04-28";"northwest_south-west";"morning peak";"345";"Friday";4
"2017-05-01";"northwest_south-west";"morning peak";NA;"Monday";5
"2017-05-02";"northwest_south-west";"morning peak";"277";"Tuesday";5
"2017-05-03";"northwest_south-west";"morning peak";"377";"Wednesday";5
"2017-05-04";"northwest_south-west";"morning peak";"404";"Thursday";5
"2017-05-05";"northwest_south-west";"morning peak";"364";"Friday";5
"2017-05-08";"northwest_south-west";"morning peak";"322";"Monday";5
"2017-05-09";"northwest_south-west";"morning peak";"399";"Tuesday";5
"2017-05-10";"northwest_south-west";"morning peak";"407";"Wednesday";5
"2017-05-11";"northwest_south-west";"morning peak";"378";"Thursday";5
"2017-05-12";"northwest_south-west";"morning peak";"376";"Friday";5
"2017-05-15";"northwest_south-west";"morning peak";"408";"Monday";5
"2017-05-16";"northwest_south-west";"morning peak";"403";"Tuesday";5
"2017-05-17";"northwest_south-west";"morning peak";"418";"Wednesday";5
"2017-05-18";"northwest_south-west";"morning peak";"413";"Thursday";5
"2017-05-19";"northwest_south-west";"morning peak";"402";"Friday";5
"2017-05-22";"northwest_south-west";"morning peak";"398";"Monday";5
"2017-05-23";"northwest_south-west";"morning peak";"366";"Tuesday";5
"2017-05-24";"northwest_south-west";"morning peak";"392";"Wednesday";5
"2017-05-25";"northwest_south-west";"morning peak";"397";"Thursday";5
"2017-05-26";"northwest_south-west";"morning peak";"396";"Friday";5
"2017-05-29";"northwest_south-west";"morning peak";"351";"Monday";5
"2017-05-30";"northwest_south-west";"morning peak";"407";"Tuesday";5
"2017-05-31";"northwest_south-west";"morning peak";"419";"Wednesday";5
"2017-06-01";"northwest_south-west";"morning peak";"427";"Thursday";6
