"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"northwest_south";"morning peak";"147";"Monday";1
"2017-01-03";"northwest_south";"morning peak";"145";"Tuesday";1
"2017-01-04";"northwest_south";"morning peak";"143";"Wednesday";1
"2017-01-05";"northwest_south";"morning peak";"128";"Thursday";1
"2017-01-06";"northwest_south";"morning peak";"157";"Friday";1
"2017-01-09";"northwest_south";"morning peak";"156";"Monday";1
"2017-01-10";"northwest_south";"morning peak";"119";"Tuesday";1
"2017-01-11";"northwest_south";"morning peak";"116";"Wednesday";1
"2017-01-12";"northwest_south";"morning peak";"142";"Thursday";1
"2017-01-13";"northwest_south";"morning peak";"134";"Friday";1
"2017-01-16";"northwest_south";"morning peak";"158";"Monday";1
"2017-01-17";"northwest_south";"morning peak";"168";"Tuesday";1
"2017-01-18";"northwest_south";"morning peak";"143";"Wednesday";1
"2017-01-19";"northwest_south";"morning peak";"167";"Thursday";1
"2017-01-20";"northwest_south";"morning peak";"160";"Friday";1
"2017-01-23";"northwest_south";"morning peak";"145";"Monday";1
"2017-01-24";"northwest_south";"morning peak";"152";"Tuesday";1
"2017-01-25";"northwest_south";"morning peak";"150";"Wednesday";1
"2017-01-26";"northwest_south";"morning peak";"179";"Thursday";1
"2017-01-27";"northwest_south";"morning peak";"138";"Friday";1
"2017-01-30";"northwest_south";"morning peak";"160";"Monday";1
"2017-01-31";"northwest_south";"morning peak";"112";"Tuesday";1
"2017-02-01";"northwest_south";"morning peak";"164";"Wednesday";2
"2017-02-02";"northwest_south";"morning peak";"178";"Thursday";2
"2017-02-03";"northwest_south";"morning peak";"182";"Friday";2
"2017-02-06";"northwest_south";"morning peak";"169";"Monday";2
"2017-02-07";"northwest_south";"morning peak";"176";"Tuesday";2
"2017-02-08";"northwest_south";"morning peak";"170";"Wednesday";2
"2017-02-09";"northwest_south";"morning peak";"138";"Thursday";2
"2017-02-10";"northwest_south";"morning peak";"154";"Friday";2
"2017-02-13";"northwest_south";"morning peak";"196";"Monday";2
"2017-02-14";"northwest_south";"morning peak";"204";"Tuesday";2
"2017-02-15";"northwest_south";"morning peak";"163";"Wednesday";2
"2017-02-16";"northwest_south";"morning peak";"153";"Thursday";2
"2017-02-17";"northwest_south";"morning peak";"124";"Friday";2
"2017-02-20";"northwest_south";"morning peak";"149";"Monday";2
"2017-02-21";"northwest_south";"morning peak";"125";"Tuesday";2
"2017-02-22";"northwest_south";"morning peak";"170";"Wednesday";2
"2017-02-23";"northwest_south";"morning peak";"130";"Thursday";2
"2017-02-24";"northwest_south";"morning peak";"113";"Friday";2
"2017-02-27";"northwest_south";"morning peak";NA;"Monday";2
"2017-02-28";"northwest_south";"morning peak";NA;"Tuesday";2
"2017-03-01";"northwest_south";"morning peak";NA;"Wednesday";3
"2017-03-02";"northwest_south";"morning peak";"138";"Thursday";3
"2017-03-03";"northwest_south";"morning peak";"101";"Friday";3
"2017-03-06";"northwest_south";"morning peak";"210";"Monday";3
"2017-03-07";"northwest_south";"morning peak";"146";"Tuesday";3
"2017-03-08";"northwest_south";"morning peak";"175";"Wednesday";3
"2017-03-09";"northwest_south";"morning peak";NA;"Thursday";3
"2017-03-10";"northwest_south";"morning peak";"129";"Friday";3
"2017-03-13";"northwest_south";"morning peak";"168";"Monday";3
"2017-03-14";"northwest_south";"morning peak";"172";"Tuesday";3
"2017-03-15";"northwest_south";"morning peak";"185";"Wednesday";3
"2017-03-16";"northwest_south";"morning peak";"154";"Thursday";3
"2017-03-17";"northwest_south";"morning peak";"121";"Friday";3
"2017-03-20";"northwest_south";"morning peak";"163";"Monday";3
"2017-03-21";"northwest_south";"morning peak";"176";"Tuesday";3
"2017-03-22";"northwest_south";"morning peak";"161";"Wednesday";3
"2017-03-23";"northwest_south";"morning peak";"143";"Thursday";3
"2017-03-24";"northwest_south";"morning peak";"111";"Friday";3
"2017-03-27";"northwest_south";"morning peak";"167";"Monday";3
"2017-03-28";"northwest_south";"morning peak";"180";"Tuesday";3
"2017-03-29";"northwest_south";"morning peak";"147";"Wednesday";3
"2017-03-30";"northwest_south";"morning peak";"154";"Thursday";3
"2017-03-31";"northwest_south";"morning peak";"135";"Friday";3
