"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south-west_central";"morning peak";"509";"Monday";1
"2017-01-03";"south-west_central";"morning peak";"569";"Tuesday";1
"2017-01-04";"south-west_central";"morning peak";"583";"Wednesday";1
"2017-01-05";"south-west_central";"morning peak";"577";"Thursday";1
"2017-01-06";"south-west_central";"morning peak";"611";"Friday";1
"2017-01-09";"south-west_central";"morning peak";"715";"Monday";1
"2017-01-10";"south-west_central";"morning peak";"663";"Tuesday";1
"2017-01-11";"south-west_central";"morning peak";"495";"Wednesday";1
"2017-01-12";"south-west_central";"morning peak";"642";"Thursday";1
"2017-01-13";"south-west_central";"morning peak";"673";"Friday";1
"2017-01-16";"south-west_central";"morning peak";"666";"Monday";1
"2017-01-17";"south-west_central";"morning peak";"676";"Tuesday";1
"2017-01-18";"south-west_central";"morning peak";"691";"Wednesday";1
"2017-01-19";"south-west_central";"morning peak";"629";"Thursday";1
"2017-01-20";"south-west_central";"morning peak";"635";"Friday";1
"2017-01-23";"south-west_central";"morning peak";"608";"Monday";1
"2017-01-24";"south-west_central";"morning peak";"659";"Tuesday";1
"2017-01-25";"south-west_central";"morning peak";"685";"Wednesday";1
"2017-01-26";"south-west_central";"morning peak";"619";"Thursday";1
"2017-01-27";"south-west_central";"morning peak";"644";"Friday";1
"2017-01-30";"south-west_central";"morning peak";"621";"Monday";1
"2017-01-31";"south-west_central";"morning peak";"434";"Tuesday";1
"2017-02-01";"south-west_central";"morning peak";"645";"Wednesday";2
"2017-02-02";"south-west_central";"morning peak";"649";"Thursday";2
"2017-02-03";"south-west_central";"morning peak";"677";"Friday";2
"2017-02-06";"south-west_central";"morning peak";"681";"Monday";2
"2017-02-07";"south-west_central";"morning peak";"648";"Tuesday";2
"2017-02-08";"south-west_central";"morning peak";"631";"Wednesday";2
"2017-02-09";"south-west_central";"morning peak";"685";"Thursday";2
"2017-02-10";"south-west_central";"morning peak";"678";"Friday";2
"2017-02-13";"south-west_central";"morning peak";"701";"Monday";2
"2017-02-14";"south-west_central";"morning peak";"682";"Tuesday";2
"2017-02-15";"south-west_central";"morning peak";"740";"Wednesday";2
"2017-02-16";"south-west_central";"morning peak";"696";"Thursday";2
"2017-02-17";"south-west_central";"morning peak";"428";"Friday";2
"2017-02-20";"south-west_central";"morning peak";"466";"Monday";2
"2017-02-21";"south-west_central";"morning peak";"616";"Tuesday";2
"2017-02-22";"south-west_central";"morning peak";"735";"Wednesday";2
"2017-02-23";"south-west_central";"morning peak";"648";"Thursday";2
"2017-02-24";"south-west_central";"morning peak";"649";"Friday";2
"2017-02-27";"south-west_central";"morning peak";NA;"Monday";2
"2017-02-28";"south-west_central";"morning peak";NA;"Tuesday";2
"2017-03-01";"south-west_central";"morning peak";NA;"Wednesday";3
"2017-03-02";"south-west_central";"morning peak";"656";"Thursday";3
"2017-03-03";"south-west_central";"morning peak";NA;"Friday";3
"2017-03-06";"south-west_central";"morning peak";"661";"Monday";3
"2017-03-07";"south-west_central";"morning peak";"645";"Tuesday";3
"2017-03-08";"south-west_central";"morning peak";"606";"Wednesday";3
"2017-03-09";"south-west_central";"morning peak";NA;"Thursday";3
"2017-03-10";"south-west_central";"morning peak";"507";"Friday";3
"2017-03-13";"south-west_central";"morning peak";"684";"Monday";3
"2017-03-14";"south-west_central";"morning peak";"676";"Tuesday";3
"2017-03-15";"south-west_central";"morning peak";"666";"Wednesday";3
"2017-03-16";"south-west_central";"morning peak";"631";"Thursday";3
"2017-03-17";"south-west_central";"morning peak";"582";"Friday";3
"2017-03-20";"south-west_central";"morning peak";"709";"Monday";3
"2017-03-21";"south-west_central";"morning peak";"639";"Tuesday";3
"2017-03-22";"south-west_central";"morning peak";"481";"Wednesday";3
"2017-03-23";"south-west_central";"morning peak";"465";"Thursday";3
"2017-03-24";"south-west_central";"morning peak";"398";"Friday";3
"2017-03-27";"south-west_central";"morning peak";"671";"Monday";3
"2017-03-28";"south-west_central";"morning peak";"545";"Tuesday";3
"2017-03-29";"south-west_central";"morning peak";"586";"Wednesday";3
"2017-03-30";"south-west_central";"morning peak";"712";"Thursday";3
"2017-03-31";"south-west_central";"morning peak";"541";"Friday";3
"2017-04-03";"south-west_central";"morning peak";"630";"Monday";4
"2017-04-04";"south-west_central";"morning peak";"493";"Tuesday";4
"2017-04-05";"south-west_central";"morning peak";"430";"Wednesday";4
"2017-04-06";"south-west_central";"morning peak";"508";"Thursday";4
"2017-04-07";"south-west_central";"morning peak";"545";"Friday";4
"2017-04-10";"south-west_central";"morning peak";"599";"Monday";4
"2017-04-11";"south-west_central";"morning peak";NA;"Tuesday";4
"2017-04-12";"south-west_central";"morning peak";"519";"Wednesday";4
"2017-04-13";"south-west_central";"morning peak";NA;"Thursday";4
"2017-04-14";"south-west_central";"morning peak";NA;"Friday";4
"2017-04-17";"south-west_central";"morning peak";"498";"Monday";4
"2017-04-18";"south-west_central";"morning peak";"516";"Tuesday";4
"2017-04-19";"south-west_central";"morning peak";"495";"Wednesday";4
"2017-04-20";"south-west_central";"morning peak";"650";"Thursday";4
"2017-04-21";"south-west_central";"morning peak";NA;"Friday";4
"2017-04-24";"south-west_central";"morning peak";"390";"Monday";4
"2017-04-25";"south-west_central";"morning peak";"506";"Tuesday";4
"2017-04-26";"south-west_central";"morning peak";"565";"Wednesday";4
"2017-04-27";"south-west_central";"morning peak";"523";"Thursday";4
"2017-04-28";"south-west_central";"morning peak";"507";"Friday";4
"2017-05-01";"south-west_central";"morning peak";NA;"Monday";5
"2017-05-02";"south-west_central";"morning peak";"531";"Tuesday";5
"2017-05-03";"south-west_central";"morning peak";"538";"Wednesday";5
"2017-05-04";"south-west_central";"morning peak";"553";"Thursday";5
"2017-05-05";"south-west_central";"morning peak";"485";"Friday";5
"2017-05-08";"south-west_central";"morning peak";NA;"Monday";5
"2017-05-09";"south-west_central";"morning peak";"637";"Tuesday";5
"2017-05-10";"south-west_central";"morning peak";"623";"Wednesday";5
"2017-05-11";"south-west_central";"morning peak";"580";"Thursday";5
"2017-05-12";"south-west_central";"morning peak";"524";"Friday";5
"2017-05-15";"south-west_central";"morning peak";"619";"Monday";5
"2017-05-16";"south-west_central";"morning peak";"639";"Tuesday";5
"2017-05-17";"south-west_central";"morning peak";"631";"Wednesday";5
"2017-05-18";"south-west_central";"morning peak";"586";"Thursday";5
"2017-05-19";"south-west_central";"morning peak";"649";"Friday";5
"2017-05-22";"south-west_central";"morning peak";"548";"Monday";5
"2017-05-23";"south-west_central";"morning peak";"515";"Tuesday";5
"2017-05-24";"south-west_central";"morning peak";"532";"Wednesday";5
"2017-05-25";"south-west_central";"morning peak";"520";"Thursday";5
"2017-05-26";"south-west_central";"morning peak";"614";"Friday";5
"2017-05-29";"south-west_central";"morning peak";"376";"Monday";5
"2017-05-30";"south-west_central";"morning peak";"448";"Tuesday";5
"2017-05-31";"south-west_central";"morning peak";"540";"Wednesday";5
"2017-06-01";"south-west_central";"morning peak";"595";"Thursday";6
"2017-06-02";"south-west_central";"morning peak";"575";"Friday";6
"2017-06-05";"south-west_central";"morning peak";"622";"Monday";6
"2017-06-06";"south-west_central";"morning peak";"486";"Tuesday";6
"2017-06-07";"south-west_central";"morning peak";"716";"Wednesday";6
"2017-06-08";"south-west_central";"morning peak";"514";"Thursday";6
"2017-06-09";"south-west_central";"morning peak";"482";"Friday";6
"2017-06-12";"south-west_central";"morning peak";"443";"Monday";6
"2017-06-13";"south-west_central";"morning peak";"568";"Tuesday";6
"2017-06-14";"south-west_central";"morning peak";"547";"Wednesday";6
"2017-06-15";"south-west_central";"morning peak";NA;"Thursday";6
"2017-06-16";"south-west_central";"morning peak";"600";"Friday";6
"2017-06-19";"south-west_central";"morning peak";"548";"Monday";6
"2017-06-20";"south-west_central";"morning peak";"513";"Tuesday";6
"2017-06-21";"south-west_central";"morning peak";"507";"Wednesday";6
"2017-06-22";"south-west_central";"morning peak";"453";"Thursday";6
"2017-06-23";"south-west_central";"morning peak";"532";"Friday";6
"2017-06-26";"south-west_central";"morning peak";"632";"Monday";6
"2017-06-27";"south-west_central";"morning peak";"540";"Tuesday";6
"2017-06-28";"south-west_central";"morning peak";"528";"Wednesday";6
"2017-06-29";"south-west_central";"morning peak";"500";"Thursday";6
"2017-06-30";"south-west_central";"morning peak";"469";"Friday";6
"2017-07-03";"south-west_central";"morning peak";"448";"Monday";7
"2017-07-04";"south-west_central";"morning peak";"497";"Tuesday";7
"2017-07-05";"south-west_central";"morning peak";"535";"Wednesday";7
"2017-07-06";"south-west_central";"morning peak";"637";"Thursday";7
"2017-07-07";"south-west_central";"morning peak";"638";"Friday";7
"2017-07-10";"south-west_central";"morning peak";"529";"Monday";7
"2017-07-11";"south-west_central";"morning peak";"599";"Tuesday";7
"2017-07-12";"south-west_central";"morning peak";"459";"Wednesday";7
"2017-07-13";"south-west_central";"morning peak";"456";"Thursday";7
"2017-07-14";"south-west_central";"morning peak";"384";"Friday";7
"2017-07-17";"south-west_central";"morning peak";"513";"Monday";7
"2017-07-18";"south-west_central";"morning peak";"680";"Tuesday";7
"2017-07-19";"south-west_central";"morning peak";"486";"Wednesday";7
"2017-07-20";"south-west_central";"morning peak";"482";"Thursday";7
"2017-07-21";"south-west_central";"morning peak";"499";"Friday";7
"2017-07-24";"south-west_central";"morning peak";"454";"Monday";7
"2017-07-25";"south-west_central";"morning peak";"397";"Tuesday";7
"2017-07-26";"south-west_central";"morning peak";"501";"Wednesday";7
"2017-07-27";"south-west_central";"morning peak";"407";"Thursday";7
"2017-07-28";"south-west_central";"morning peak";"529";"Friday";7
"2017-07-31";"south-west_central";"morning peak";"479";"Monday";7
"2017-08-01";"south-west_central";"morning peak";"510";"Tuesday";8
"2017-08-02";"south-west_central";"morning peak";"580";"Wednesday";8
"2017-08-03";"south-west_central";"morning peak";"509";"Thursday";8
"2017-08-04";"south-west_central";"morning peak";"581";"Friday";8
"2017-08-07";"south-west_central";"morning peak";"654";"Monday";8
"2017-08-08";"south-west_central";"morning peak";"532";"Tuesday";8
"2017-08-09";"south-west_central";"morning peak";"567";"Wednesday";8
"2017-08-10";"south-west_central";"morning peak";"528";"Thursday";8
"2017-08-11";"south-west_central";"morning peak";"609";"Friday";8
"2017-08-14";"south-west_central";"morning peak";"584";"Monday";8
"2017-08-15";"south-west_central";"morning peak";NA;"Tuesday";8
"2017-08-16";"south-west_central";"morning peak";"609";"Wednesday";8
"2017-08-17";"south-west_central";"morning peak";"522";"Thursday";8
"2017-08-18";"south-west_central";"morning peak";"564";"Friday";8
"2017-08-21";"south-west_central";"morning peak";"552";"Monday";8
"2017-08-22";"south-west_central";"morning peak";"572";"Tuesday";8
"2017-08-23";"south-west_central";"morning peak";"527";"Wednesday";8
"2017-08-24";"south-west_central";"morning peak";"611";"Thursday";8
"2017-08-25";"south-west_central";"morning peak";"568";"Friday";8
"2017-08-28";"south-west_central";"morning peak";"603";"Monday";8
"2017-08-29";"south-west_central";"morning peak";"537";"Tuesday";8
"2017-08-30";"south-west_central";"morning peak";"577";"Wednesday";8
"2017-08-31";"south-west_central";"morning peak";"636";"Thursday";8
"2017-09-01";"south-west_central";"morning peak";"512";"Friday";9
"2017-09-04";"south-west_central";"morning peak";"580";"Monday";9
"2017-09-05";"south-west_central";"morning peak";"489";"Tuesday";9
"2017-09-06";"south-west_central";"morning peak";"562";"Wednesday";9
"2017-09-07";"south-west_central";"morning peak";NA;"Thursday";9
"2017-09-08";"south-west_central";"morning peak";"602";"Friday";9
"2017-09-11";"south-west_central";"morning peak";"546";"Monday";9
"2017-09-12";"south-west_central";"morning peak";"571";"Tuesday";9
"2017-09-13";"south-west_central";"morning peak";"565";"Wednesday";9
"2017-09-14";"south-west_central";"morning peak";"553";"Thursday";9
"2017-09-15";"south-west_central";"morning peak";"583";"Friday";9
"2017-09-18";"south-west_central";"morning peak";"622";"Monday";9
"2017-09-19";"south-west_central";"morning peak";"581";"Tuesday";9
"2017-09-20";"south-west_central";"morning peak";"583";"Wednesday";9
"2017-09-21";"south-west_central";"morning peak";"578";"Thursday";9
"2017-09-22";"south-west_central";"morning peak";"700";"Friday";9
"2017-09-25";"south-west_central";"morning peak";"463";"Monday";9
"2017-09-26";"south-west_central";"morning peak";"562";"Tuesday";9
"2017-09-27";"south-west_central";"morning peak";"662";"Wednesday";9
"2017-09-28";"south-west_central";"morning peak";"698";"Thursday";9
"2017-09-29";"south-west_central";"morning peak";"651";"Friday";9
"2017-10-02";"south-west_central";"morning peak";"672";"Monday";10
"2017-10-03";"south-west_central";"morning peak";"625";"Tuesday";10
"2017-10-04";"south-west_central";"morning peak";"615";"Wednesday";10
"2017-10-05";"south-west_central";"morning peak";"585";"Thursday";10
"2017-10-06";"south-west_central";"morning peak";"670";"Friday";10
"2017-10-09";"south-west_central";"morning peak";"696";"Monday";10
"2017-10-10";"south-west_central";"morning peak";"628";"Tuesday";10
"2017-10-11";"south-west_central";"morning peak";"726";"Wednesday";10
"2017-10-12";"south-west_central";"morning peak";NA;"Thursday";10
"2017-10-13";"south-west_central";"morning peak";"650";"Friday";10
"2017-10-16";"south-west_central";"morning peak";"635";"Monday";10
"2017-10-17";"south-west_central";"morning peak";"628";"Tuesday";10
"2017-10-18";"south-west_central";"morning peak";"599";"Wednesday";10
"2017-10-19";"south-west_central";"morning peak";"711";"Thursday";10
"2017-10-20";"south-west_central";"morning peak";"672";"Friday";10
"2017-10-23";"south-west_central";"morning peak";"656";"Monday";10
"2017-10-24";"south-west_central";"morning peak";"656";"Tuesday";10
"2017-10-25";"south-west_central";"morning peak";"607";"Wednesday";10
"2017-10-26";"south-west_central";"morning peak";NA;"Thursday";10
"2017-10-27";"south-west_central";"morning peak";"644";"Friday";10
"2017-10-30";"south-west_central";"morning peak";"628";"Monday";10
"2017-10-31";"south-west_central";"morning peak";"657";"Tuesday";10
"2017-11-01";"south-west_central";"morning peak";"614";"Wednesday";11
"2017-11-02";"south-west_central";"morning peak";NA;"Thursday";11
"2017-11-03";"south-west_central";"morning peak";"630";"Friday";11
"2017-11-06";"south-west_central";"morning peak";"680";"Monday";11
"2017-11-07";"south-west_central";"morning peak";"676";"Tuesday";11
"2017-11-08";"south-west_central";"morning peak";"647";"Wednesday";11
"2017-11-09";"south-west_central";"morning peak";"676";"Thursday";11
"2017-11-10";"south-west_central";"morning peak";"635";"Friday";11
"2017-11-13";"south-west_central";"morning peak";"695";"Monday";11
"2017-11-14";"south-west_central";"morning peak";"623";"Tuesday";11
"2017-11-15";"south-west_central";"morning peak";NA;"Wednesday";11
"2017-11-16";"south-west_central";"morning peak";"639";"Thursday";11
"2017-11-17";"south-west_central";"morning peak";"710";"Friday";11
"2017-11-20";"south-west_central";"morning peak";"693";"Monday";11
"2017-11-21";"south-west_central";"morning peak";"652";"Tuesday";11
"2017-11-22";"south-west_central";"morning peak";"659";"Wednesday";11
"2017-11-23";"south-west_central";"morning peak";"634";"Thursday";11
"2017-11-24";"south-west_central";"morning peak";"736";"Friday";11
"2017-11-27";"south-west_central";"morning peak";"728";"Monday";11
"2017-11-28";"south-west_central";"morning peak";"687";"Tuesday";11
"2017-11-29";"south-west_central";"morning peak";"701";"Wednesday";11
"2017-11-30";"south-west_central";"morning peak";"644";"Thursday";11
"2017-12-01";"south-west_central";"morning peak";"657";"Friday";12
"2017-12-04";"south-west_central";"morning peak";"690";"Monday";12
"2017-12-05";"south-west_central";"morning peak";"656";"Tuesday";12
"2017-12-06";"south-west_central";"morning peak";"634";"Wednesday";12
"2017-12-07";"south-west_central";"morning peak";"640";"Thursday";12
"2017-12-08";"south-west_central";"morning peak";"698";"Friday";12
"2017-12-11";"south-west_central";"morning peak";"697";"Monday";12
"2017-12-12";"south-west_central";"morning peak";"645";"Tuesday";12
"2017-12-13";"south-west_central";"morning peak";"722";"Wednesday";12
"2017-12-14";"south-west_central";"morning peak";"727";"Thursday";12
"2017-12-15";"south-west_central";"morning peak";"698";"Friday";12
"2017-12-18";"south-west_central";"morning peak";"689";"Monday";12
