"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south-west_northeast";"morning peak";"37";"Monday";1
"2017-01-03";"south-west_northeast";"morning peak";"42";"Tuesday";1
"2017-01-04";"south-west_northeast";"morning peak";"32";"Wednesday";1
"2017-01-05";"south-west_northeast";"morning peak";"22";"Thursday";1
"2017-01-06";"south-west_northeast";"morning peak";"29";"Friday";1
"2017-01-09";"south-west_northeast";"morning peak";"30";"Monday";1
"2017-01-10";"south-west_northeast";"morning peak";"34";"Tuesday";1
"2017-01-11";"south-west_northeast";"morning peak";"23";"Wednesday";1
"2017-01-12";"south-west_northeast";"morning peak";"42";"Thursday";1
"2017-01-13";"south-west_northeast";"morning peak";"28";"Friday";1
"2017-01-16";"south-west_northeast";"morning peak";"26";"Monday";1
"2017-01-17";"south-west_northeast";"morning peak";"29";"Tuesday";1
"2017-01-18";"south-west_northeast";"morning peak";"25";"Wednesday";1
"2017-01-19";"south-west_northeast";"morning peak";"39";"Thursday";1
"2017-01-20";"south-west_northeast";"morning peak";"29";"Friday";1
"2017-01-23";"south-west_northeast";"morning peak";"31";"Monday";1
"2017-01-24";"south-west_northeast";"morning peak";"28";"Tuesday";1
"2017-01-25";"south-west_northeast";"morning peak";"36";"Wednesday";1
"2017-01-26";"south-west_northeast";"morning peak";"43";"Thursday";1
"2017-01-27";"south-west_northeast";"morning peak";"29";"Friday";1
"2017-01-30";"south-west_northeast";"morning peak";"39";"Monday";1
"2017-01-31";"south-west_northeast";"morning peak";"25";"Tuesday";1
"2017-02-01";"south-west_northeast";"morning peak";"31";"Wednesday";2
"2017-02-02";"south-west_northeast";"morning peak";"29";"Thursday";2
"2017-02-03";"south-west_northeast";"morning peak";"33";"Friday";2
"2017-02-06";"south-west_northeast";"morning peak";"37";"Monday";2
"2017-02-07";"south-west_northeast";"morning peak";"32";"Tuesday";2
"2017-02-08";"south-west_northeast";"morning peak";"40";"Wednesday";2
"2017-02-09";"south-west_northeast";"morning peak";"33";"Thursday";2
"2017-02-10";"south-west_northeast";"morning peak";"38";"Friday";2
"2017-02-13";"south-west_northeast";"morning peak";"46";"Monday";2
"2017-02-14";"south-west_northeast";"morning peak";"42";"Tuesday";2
"2017-02-15";"south-west_northeast";"morning peak";"32";"Wednesday";2
"2017-02-16";"south-west_northeast";"morning peak";"39";"Thursday";2
"2017-02-17";"south-west_northeast";"morning peak";"20";"Friday";2
"2017-02-20";"south-west_northeast";"morning peak";"25";"Monday";2
"2017-02-21";"south-west_northeast";"morning peak";"35";"Tuesday";2
"2017-02-22";"south-west_northeast";"morning peak";"39";"Wednesday";2
"2017-02-23";"south-west_northeast";"morning peak";"40";"Thursday";2
"2017-02-24";"south-west_northeast";"morning peak";"44";"Friday";2
"2017-02-27";"south-west_northeast";"morning peak";NA;"Monday";2
"2017-02-28";"south-west_northeast";"morning peak";NA;"Tuesday";2
"2017-03-01";"south-west_northeast";"morning peak";NA;"Wednesday";3
"2017-03-02";"south-west_northeast";"morning peak";"28";"Thursday";3
"2017-03-03";"south-west_northeast";"morning peak";"23";"Friday";3
"2017-03-06";"south-west_northeast";"morning peak";"40";"Monday";3
"2017-03-07";"south-west_northeast";"morning peak";"24";"Tuesday";3
"2017-03-08";"south-west_northeast";"morning peak";"34";"Wednesday";3
"2017-03-09";"south-west_northeast";"morning peak";"11";"Thursday";3
"2017-03-10";"south-west_northeast";"morning peak";"22";"Friday";3
"2017-03-13";"south-west_northeast";"morning peak";"37";"Monday";3
"2017-03-14";"south-west_northeast";"morning peak";"31";"Tuesday";3
"2017-03-15";"south-west_northeast";"morning peak";"27";"Wednesday";3
"2017-03-16";"south-west_northeast";"morning peak";"32";"Thursday";3
"2017-03-17";"south-west_northeast";"morning peak";"26";"Friday";3
"2017-03-20";"south-west_northeast";"morning peak";"17";"Monday";3
"2017-03-21";"south-west_northeast";"morning peak";"41";"Tuesday";3
"2017-03-22";"south-west_northeast";"morning peak";"28";"Wednesday";3
"2017-03-23";"south-west_northeast";"morning peak";"31";"Thursday";3
"2017-03-24";"south-west_northeast";"morning peak";"25";"Friday";3
"2017-03-27";"south-west_northeast";"morning peak";"29";"Monday";3
"2017-03-28";"south-west_northeast";"morning peak";"37";"Tuesday";3
"2017-03-29";"south-west_northeast";"morning peak";"31";"Wednesday";3
"2017-03-30";"south-west_northeast";"morning peak";"36";"Thursday";3
"2017-03-31";"south-west_northeast";"morning peak";"22";"Friday";3
"2017-04-03";"south-west_northeast";"morning peak";"45";"Monday";4
"2017-04-04";"south-west_northeast";"morning peak";"26";"Tuesday";4
"2017-04-05";"south-west_northeast";"morning peak";"23";"Wednesday";4
"2017-04-06";"south-west_northeast";"morning peak";"26";"Thursday";4
"2017-04-07";"south-west_northeast";"morning peak";"36";"Friday";4
"2017-04-10";"south-west_northeast";"morning peak";"27";"Monday";4
"2017-04-11";"south-west_northeast";"morning peak";"18";"Tuesday";4
"2017-04-12";"south-west_northeast";"morning peak";"24";"Wednesday";4
"2017-04-13";"south-west_northeast";"morning peak";NA;"Thursday";4
"2017-04-14";"south-west_northeast";"morning peak";NA;"Friday";4
"2017-04-17";"south-west_northeast";"morning peak";"23";"Monday";4
"2017-04-18";"south-west_northeast";"morning peak";"30";"Tuesday";4
"2017-04-19";"south-west_northeast";"morning peak";"31";"Wednesday";4
"2017-04-20";"south-west_northeast";"morning peak";"30";"Thursday";4
"2017-04-21";"south-west_northeast";"morning peak";NA;"Friday";4
"2017-04-24";"south-west_northeast";"morning peak";"23";"Monday";4
"2017-04-25";"south-west_northeast";"morning peak";"21";"Tuesday";4
"2017-04-26";"south-west_northeast";"morning peak";"30";"Wednesday";4
"2017-04-27";"south-west_northeast";"morning peak";"31";"Thursday";4
"2017-04-28";"south-west_northeast";"morning peak";"39";"Friday";4
"2017-05-01";"south-west_northeast";"morning peak";NA;"Monday";5
"2017-05-02";"south-west_northeast";"morning peak";"25";"Tuesday";5
"2017-05-03";"south-west_northeast";"morning peak";"32";"Wednesday";5
"2017-05-04";"south-west_northeast";"morning peak";"29";"Thursday";5
"2017-05-05";"south-west_northeast";"morning peak";"26";"Friday";5
"2017-05-08";"south-west_northeast";"morning peak";"15";"Monday";5
