"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south-west_northwest";"morning peak";"703";"Monday";1
"2017-01-03";"south-west_northwest";"morning peak";"806";"Tuesday";1
"2017-01-04";"south-west_northwest";"morning peak";"867";"Wednesday";1
"2017-01-05";"south-west_northwest";"morning peak";"884";"Thursday";1
"2017-01-06";"south-west_northwest";"morning peak";"847";"Friday";1
"2017-01-09";"south-west_northwest";"morning peak";"1054";"Monday";1
"2017-01-10";"south-west_northwest";"morning peak";"878";"Tuesday";1
"2017-01-11";"south-west_northwest";"morning peak";"891";"Wednesday";1
"2017-01-12";"south-west_northwest";"morning peak";"975";"Thursday";1
"2017-01-13";"south-west_northwest";"morning peak";"923";"Friday";1
"2017-01-16";"south-west_northwest";"morning peak";"930";"Monday";1
"2017-01-17";"south-west_northwest";"morning peak";"910";"Tuesday";1
"2017-01-18";"south-west_northwest";"morning peak";"1082";"Wednesday";1
"2017-01-19";"south-west_northwest";"morning peak";"989";"Thursday";1
"2017-01-20";"south-west_northwest";"morning peak";"942";"Friday";1
"2017-01-23";"south-west_northwest";"morning peak";"1011";"Monday";1
"2017-01-24";"south-west_northwest";"morning peak";"1008";"Tuesday";1
"2017-01-25";"south-west_northwest";"morning peak";"1035";"Wednesday";1
"2017-01-26";"south-west_northwest";"morning peak";"1165";"Thursday";1
"2017-01-27";"south-west_northwest";"morning peak";"1087";"Friday";1
"2017-01-30";"south-west_northwest";"morning peak";"1196";"Monday";1
"2017-01-31";"south-west_northwest";"morning peak";"1083";"Tuesday";1
"2017-02-01";"south-west_northwest";"morning peak";"1107";"Wednesday";2
"2017-02-02";"south-west_northwest";"morning peak";"1102";"Thursday";2
"2017-02-03";"south-west_northwest";"morning peak";"1036";"Friday";2
"2017-02-06";"south-west_northwest";"morning peak";"1163";"Monday";2
"2017-02-07";"south-west_northwest";"morning peak";"1099";"Tuesday";2
"2017-02-08";"south-west_northwest";"morning peak";"994";"Wednesday";2
"2017-02-09";"south-west_northwest";"morning peak";"999";"Thursday";2
"2017-02-10";"south-west_northwest";"morning peak";"962";"Friday";2
"2017-02-13";"south-west_northwest";"morning peak";"1078";"Monday";2
"2017-02-14";"south-west_northwest";"morning peak";"960";"Tuesday";2
"2017-02-15";"south-west_northwest";"morning peak";"1015";"Wednesday";2
"2017-02-16";"south-west_northwest";"morning peak";"1016";"Thursday";2
"2017-02-17";"south-west_northwest";"morning peak";"801";"Friday";2
"2017-02-20";"south-west_northwest";"morning peak";"903";"Monday";2
"2017-02-21";"south-west_northwest";"morning peak";"701";"Tuesday";2
"2017-02-22";"south-west_northwest";"morning peak";"655";"Wednesday";2
"2017-02-23";"south-west_northwest";"morning peak";"912";"Thursday";2
"2017-02-24";"south-west_northwest";"morning peak";"919";"Friday";2
