"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south-west_south";"morning peak";"531";"Monday";1
"2017-01-03";"south-west_south";"morning peak";"710";"Tuesday";1
"2017-01-04";"south-west_south";"morning peak";"664";"Wednesday";1
"2017-01-05";"south-west_south";"morning peak";"566";"Thursday";1
"2017-01-06";"south-west_south";"morning peak";"804";"Friday";1
"2017-01-09";"south-west_south";"morning peak";"668";"Monday";1
"2017-01-10";"south-west_south";"morning peak";"586";"Tuesday";1
"2017-01-11";"south-west_south";"morning peak";"640";"Wednesday";1
"2017-01-12";"south-west_south";"morning peak";"693";"Thursday";1
"2017-01-13";"south-west_south";"morning peak";"726";"Friday";1
"2017-01-16";"south-west_south";"morning peak";"903";"Monday";1
"2017-01-17";"south-west_south";"morning peak";"779";"Tuesday";1
"2017-01-18";"south-west_south";"morning peak";"786";"Wednesday";1
"2017-01-19";"south-west_south";"morning peak";"725";"Thursday";1
"2017-01-20";"south-west_south";"morning peak";"702";"Friday";1
"2017-01-23";"south-west_south";"morning peak";"661";"Monday";1
"2017-01-24";"south-west_south";"morning peak";"687";"Tuesday";1
"2017-01-25";"south-west_south";"morning peak";"529";"Wednesday";1
"2017-01-26";"south-west_south";"morning peak";"767";"Thursday";1
"2017-01-27";"south-west_south";"morning peak";"715";"Friday";1
"2017-01-30";"south-west_south";"morning peak";"873";"Monday";1
"2017-01-31";"south-west_south";"morning peak";"822";"Tuesday";1
"2017-02-01";"south-west_south";"morning peak";"710";"Wednesday";2
"2017-02-02";"south-west_south";"morning peak";"705";"Thursday";2
"2017-02-03";"south-west_south";"morning peak";"764";"Friday";2
"2017-02-06";"south-west_south";"morning peak";"803";"Monday";2
"2017-02-07";"south-west_south";"morning peak";"769";"Tuesday";2
"2017-02-08";"south-west_south";"morning peak";"807";"Wednesday";2
"2017-02-09";"south-west_south";"morning peak";"690";"Thursday";2
"2017-02-10";"south-west_south";"morning peak";"819";"Friday";2
"2017-02-13";"south-west_south";"morning peak";NA;"Monday";2
"2017-02-14";"south-west_south";"morning peak";"940";"Tuesday";2
"2017-02-15";"south-west_south";"morning peak";NA;"Wednesday";2
"2017-02-16";"south-west_south";"morning peak";"704";"Thursday";2
"2017-02-17";"south-west_south";"morning peak";"721";"Friday";2
"2017-02-20";"south-west_south";"morning peak";"706";"Monday";2
"2017-02-21";"south-west_south";"morning peak";"712";"Tuesday";2
"2017-02-22";"south-west_south";"morning peak";"712";"Wednesday";2
"2017-02-23";"south-west_south";"morning peak";"733";"Thursday";2
"2017-02-24";"south-west_south";"morning peak";"782";"Friday";2
"2017-02-27";"south-west_south";"morning peak";NA;"Monday";2
"2017-02-28";"south-west_south";"morning peak";NA;"Tuesday";2
"2017-03-01";"south-west_south";"morning peak";NA;"Wednesday";3
"2017-03-02";"south-west_south";"morning peak";"663";"Thursday";3
"2017-03-03";"south-west_south";"morning peak";NA;"Friday";3
"2017-03-06";"south-west_south";"morning peak";"817";"Monday";3
"2017-03-07";"south-west_south";"morning peak";"680";"Tuesday";3
"2017-03-08";"south-west_south";"morning peak";"844";"Wednesday";3
"2017-03-09";"south-west_south";"morning peak";NA;"Thursday";3
"2017-03-10";"south-west_south";"morning peak";"548";"Friday";3
"2017-03-13";"south-west_south";"morning peak";"790";"Monday";3
"2017-03-14";"south-west_south";"morning peak";"842";"Tuesday";3
"2017-03-15";"south-west_south";"morning peak";"804";"Wednesday";3
"2017-03-16";"south-west_south";"morning peak";"827";"Thursday";3
"2017-03-17";"south-west_south";"morning peak";"592";"Friday";3
"2017-03-20";"south-west_south";"morning peak";"897";"Monday";3
"2017-03-21";"south-west_south";"morning peak";"704";"Tuesday";3
"2017-03-22";"south-west_south";"morning peak";"653";"Wednesday";3
"2017-03-23";"south-west_south";"morning peak";"576";"Thursday";3
"2017-03-24";"south-west_south";"morning peak";"488";"Friday";3
"2017-03-27";"south-west_south";"morning peak";"758";"Monday";3
"2017-03-28";"south-west_south";"morning peak";"655";"Tuesday";3
"2017-03-29";"south-west_south";"morning peak";"724";"Wednesday";3
"2017-03-30";"south-west_south";"morning peak";"840";"Thursday";3
"2017-03-31";"south-west_south";"morning peak";"516";"Friday";3
"2017-04-03";"south-west_south";"morning peak";"781";"Monday";4
"2017-04-04";"south-west_south";"morning peak";"797";"Tuesday";4
"2017-04-05";"south-west_south";"morning peak";"541";"Wednesday";4
"2017-04-06";"south-west_south";"morning peak";"689";"Thursday";4
"2017-04-07";"south-west_south";"morning peak";"733";"Friday";4
"2017-04-10";"south-west_south";"morning peak";"763";"Monday";4
"2017-04-11";"south-west_south";"morning peak";NA;"Tuesday";4
"2017-04-12";"south-west_south";"morning peak";"611";"Wednesday";4
"2017-04-13";"south-west_south";"morning peak";NA;"Thursday";4
"2017-04-14";"south-west_south";"morning peak";NA;"Friday";4
"2017-04-17";"south-west_south";"morning peak";"674";"Monday";4
"2017-04-18";"south-west_south";"morning peak";"770";"Tuesday";4
"2017-04-19";"south-west_south";"morning peak";"680";"Wednesday";4
"2017-04-20";"south-west_south";"morning peak";"754";"Thursday";4
"2017-04-21";"south-west_south";"morning peak";NA;"Friday";4
"2017-04-24";"south-west_south";"morning peak";NA;"Monday";4
"2017-04-25";"south-west_south";"morning peak";"691";"Tuesday";4
"2017-04-26";"south-west_south";"morning peak";"771";"Wednesday";4
"2017-04-27";"south-west_south";"morning peak";"695";"Thursday";4
"2017-04-28";"south-west_south";"morning peak";"700";"Friday";4
"2017-05-01";"south-west_south";"morning peak";NA;"Monday";5
"2017-05-02";"south-west_south";"morning peak";"743";"Tuesday";5
"2017-05-03";"south-west_south";"morning peak";"686";"Wednesday";5
"2017-05-04";"south-west_south";"morning peak";"650";"Thursday";5
"2017-05-05";"south-west_south";"morning peak";"691";"Friday";5
"2017-05-08";"south-west_south";"morning peak";"479";"Monday";5
"2017-05-09";"south-west_south";"morning peak";"795";"Tuesday";5
"2017-05-10";"south-west_south";"morning peak";"782";"Wednesday";5
"2017-05-11";"south-west_south";"morning peak";"760";"Thursday";5
"2017-05-12";"south-west_south";"morning peak";"693";"Friday";5
"2017-05-15";"south-west_south";"morning peak";"797";"Monday";5
"2017-05-16";"south-west_south";"morning peak";"781";"Tuesday";5
"2017-05-17";"south-west_south";"morning peak";"694";"Wednesday";5
"2017-05-18";"south-west_south";"morning peak";"643";"Thursday";5
"2017-05-19";"south-west_south";"morning peak";"731";"Friday";5
"2017-05-22";"south-west_south";"morning peak";"707";"Monday";5
"2017-05-23";"south-west_south";"morning peak";"718";"Tuesday";5
"2017-05-24";"south-west_south";"morning peak";"681";"Wednesday";5
"2017-05-25";"south-west_south";"morning peak";"703";"Thursday";5
"2017-05-26";"south-west_south";"morning peak";"774";"Friday";5
"2017-05-29";"south-west_south";"morning peak";"504";"Monday";5
"2017-05-30";"south-west_south";"morning peak";"670";"Tuesday";5
"2017-05-31";"south-west_south";"morning peak";"709";"Wednesday";5
"2017-06-01";"south-west_south";"morning peak";"688";"Thursday";6
"2017-06-02";"south-west_south";"morning peak";"675";"Friday";6
"2017-06-05";"south-west_south";"morning peak";"755";"Monday";6
"2017-06-06";"south-west_south";"morning peak";"662";"Tuesday";6
"2017-06-07";"south-west_south";"morning peak";"765";"Wednesday";6
"2017-06-08";"south-west_south";"morning peak";"649";"Thursday";6
"2017-06-09";"south-west_south";"morning peak";"644";"Friday";6
"2017-06-12";"south-west_south";"morning peak";"706";"Monday";6
"2017-06-13";"south-west_south";"morning peak";"684";"Tuesday";6
"2017-06-14";"south-west_south";"morning peak";"696";"Wednesday";6
"2017-06-15";"south-west_south";"morning peak";NA;"Thursday";6
"2017-06-16";"south-west_south";"morning peak";"686";"Friday";6
"2017-06-19";"south-west_south";"morning peak";"737";"Monday";6
"2017-06-20";"south-west_south";"morning peak";"630";"Tuesday";6
"2017-06-21";"south-west_south";"morning peak";"531";"Wednesday";6
"2017-06-22";"south-west_south";"morning peak";"662";"Thursday";6
"2017-06-23";"south-west_south";"morning peak";"621";"Friday";6
"2017-06-26";"south-west_south";"morning peak";"675";"Monday";6
"2017-06-27";"south-west_south";"morning peak";"632";"Tuesday";6
"2017-06-28";"south-west_south";"morning peak";"632";"Wednesday";6
"2017-06-29";"south-west_south";"morning peak";"601";"Thursday";6
"2017-06-30";"south-west_south";"morning peak";"658";"Friday";6
"2017-07-03";"south-west_south";"morning peak";"561";"Monday";7
"2017-07-04";"south-west_south";"morning peak";"563";"Tuesday";7
"2017-07-05";"south-west_south";"morning peak";"590";"Wednesday";7
"2017-07-06";"south-west_south";"morning peak";"554";"Thursday";7
"2017-07-07";"south-west_south";"morning peak";"677";"Friday";7
"2017-07-10";"south-west_south";"morning peak";"689";"Monday";7
"2017-07-11";"south-west_south";"morning peak";"708";"Tuesday";7
"2017-07-12";"south-west_south";"morning peak";"587";"Wednesday";7
"2017-07-13";"south-west_south";"morning peak";"628";"Thursday";7
"2017-07-14";"south-west_south";"morning peak";"669";"Friday";7
"2017-07-17";"south-west_south";"morning peak";"725";"Monday";7
"2017-07-18";"south-west_south";"morning peak";"711";"Tuesday";7
"2017-07-19";"south-west_south";"morning peak";"649";"Wednesday";7
"2017-07-20";"south-west_south";"morning peak";"698";"Thursday";7
"2017-07-21";"south-west_south";"morning peak";"672";"Friday";7
"2017-07-24";"south-west_south";"morning peak";"638";"Monday";7
"2017-07-25";"south-west_south";"morning peak";"610";"Tuesday";7
"2017-07-26";"south-west_south";"morning peak";"757";"Wednesday";7
"2017-07-27";"south-west_south";"morning peak";"700";"Thursday";7
"2017-07-28";"south-west_south";"morning peak";"740";"Friday";7
"2017-07-31";"south-west_south";"morning peak";"664";"Monday";7
"2017-08-01";"south-west_south";"morning peak";"791";"Tuesday";8
"2017-08-02";"south-west_south";"morning peak";"785";"Wednesday";8
"2017-08-03";"south-west_south";"morning peak";"685";"Thursday";8
"2017-08-04";"south-west_south";"morning peak";"775";"Friday";8
"2017-08-07";"south-west_south";"morning peak";"820";"Monday";8
"2017-08-08";"south-west_south";"morning peak";"675";"Tuesday";8
"2017-08-09";"south-west_south";"morning peak";"734";"Wednesday";8
"2017-08-10";"south-west_south";"morning peak";"765";"Thursday";8
"2017-08-11";"south-west_south";"morning peak";"474";"Friday";8
"2017-08-14";"south-west_south";"morning peak";"602";"Monday";8
"2017-08-15";"south-west_south";"morning peak";NA;"Tuesday";8
"2017-08-16";"south-west_south";"morning peak";"839";"Wednesday";8
"2017-08-17";"south-west_south";"morning peak";"713";"Thursday";8
"2017-08-18";"south-west_south";"morning peak";"732";"Friday";8
"2017-08-21";"south-west_south";"morning peak";"760";"Monday";8
"2017-08-22";"south-west_south";"morning peak";"719";"Tuesday";8
"2017-08-23";"south-west_south";"morning peak";"674";"Wednesday";8
"2017-08-24";"south-west_south";"morning peak";"685";"Thursday";8
"2017-08-25";"south-west_south";"morning peak";"769";"Friday";8
"2017-08-28";"south-west_south";"morning peak";"649";"Monday";8
"2017-08-29";"south-west_south";"morning peak";"720";"Tuesday";8
"2017-08-30";"south-west_south";"morning peak";"733";"Wednesday";8
"2017-08-31";"south-west_south";"morning peak";"745";"Thursday";8
"2017-09-01";"south-west_south";"morning peak";"704";"Friday";9
"2017-09-04";"south-west_south";"morning peak";"719";"Monday";9
"2017-09-05";"south-west_south";"morning peak";"688";"Tuesday";9
"2017-09-06";"south-west_south";"morning peak";"561";"Wednesday";9
"2017-09-07";"south-west_south";"morning peak";NA;"Thursday";9
"2017-09-08";"south-west_south";"morning peak";"606";"Friday";9
"2017-09-11";"south-west_south";"morning peak";"596";"Monday";9
"2017-09-12";"south-west_south";"morning peak";"687";"Tuesday";9
"2017-09-13";"south-west_south";"morning peak";"700";"Wednesday";9
"2017-09-14";"south-west_south";"morning peak";"589";"Thursday";9
"2017-09-15";"south-west_south";"morning peak";"706";"Friday";9
"2017-09-18";"south-west_south";"morning peak";"646";"Monday";9
"2017-09-19";"south-west_south";"morning peak";"764";"Tuesday";9
"2017-09-20";"south-west_south";"morning peak";"731";"Wednesday";9
"2017-09-21";"south-west_south";"morning peak";"694";"Thursday";9
"2017-09-22";"south-west_south";"morning peak";"805";"Friday";9
"2017-09-25";"south-west_south";"morning peak";"674";"Monday";9
"2017-09-26";"south-west_south";"morning peak";"731";"Tuesday";9
"2017-09-27";"south-west_south";"morning peak";"766";"Wednesday";9
"2017-09-28";"south-west_south";"morning peak";"844";"Thursday";9
"2017-09-29";"south-west_south";"morning peak";"780";"Friday";9
"2017-10-02";"south-west_south";"morning peak";"677";"Monday";10
"2017-10-03";"south-west_south";"morning peak";"700";"Tuesday";10
"2017-10-04";"south-west_south";"morning peak";"748";"Wednesday";10
"2017-10-05";"south-west_south";"morning peak";"725";"Thursday";10
"2017-10-06";"south-west_south";"morning peak";"881";"Friday";10
"2017-10-09";"south-west_south";"morning peak";"799";"Monday";10
"2017-10-10";"south-west_south";"morning peak";"738";"Tuesday";10
"2017-10-11";"south-west_south";"morning peak";"914";"Wednesday";10
"2017-10-12";"south-west_south";"morning peak";NA;"Thursday";10
"2017-10-13";"south-west_south";"morning peak";"701";"Friday";10
"2017-10-16";"south-west_south";"morning peak";"728";"Monday";10
"2017-10-17";"south-west_south";"morning peak";"782";"Tuesday";10
"2017-10-18";"south-west_south";"morning peak";"704";"Wednesday";10
"2017-10-19";"south-west_south";"morning peak";"770";"Thursday";10
"2017-10-20";"south-west_south";"morning peak";NA;"Friday";10
"2017-10-23";"south-west_south";"morning peak";"632";"Monday";10
"2017-10-24";"south-west_south";"morning peak";"813";"Tuesday";10
"2017-10-25";"south-west_south";"morning peak";"582";"Wednesday";10
"2017-10-26";"south-west_south";"morning peak";NA;"Thursday";10
"2017-10-27";"south-west_south";"morning peak";"788";"Friday";10
"2017-10-30";"south-west_south";"morning peak";"694";"Monday";10
"2017-10-31";"south-west_south";"morning peak";"828";"Tuesday";10
"2017-11-01";"south-west_south";"morning peak";"721";"Wednesday";11
"2017-11-02";"south-west_south";"morning peak";NA;"Thursday";11
"2017-11-03";"south-west_south";"morning peak";"671";"Friday";11
"2017-11-06";"south-west_south";"morning peak";"772";"Monday";11
"2017-11-07";"south-west_south";"morning peak";"785";"Tuesday";11
"2017-11-08";"south-west_south";"morning peak";"666";"Wednesday";11
"2017-11-09";"south-west_south";"morning peak";"737";"Thursday";11
"2017-11-10";"south-west_south";"morning peak";"814";"Friday";11
"2017-11-13";"south-west_south";"morning peak";"774";"Monday";11
"2017-11-14";"south-west_south";"morning peak";"773";"Tuesday";11
"2017-11-15";"south-west_south";"morning peak";NA;"Wednesday";11
"2017-11-16";"south-west_south";"morning peak";"634";"Thursday";11
"2017-11-17";"south-west_south";"morning peak";"777";"Friday";11
"2017-11-20";"south-west_south";"morning peak";"519";"Monday";11
"2017-11-21";"south-west_south";"morning peak";"759";"Tuesday";11
"2017-11-22";"south-west_south";"morning peak";"768";"Wednesday";11
"2017-11-23";"south-west_south";"morning peak";"533";"Thursday";11
"2017-11-24";"south-west_south";"morning peak";"756";"Friday";11
"2017-11-27";"south-west_south";"morning peak";"730";"Monday";11
"2017-11-28";"south-west_south";"morning peak";"737";"Tuesday";11
"2017-11-29";"south-west_south";"morning peak";"822";"Wednesday";11
"2017-11-30";"south-west_south";"morning peak";"603";"Thursday";11
"2017-12-01";"south-west_south";"morning peak";"589";"Friday";12
"2017-12-04";"south-west_south";"morning peak";"767";"Monday";12
"2017-12-05";"south-west_south";"morning peak";"741";"Tuesday";12
"2017-12-06";"south-west_south";"morning peak";"709";"Wednesday";12
"2017-12-07";"south-west_south";"morning peak";"520";"Thursday";12
"2017-12-08";"south-west_south";"morning peak";"600";"Friday";12
"2017-12-11";"south-west_south";"morning peak";"662";"Monday";12
"2017-12-12";"south-west_south";"morning peak";"743";"Tuesday";12
"2017-12-13";"south-west_south";"morning peak";"712";"Wednesday";12
"2017-12-14";"south-west_south";"morning peak";"774";"Thursday";12
"2017-12-15";"south-west_south";"morning peak";"661";"Friday";12
"2017-12-18";"south-west_south";"morning peak";"740";"Monday";12
"2017-12-19";"south-west_south";"morning peak";"772";"Tuesday";12
"2017-12-20";"south-west_south";"morning peak";"775";"Wednesday";12
"2017-12-21";"south-west_south";"morning peak";"875";"Thursday";12
"2017-12-22";"south-west_south";"morning peak";"778";"Friday";12
"2017-12-25";"south-west_south";"morning peak";NA;"Monday";12
"2017-12-26";"south-west_south";"morning peak";"659";"Tuesday";12
"2017-12-27";"south-west_south";"morning peak";"585";"Wednesday";12
"2017-12-28";"south-west_south";"morning peak";"763";"Thursday";12
"2017-12-29";"south-west_south";"morning peak";"576";"Friday";12
"2017-01-02";"south-west_south";"midday period";"553";"Monday";1
"2017-01-03";"south-west_south";"midday period";"507";"Tuesday";1
"2017-01-04";"south-west_south";"midday period";"519";"Wednesday";1
"2017-01-05";"south-west_south";"midday period";"440";"Thursday";1
"2017-01-06";"south-west_south";"midday period";"466";"Friday";1
"2017-01-09";"south-west_south";"midday period";"469";"Monday";1
"2017-01-10";"south-west_south";"midday period";"516";"Tuesday";1
"2017-01-11";"south-west_south";"midday period";"558";"Wednesday";1
"2017-01-12";"south-west_south";"midday period";"459";"Thursday";1
"2017-01-13";"south-west_south";"midday period";"496";"Friday";1
"2017-01-16";"south-west_south";"midday period";"570";"Monday";1
"2017-01-17";"south-west_south";"midday period";"432";"Tuesday";1
"2017-01-18";"south-west_south";"midday period";"677";"Wednesday";1
"2017-01-19";"south-west_south";"midday period";"562";"Thursday";1
"2017-01-20";"south-west_south";"midday period";"538";"Friday";1
"2017-01-23";"south-west_south";"midday period";"333";"Monday";1
"2017-01-24";"south-west_south";"midday period";"409";"Tuesday";1
"2017-01-25";"south-west_south";"midday period";"456";"Wednesday";1
"2017-01-26";"south-west_south";"midday period";"535";"Thursday";1
"2017-01-27";"south-west_south";"midday period";"459";"Friday";1
"2017-01-30";"south-west_south";"midday period";"393";"Monday";1
"2017-01-31";"south-west_south";"midday period";"473";"Tuesday";1
"2017-02-01";"south-west_south";"midday period";"494";"Wednesday";2
"2017-02-02";"south-west_south";"midday period";"450";"Thursday";2
"2017-02-03";"south-west_south";"midday period";"438";"Friday";2
"2017-02-06";"south-west_south";"midday period";"378";"Monday";2
"2017-02-07";"south-west_south";"midday period";"540";"Tuesday";2
"2017-02-08";"south-west_south";"midday period";"422";"Wednesday";2
"2017-02-09";"south-west_south";"midday period";"549";"Thursday";2
"2017-02-10";"south-west_south";"midday period";"591";"Friday";2
