"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south_central";"morning peak";NA;"Monday";1
"2017-01-03";"south_central";"morning peak";"527";"Tuesday";1
"2017-01-04";"south_central";"morning peak";"542";"Wednesday";1
"2017-01-05";"south_central";"morning peak";"523";"Thursday";1
"2017-01-06";"south_central";"morning peak";"544";"Friday";1
"2017-01-09";"south_central";"morning peak";"602";"Monday";1
"2017-01-10";"south_central";"morning peak";"648";"Tuesday";1
"2017-01-11";"south_central";"morning peak";"626";"Wednesday";1
"2017-01-12";"south_central";"morning peak";"553";"Thursday";1
"2017-01-13";"south_central";"morning peak";"614";"Friday";1
"2017-01-16";"south_central";"morning peak";"689";"Monday";1
"2017-01-17";"south_central";"morning peak";"662";"Tuesday";1
"2017-01-18";"south_central";"morning peak";"682";"Wednesday";1
"2017-01-19";"south_central";"morning peak";"680";"Thursday";1
"2017-01-20";"south_central";"morning peak";"716";"Friday";1
"2017-01-23";"south_central";"morning peak";"645";"Monday";1
"2017-01-24";"south_central";"morning peak";"716";"Tuesday";1
"2017-01-25";"south_central";"morning peak";"553";"Wednesday";1
"2017-01-26";"south_central";"morning peak";"719";"Thursday";1
"2017-01-27";"south_central";"morning peak";"752";"Friday";1
"2017-01-30";"south_central";"morning peak";"686";"Monday";1
"2017-01-31";"south_central";"morning peak";"643";"Tuesday";1
"2017-02-01";"south_central";"morning peak";"631";"Wednesday";2
"2017-02-02";"south_central";"morning peak";"683";"Thursday";2
"2017-02-03";"south_central";"morning peak";"679";"Friday";2
"2017-02-06";"south_central";"morning peak";"685";"Monday";2
"2017-02-07";"south_central";"morning peak";"626";"Tuesday";2
"2017-02-08";"south_central";"morning peak";"663";"Wednesday";2
"2017-02-09";"south_central";"morning peak";"643";"Thursday";2
"2017-02-10";"south_central";"morning peak";"725";"Friday";2
"2017-02-13";"south_central";"morning peak";"693";"Monday";2
"2017-02-14";"south_central";"morning peak";"620";"Tuesday";2
"2017-02-15";"south_central";"morning peak";"707";"Wednesday";2
"2017-02-16";"south_central";"morning peak";"678";"Thursday";2
"2017-02-17";"south_central";"morning peak";"608";"Friday";2
"2017-02-20";"south_central";"morning peak";"639";"Monday";2
"2017-02-21";"south_central";"morning peak";"766";"Tuesday";2
"2017-02-22";"south_central";"morning peak";"632";"Wednesday";2
