"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south_northeast";"morning peak";"63";"Monday";1
"2017-01-03";"south_northeast";"morning peak";"112";"Tuesday";1
"2017-01-04";"south_northeast";"morning peak";"87";"Wednesday";1
"2017-01-05";"south_northeast";"morning peak";"91";"Thursday";1
"2017-01-06";"south_northeast";"morning peak";"113";"Friday";1
"2017-01-09";"south_northeast";"morning peak";"108";"Monday";1
"2017-01-10";"south_northeast";"morning peak";"105";"Tuesday";1
"2017-01-11";"south_northeast";"morning peak";"88";"Wednesday";1
"2017-01-12";"south_northeast";"morning peak";"86";"Thursday";1
"2017-01-13";"south_northeast";"morning peak";"65";"Friday";1
"2017-01-16";"south_northeast";"morning peak";"72";"Monday";1
"2017-01-17";"south_northeast";"morning peak";"87";"Tuesday";1
"2017-01-18";"south_northeast";"morning peak";"55";"Wednesday";1
"2017-01-19";"south_northeast";"morning peak";"83";"Thursday";1
"2017-01-20";"south_northeast";"morning peak";"80";"Friday";1
"2017-01-23";"south_northeast";"morning peak";"86";"Monday";1
"2017-01-24";"south_northeast";"morning peak";"122";"Tuesday";1
"2017-01-25";"south_northeast";"morning peak";"91";"Wednesday";1
"2017-01-26";"south_northeast";"morning peak";"97";"Thursday";1
"2017-01-27";"south_northeast";"morning peak";"106";"Friday";1
"2017-01-30";"south_northeast";"morning peak";"124";"Monday";1
"2017-01-31";"south_northeast";"morning peak";"111";"Tuesday";1
"2017-02-01";"south_northeast";"morning peak";"101";"Wednesday";2
"2017-02-02";"south_northeast";"morning peak";"120";"Thursday";2
"2017-02-03";"south_northeast";"morning peak";"94";"Friday";2
"2017-02-06";"south_northeast";"morning peak";"95";"Monday";2
"2017-02-07";"south_northeast";"morning peak";"98";"Tuesday";2
"2017-02-08";"south_northeast";"morning peak";"109";"Wednesday";2
"2017-02-09";"south_northeast";"morning peak";"93";"Thursday";2
"2017-02-10";"south_northeast";"morning peak";"98";"Friday";2
"2017-02-13";"south_northeast";"morning peak";"119";"Monday";2
"2017-02-14";"south_northeast";"morning peak";"125";"Tuesday";2
"2017-02-15";"south_northeast";"morning peak";"120";"Wednesday";2
"2017-02-16";"south_northeast";"morning peak";"106";"Thursday";2
"2017-02-17";"south_northeast";"morning peak";"118";"Friday";2
"2017-02-20";"south_northeast";"morning peak";"119";"Monday";2
"2017-02-21";"south_northeast";"morning peak";"134";"Tuesday";2
"2017-02-22";"south_northeast";"morning peak";"111";"Wednesday";2
"2017-02-23";"south_northeast";"morning peak";"117";"Thursday";2
"2017-02-24";"south_northeast";"morning peak";"122";"Friday";2
"2017-02-27";"south_northeast";"morning peak";NA;"Monday";2
"2017-02-28";"south_northeast";"morning peak";NA;"Tuesday";2
"2017-03-01";"south_northeast";"morning peak";NA;"Wednesday";3
"2017-03-02";"south_northeast";"morning peak";"120";"Thursday";3
"2017-03-03";"south_northeast";"morning peak";"94";"Friday";3
"2017-03-06";"south_northeast";"morning peak";"115";"Monday";3
"2017-03-07";"south_northeast";"morning peak";"105";"Tuesday";3
"2017-03-08";"south_northeast";"morning peak";"104";"Wednesday";3
"2017-03-09";"south_northeast";"morning peak";"60";"Thursday";3
"2017-03-10";"south_northeast";"morning peak";"123";"Friday";3
"2017-03-13";"south_northeast";"morning peak";"143";"Monday";3
"2017-03-14";"south_northeast";"morning peak";"125";"Tuesday";3
"2017-03-15";"south_northeast";"morning peak";"101";"Wednesday";3
"2017-03-16";"south_northeast";"morning peak";"131";"Thursday";3
"2017-03-17";"south_northeast";"morning peak";"99";"Friday";3
"2017-03-20";"south_northeast";"morning peak";"53";"Monday";3
"2017-03-21";"south_northeast";"morning peak";"114";"Tuesday";3
"2017-03-22";"south_northeast";"morning peak";"94";"Wednesday";3
"2017-03-23";"south_northeast";"morning peak";"107";"Thursday";3
"2017-03-24";"south_northeast";"morning peak";"120";"Friday";3
"2017-03-27";"south_northeast";"morning peak";"95";"Monday";3
"2017-03-28";"south_northeast";"morning peak";"94";"Tuesday";3
"2017-03-29";"south_northeast";"morning peak";"112";"Wednesday";3
"2017-03-30";"south_northeast";"morning peak";"126";"Thursday";3
"2017-03-31";"south_northeast";"morning peak";"72";"Friday";3
"2017-04-03";"south_northeast";"morning peak";"99";"Monday";4
"2017-04-04";"south_northeast";"morning peak";"112";"Tuesday";4
"2017-04-05";"south_northeast";"morning peak";"90";"Wednesday";4
"2017-04-06";"south_northeast";"morning peak";"126";"Thursday";4
"2017-04-07";"south_northeast";"morning peak";"129";"Friday";4
"2017-04-10";"south_northeast";"morning peak";"110";"Monday";4
"2017-04-11";"south_northeast";"morning peak";"118";"Tuesday";4
"2017-04-12";"south_northeast";"morning peak";"94";"Wednesday";4
"2017-04-13";"south_northeast";"morning peak";NA;"Thursday";4
"2017-04-14";"south_northeast";"morning peak";NA;"Friday";4
"2017-04-17";"south_northeast";"morning peak";"95";"Monday";4
"2017-04-18";"south_northeast";"morning peak";"107";"Tuesday";4
"2017-04-19";"south_northeast";"morning peak";"119";"Wednesday";4
"2017-04-20";"south_northeast";"morning peak";"144";"Thursday";4
"2017-04-21";"south_northeast";"morning peak";NA;"Friday";4
"2017-04-24";"south_northeast";"morning peak";"108";"Monday";4
"2017-04-25";"south_northeast";"morning peak";"126";"Tuesday";4
"2017-04-26";"south_northeast";"morning peak";"127";"Wednesday";4
"2017-04-27";"south_northeast";"morning peak";"127";"Thursday";4
"2017-04-28";"south_northeast";"morning peak";"119";"Friday";4
"2017-05-01";"south_northeast";"morning peak";NA;"Monday";5
"2017-05-02";"south_northeast";"morning peak";"111";"Tuesday";5
"2017-05-03";"south_northeast";"morning peak";"111";"Wednesday";5
"2017-05-04";"south_northeast";"morning peak";"116";"Thursday";5
"2017-05-05";"south_northeast";"morning peak";"119";"Friday";5
"2017-05-08";"south_northeast";"morning peak";"92";"Monday";5
"2017-05-09";"south_northeast";"morning peak";"114";"Tuesday";5
"2017-05-10";"south_northeast";"morning peak";"41";"Wednesday";5
"2017-05-11";"south_northeast";"morning peak";"90";"Thursday";5
"2017-05-12";"south_northeast";"morning peak";"85";"Friday";5
"2017-05-15";"south_northeast";"morning peak";"97";"Monday";5
"2017-05-16";"south_northeast";"morning peak";"83";"Tuesday";5
"2017-05-17";"south_northeast";"morning peak";"81";"Wednesday";5
"2017-05-18";"south_northeast";"morning peak";"96";"Thursday";5
"2017-05-19";"south_northeast";"morning peak";"90";"Friday";5
"2017-05-22";"south_northeast";"morning peak";"67";"Monday";5
"2017-05-23";"south_northeast";"morning peak";"57";"Tuesday";5
"2017-05-24";"south_northeast";"morning peak";"75";"Wednesday";5
"2017-05-25";"south_northeast";"morning peak";"75";"Thursday";5
"2017-05-26";"south_northeast";"morning peak";"55";"Friday";5
"2017-05-29";"south_northeast";"morning peak";"35";"Monday";5
"2017-05-30";"south_northeast";"morning peak";"37";"Tuesday";5
"2017-05-31";"south_northeast";"morning peak";"34";"Wednesday";5
"2017-06-01";"south_northeast";"morning peak";"65";"Thursday";6
"2017-06-02";"south_northeast";"morning peak";"74";"Friday";6
"2017-06-05";"south_northeast";"morning peak";"71";"Monday";6
"2017-06-06";"south_northeast";"morning peak";"87";"Tuesday";6
"2017-06-07";"south_northeast";"morning peak";"70";"Wednesday";6
"2017-06-08";"south_northeast";"morning peak";"75";"Thursday";6
"2017-06-09";"south_northeast";"morning peak";"87";"Friday";6
"2017-06-12";"south_northeast";"morning peak";"96";"Monday";6
"2017-06-13";"south_northeast";"morning peak";"77";"Tuesday";6
"2017-06-14";"south_northeast";"morning peak";"95";"Wednesday";6
"2017-06-15";"south_northeast";"morning peak";NA;"Thursday";6
"2017-06-16";"south_northeast";"morning peak";"77";"Friday";6
"2017-06-19";"south_northeast";"morning peak";"42";"Monday";6
"2017-06-20";"south_northeast";"morning peak";"96";"Tuesday";6
"2017-06-21";"south_northeast";"morning peak";"73";"Wednesday";6
"2017-06-22";"south_northeast";"morning peak";"91";"Thursday";6
"2017-06-23";"south_northeast";"morning peak";"88";"Friday";6
"2017-06-26";"south_northeast";"morning peak";"110";"Monday";6
"2017-06-27";"south_northeast";"morning peak";"101";"Tuesday";6
"2017-06-28";"south_northeast";"morning peak";"88";"Wednesday";6
"2017-06-29";"south_northeast";"morning peak";"91";"Thursday";6
"2017-06-30";"south_northeast";"morning peak";"105";"Friday";6
"2017-07-03";"south_northeast";"morning peak";"91";"Monday";7
"2017-07-04";"south_northeast";"morning peak";"90";"Tuesday";7
"2017-07-05";"south_northeast";"morning peak";"94";"Wednesday";7
"2017-07-06";"south_northeast";"morning peak";"84";"Thursday";7
"2017-07-07";"south_northeast";"morning peak";"111";"Friday";7
"2017-07-10";"south_northeast";"morning peak";"95";"Monday";7
"2017-07-11";"south_northeast";"morning peak";"115";"Tuesday";7
"2017-07-12";"south_northeast";"morning peak";"243";"Wednesday";7
"2017-07-13";"south_northeast";"morning peak";"218";"Thursday";7
"2017-07-14";"south_northeast";"morning peak";"190";"Friday";7
"2017-07-17";"south_northeast";"morning peak";"165";"Monday";7
"2017-07-18";"south_northeast";"morning peak";"188";"Tuesday";7
"2017-07-19";"south_northeast";"morning peak";"174";"Wednesday";7
"2017-07-20";"south_northeast";"morning peak";"222";"Thursday";7
"2017-07-21";"south_northeast";"morning peak";"160";"Friday";7
"2017-07-24";"south_northeast";"morning peak";"176";"Monday";7
"2017-07-25";"south_northeast";"morning peak";"203";"Tuesday";7
"2017-07-26";"south_northeast";"morning peak";"155";"Wednesday";7
"2017-07-27";"south_northeast";"morning peak";"206";"Thursday";7
"2017-07-28";"south_northeast";"morning peak";"235";"Friday";7
"2017-07-31";"south_northeast";"morning peak";"190";"Monday";7
"2017-08-01";"south_northeast";"morning peak";"243";"Tuesday";8
"2017-08-02";"south_northeast";"morning peak";"270";"Wednesday";8
"2017-08-03";"south_northeast";"morning peak";"264";"Thursday";8
"2017-08-04";"south_northeast";"morning peak";"223";"Friday";8
"2017-08-07";"south_northeast";"morning peak";"293";"Monday";8
"2017-08-08";"south_northeast";"morning peak";"188";"Tuesday";8
"2017-08-09";"south_northeast";"morning peak";"221";"Wednesday";8
"2017-08-10";"south_northeast";"morning peak";"229";"Thursday";8
"2017-08-11";"south_northeast";"morning peak";"99";"Friday";8
"2017-08-14";"south_northeast";"morning peak";"154";"Monday";8
"2017-08-15";"south_northeast";"morning peak";"107";"Tuesday";8
"2017-08-16";"south_northeast";"morning peak";"300";"Wednesday";8
"2017-08-17";"south_northeast";"morning peak";"216";"Thursday";8
"2017-08-18";"south_northeast";"morning peak";"242";"Friday";8
"2017-08-21";"south_northeast";"morning peak";"237";"Monday";8
"2017-08-22";"south_northeast";"morning peak";"133";"Tuesday";8
"2017-08-23";"south_northeast";"morning peak";"229";"Wednesday";8
"2017-08-24";"south_northeast";"morning peak";"214";"Thursday";8
"2017-08-25";"south_northeast";"morning peak";"222";"Friday";8
"2017-08-28";"south_northeast";"morning peak";"232";"Monday";8
"2017-08-29";"south_northeast";"morning peak";"198";"Tuesday";8
"2017-08-30";"south_northeast";"morning peak";"207";"Wednesday";8
"2017-08-31";"south_northeast";"morning peak";"258";"Thursday";8
"2017-09-01";"south_northeast";"morning peak";"234";"Friday";9
"2017-09-04";"south_northeast";"morning peak";"247";"Monday";9
"2017-09-05";"south_northeast";"morning peak";"216";"Tuesday";9
"2017-09-06";"south_northeast";"morning peak";"231";"Wednesday";9
"2017-09-07";"south_northeast";"morning peak";NA;"Thursday";9
"2017-09-08";"south_northeast";"morning peak";"157";"Friday";9
"2017-09-11";"south_northeast";"morning peak";"278";"Monday";9
"2017-09-12";"south_northeast";"morning peak";"247";"Tuesday";9
"2017-09-13";"south_northeast";"morning peak";"233";"Wednesday";9
"2017-09-14";"south_northeast";"morning peak";"241";"Thursday";9
"2017-09-15";"south_northeast";"morning peak";"204";"Friday";9
"2017-09-18";"south_northeast";"morning peak";"225";"Monday";9
"2017-09-19";"south_northeast";"morning peak";"271";"Tuesday";9
"2017-09-20";"south_northeast";"morning peak";"235";"Wednesday";9
"2017-09-21";"south_northeast";"morning peak";"225";"Thursday";9
"2017-09-22";"south_northeast";"morning peak";"219";"Friday";9
"2017-09-25";"south_northeast";"morning peak";"218";"Monday";9
"2017-09-26";"south_northeast";"morning peak";"213";"Tuesday";9
"2017-09-27";"south_northeast";"morning peak";"219";"Wednesday";9
"2017-09-28";"south_northeast";"morning peak";"242";"Thursday";9
"2017-09-29";"south_northeast";"morning peak";"213";"Friday";9
"2017-10-02";"south_northeast";"morning peak";"253";"Monday";10
"2017-10-03";"south_northeast";"morning peak";"243";"Tuesday";10
"2017-10-04";"south_northeast";"morning peak";"213";"Wednesday";10
"2017-10-05";"south_northeast";"morning peak";"199";"Thursday";10
"2017-10-06";"south_northeast";"morning peak";"231";"Friday";10
"2017-10-09";"south_northeast";"morning peak";"211";"Monday";10
"2017-10-10";"south_northeast";"morning peak";"224";"Tuesday";10
"2017-10-11";"south_northeast";"morning peak";"244";"Wednesday";10
"2017-10-12";"south_northeast";"morning peak";NA;"Thursday";10
"2017-10-13";"south_northeast";"morning peak";"196";"Friday";10
"2017-10-16";"south_northeast";"morning peak";"256";"Monday";10
"2017-10-17";"south_northeast";"morning peak";"241";"Tuesday";10
"2017-10-18";"south_northeast";"morning peak";"229";"Wednesday";10
"2017-10-19";"south_northeast";"morning peak";"203";"Thursday";10
"2017-10-20";"south_northeast";"morning peak";"216";"Friday";10
"2017-10-23";"south_northeast";"morning peak";"170";"Monday";10
"2017-10-24";"south_northeast";"morning peak";"222";"Tuesday";10
"2017-10-25";"south_northeast";"morning peak";"217";"Wednesday";10
"2017-10-26";"south_northeast";"morning peak";NA;"Thursday";10
"2017-10-27";"south_northeast";"morning peak";"245";"Friday";10
"2017-10-30";"south_northeast";"morning peak";"226";"Monday";10
"2017-10-31";"south_northeast";"morning peak";"253";"Tuesday";10
"2017-11-01";"south_northeast";"morning peak";"210";"Wednesday";11
"2017-11-02";"south_northeast";"morning peak";NA;"Thursday";11
"2017-11-03";"south_northeast";"morning peak";"152";"Friday";11
