"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south_northwest";"morning peak";"297";"Monday";1
"2017-01-03";"south_northwest";"morning peak";"344";"Tuesday";1
"2017-01-04";"south_northwest";"morning peak";"337";"Wednesday";1
"2017-01-05";"south_northwest";"morning peak";"371";"Thursday";1
"2017-01-06";"south_northwest";"morning peak";"348";"Friday";1
"2017-01-09";"south_northwest";"morning peak";"412";"Monday";1
"2017-01-10";"south_northwest";"morning peak";"452";"Tuesday";1
"2017-01-11";"south_northwest";"morning peak";"396";"Wednesday";1
"2017-01-12";"south_northwest";"morning peak";"387";"Thursday";1
"2017-01-13";"south_northwest";"morning peak";"383";"Friday";1
"2017-01-16";"south_northwest";"morning peak";"426";"Monday";1
"2017-01-17";"south_northwest";"morning peak";"378";"Tuesday";1
"2017-01-18";"south_northwest";"morning peak";"399";"Wednesday";1
"2017-01-19";"south_northwest";"morning peak";"422";"Thursday";1
"2017-01-20";"south_northwest";"morning peak";"382";"Friday";1
"2017-01-23";"south_northwest";"morning peak";"383";"Monday";1
"2017-01-24";"south_northwest";"morning peak";"424";"Tuesday";1
"2017-01-25";"south_northwest";"morning peak";"398";"Wednesday";1
"2017-01-26";"south_northwest";"morning peak";"406";"Thursday";1
"2017-01-27";"south_northwest";"morning peak";"434";"Friday";1
"2017-01-30";"south_northwest";"morning peak";"473";"Monday";1
"2017-01-31";"south_northwest";"morning peak";"336";"Tuesday";1
"2017-02-01";"south_northwest";"morning peak";"427";"Wednesday";2
"2017-02-02";"south_northwest";"morning peak";"396";"Thursday";2
"2017-02-03";"south_northwest";"morning peak";"358";"Friday";2
"2017-02-06";"south_northwest";"morning peak";"460";"Monday";2
"2017-02-07";"south_northwest";"morning peak";"383";"Tuesday";2
"2017-02-08";"south_northwest";"morning peak";"343";"Wednesday";2
"2017-02-09";"south_northwest";"morning peak";"306";"Thursday";2
"2017-02-10";"south_northwest";"morning peak";"322";"Friday";2
"2017-02-13";"south_northwest";"morning peak";"349";"Monday";2
"2017-02-14";"south_northwest";"morning peak";"342";"Tuesday";2
"2017-02-15";"south_northwest";"morning peak";"339";"Wednesday";2
"2017-02-16";"south_northwest";"morning peak";"305";"Thursday";2
"2017-02-17";"south_northwest";"morning peak";"261";"Friday";2
"2017-02-20";"south_northwest";"morning peak";"351";"Monday";2
"2017-02-21";"south_northwest";"morning peak";NA;"Tuesday";2
"2017-02-22";"south_northwest";"morning peak";"252";"Wednesday";2
"2017-02-23";"south_northwest";"morning peak";"322";"Thursday";2
"2017-02-24";"south_northwest";"morning peak";"291";"Friday";2
"2017-02-27";"south_northwest";"morning peak";NA;"Monday";2
"2017-02-28";"south_northwest";"morning peak";NA;"Tuesday";2
"2017-03-01";"south_northwest";"morning peak";NA;"Wednesday";3
"2017-03-02";"south_northwest";"morning peak";"306";"Thursday";3
"2017-03-03";"south_northwest";"morning peak";"284";"Friday";3
"2017-03-06";"south_northwest";"morning peak";"378";"Monday";3
"2017-03-07";"south_northwest";"morning peak";"376";"Tuesday";3
"2017-03-08";"south_northwest";"morning peak";"396";"Wednesday";3
"2017-03-09";"south_northwest";"morning peak";"261";"Thursday";3
"2017-03-10";"south_northwest";"morning peak";"337";"Friday";3
"2017-03-13";"south_northwest";"morning peak";"461";"Monday";3
"2017-03-14";"south_northwest";"morning peak";"409";"Tuesday";3
"2017-03-15";"south_northwest";"morning peak";"367";"Wednesday";3
"2017-03-16";"south_northwest";"morning peak";"431";"Thursday";3
"2017-03-17";"south_northwest";"morning peak";"368";"Friday";3
