"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-01-02";"south_south-west";"morning peak";"558";"Monday";1
"2017-01-03";"south_south-west";"morning peak";"591";"Tuesday";1
"2017-01-04";"south_south-west";"morning peak";"634";"Wednesday";1
"2017-01-05";"south_south-west";"morning peak";"648";"Thursday";1
"2017-01-06";"south_south-west";"morning peak";"561";"Friday";1
"2017-01-09";"south_south-west";"morning peak";"681";"Monday";1
"2017-01-10";"south_south-west";"morning peak";"699";"Tuesday";1
"2017-01-11";"south_south-west";"morning peak";"653";"Wednesday";1
"2017-01-12";"south_south-west";"morning peak";"722";"Thursday";1
"2017-01-13";"south_south-west";"morning peak";"615";"Friday";1
"2017-01-16";"south_south-west";"morning peak";"709";"Monday";1
"2017-01-17";"south_south-west";"morning peak";"689";"Tuesday";1
"2017-01-18";"south_south-west";"morning peak";"704";"Wednesday";1
"2017-01-19";"south_south-west";"morning peak";"640";"Thursday";1
"2017-01-20";"south_south-west";"morning peak";"587";"Friday";1
"2017-01-23";"south_south-west";"morning peak";"712";"Monday";1
"2017-01-24";"south_south-west";"morning peak";"698";"Tuesday";1
"2017-01-25";"south_south-west";"morning peak";"633";"Wednesday";1
"2017-01-26";"south_south-west";"morning peak";"705";"Thursday";1
"2017-01-27";"south_south-west";"morning peak";"700";"Friday";1
"2017-01-30";"south_south-west";"morning peak";"748";"Monday";1
"2017-01-31";"south_south-west";"morning peak";"640";"Tuesday";1
"2017-02-01";"south_south-west";"morning peak";"700";"Wednesday";2
"2017-02-02";"south_south-west";"morning peak";"695";"Thursday";2
"2017-02-03";"south_south-west";"morning peak";"691";"Friday";2
"2017-02-06";"south_south-west";"morning peak";"814";"Monday";2
"2017-02-07";"south_south-west";"morning peak";"738";"Tuesday";2
"2017-02-08";"south_south-west";"morning peak";"642";"Wednesday";2
"2017-02-09";"south_south-west";"morning peak";"701";"Thursday";2
"2017-02-10";"south_south-west";"morning peak";"733";"Friday";2
"2017-02-13";"south_south-west";"morning peak";"527";"Monday";2
"2017-02-14";"south_south-west";"morning peak";"467";"Tuesday";2
"2017-02-15";"south_south-west";"morning peak";"650";"Wednesday";2
"2017-02-16";"south_south-west";"morning peak";"671";"Thursday";2
"2017-02-17";"south_south-west";"morning peak";"601";"Friday";2
"2017-02-20";"south_south-west";"morning peak";"710";"Monday";2
"2017-02-21";"south_south-west";"morning peak";"514";"Tuesday";2
"2017-02-22";"south_south-west";"morning peak";"732";"Wednesday";2
"2017-02-23";"south_south-west";"morning peak";"491";"Thursday";2
"2017-02-24";"south_south-west";"morning peak";"518";"Friday";2
"2017-02-27";"south_south-west";"morning peak";NA;"Monday";2
"2017-02-28";"south_south-west";"morning peak";NA;"Tuesday";2
"2017-03-01";"south_south-west";"morning peak";NA;"Wednesday";3
"2017-03-02";"south_south-west";"morning peak";"632";"Thursday";3
"2017-03-03";"south_south-west";"morning peak";"517";"Friday";3
"2017-03-06";"south_south-west";"morning peak";"714";"Monday";3
"2017-03-07";"south_south-west";"morning peak";"808";"Tuesday";3
"2017-03-08";"south_south-west";"morning peak";"783";"Wednesday";3
"2017-03-09";"south_south-west";"morning peak";"595";"Thursday";3
"2017-03-10";"south_south-west";"morning peak";"774";"Friday";3
"2017-03-13";"south_south-west";"morning peak";"846";"Monday";3
"2017-03-14";"south_south-west";"morning peak";"754";"Tuesday";3
"2017-03-15";"south_south-west";"morning peak";"514";"Wednesday";3
"2017-03-16";"south_south-west";"morning peak";"835";"Thursday";3
"2017-03-17";"south_south-west";"morning peak";"704";"Friday";3
"2017-03-20";"south_south-west";"morning peak";"632";"Monday";3
"2017-03-21";"south_south-west";"morning peak";"676";"Tuesday";3
"2017-03-22";"south_south-west";"morning peak";"742";"Wednesday";3
"2017-03-23";"south_south-west";"morning peak";"774";"Thursday";3
"2017-03-24";"south_south-west";"morning peak";"766";"Friday";3
"2017-03-27";"south_south-west";"morning peak";"828";"Monday";3
"2017-03-28";"south_south-west";"morning peak";"882";"Tuesday";3
"2017-03-29";"south_south-west";"morning peak";"708";"Wednesday";3
"2017-03-30";"south_south-west";"morning peak";"904";"Thursday";3
"2017-03-31";"south_south-west";"morning peak";"804";"Friday";3
"2017-04-03";"south_south-west";"morning peak";"928";"Monday";4
"2017-04-04";"south_south-west";"morning peak";"847";"Tuesday";4
"2017-04-05";"south_south-west";"morning peak";"889";"Wednesday";4
"2017-04-06";"south_south-west";"morning peak";"818";"Thursday";4
"2017-04-07";"south_south-west";"morning peak";"825";"Friday";4
"2017-04-10";"south_south-west";"morning peak";"832";"Monday";4
"2017-04-11";"south_south-west";"morning peak";"584";"Tuesday";4
"2017-04-12";"south_south-west";"morning peak";"862";"Wednesday";4
"2017-04-13";"south_south-west";"morning peak";NA;"Thursday";4
"2017-04-14";"south_south-west";"morning peak";NA;"Friday";4
"2017-04-17";"south_south-west";"morning peak";"831";"Monday";4
"2017-04-18";"south_south-west";"morning peak";"779";"Tuesday";4
"2017-04-19";"south_south-west";"morning peak";"790";"Wednesday";4
"2017-04-20";"south_south-west";"morning peak";"862";"Thursday";4
"2017-04-21";"south_south-west";"morning peak";NA;"Friday";4
"2017-04-24";"south_south-west";"morning peak";"737";"Monday";4
"2017-04-25";"south_south-west";"morning peak";"785";"Tuesday";4
"2017-04-26";"south_south-west";"morning peak";"786";"Wednesday";4
"2017-04-27";"south_south-west";"morning peak";"835";"Thursday";4
"2017-04-28";"south_south-west";"morning peak";"707";"Friday";4
"2017-05-01";"south_south-west";"morning peak";NA;"Monday";5
"2017-05-02";"south_south-west";"morning peak";"750";"Tuesday";5
"2017-05-03";"south_south-west";"morning peak";"807";"Wednesday";5
"2017-05-04";"south_south-west";"morning peak";"724";"Thursday";5
"2017-05-05";"south_south-west";"morning peak";"695";"Friday";5
"2017-05-08";"south_south-west";"morning peak";"688";"Monday";5
"2017-05-09";"south_south-west";"morning peak";"871";"Tuesday";5
"2017-05-10";"south_south-west";"morning peak";"910";"Wednesday";5
"2017-05-11";"south_south-west";"morning peak";"714";"Thursday";5
"2017-05-12";"south_south-west";"morning peak";"720";"Friday";5
"2017-05-15";"south_south-west";"morning peak";"795";"Monday";5
"2017-05-16";"south_south-west";"morning peak";"754";"Tuesday";5
"2017-05-17";"south_south-west";"morning peak";"842";"Wednesday";5
"2017-05-18";"south_south-west";"morning peak";"775";"Thursday";5
"2017-05-19";"south_south-west";"morning peak";"819";"Friday";5
"2017-05-22";"south_south-west";"morning peak";"721";"Monday";5
"2017-05-23";"south_south-west";"morning peak";"751";"Tuesday";5
"2017-05-24";"south_south-west";"morning peak";"666";"Wednesday";5
"2017-05-25";"south_south-west";"morning peak";"693";"Thursday";5
"2017-05-26";"south_south-west";"morning peak";"860";"Friday";5
"2017-05-29";"south_south-west";"morning peak";"622";"Monday";5
"2017-05-30";"south_south-west";"morning peak";"682";"Tuesday";5
"2017-05-31";"south_south-west";"morning peak";"779";"Wednesday";5
"2017-06-01";"south_south-west";"morning peak";"632";"Thursday";6
"2017-06-02";"south_south-west";"morning peak";"743";"Friday";6
"2017-06-05";"south_south-west";"morning peak";"762";"Monday";6
"2017-06-06";"south_south-west";"morning peak";"725";"Tuesday";6
"2017-06-07";"south_south-west";"morning peak";"819";"Wednesday";6
"2017-06-08";"south_south-west";"morning peak";"751";"Thursday";6
"2017-06-09";"south_south-west";"morning peak";"681";"Friday";6
"2017-06-12";"south_south-west";"morning peak";"701";"Monday";6
"2017-06-13";"south_south-west";"morning peak";"754";"Tuesday";6
"2017-06-14";"south_south-west";"morning peak";"780";"Wednesday";6
"2017-06-15";"south_south-west";"morning peak";NA;"Thursday";6
"2017-06-16";"south_south-west";"morning peak";"611";"Friday";6
"2017-06-19";"south_south-west";"morning peak";"867";"Monday";6
"2017-06-20";"south_south-west";"morning peak";"728";"Tuesday";6
"2017-06-21";"south_south-west";"morning peak";"598";"Wednesday";6
"2017-06-22";"south_south-west";"morning peak";"746";"Thursday";6
"2017-06-23";"south_south-west";"morning peak";"768";"Friday";6
"2017-06-26";"south_south-west";"morning peak";"808";"Monday";6
"2017-06-27";"south_south-west";"morning peak";"823";"Tuesday";6
"2017-06-28";"south_south-west";"morning peak";"771";"Wednesday";6
"2017-06-29";"south_south-west";"morning peak";"787";"Thursday";6
"2017-06-30";"south_south-west";"morning peak";"881";"Friday";6
"2017-07-03";"south_south-west";"morning peak";"661";"Monday";7
"2017-07-04";"south_south-west";"morning peak";"704";"Tuesday";7
"2017-07-05";"south_south-west";"morning peak";"631";"Wednesday";7
"2017-07-06";"south_south-west";"morning peak";"793";"Thursday";7
"2017-07-07";"south_south-west";"morning peak";"754";"Friday";7
"2017-07-10";"south_south-west";"morning peak";"586";"Monday";7
"2017-07-11";"south_south-west";"morning peak";"699";"Tuesday";7
"2017-07-12";"south_south-west";"morning peak";"663";"Wednesday";7
"2017-07-13";"south_south-west";"morning peak";"607";"Thursday";7
"2017-07-14";"south_south-west";"morning peak";"619";"Friday";7
"2017-07-17";"south_south-west";"morning peak";"691";"Monday";7
"2017-07-18";"south_south-west";"morning peak";"760";"Tuesday";7
"2017-07-19";"south_south-west";"morning peak";"643";"Wednesday";7
"2017-07-20";"south_south-west";"morning peak";"707";"Thursday";7
"2017-07-21";"south_south-west";"morning peak";"660";"Friday";7
