"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385069";"morning peak";NA;"Monday";1
"2017-01-03";"01385069";"morning peak";1498;"Tuesday";1
"2017-01-04";"01385069";"morning peak";1485;"Wednesday";1
"2017-01-05";"01385069";"morning peak";1629;"Thursday";1
"2017-01-06";"01385069";"morning peak";1688;"Friday";1
"2017-01-09";"01385069";"morning peak";1734;"Monday";1
"2017-01-10";"01385069";"morning peak";1752;"Tuesday";1
"2017-01-11";"01385069";"morning peak";1698;"Wednesday";1
"2017-01-12";"01385069";"morning peak";1799;"Thursday";1
"2017-01-13";"01385069";"morning peak";1751;"Friday";1
"2017-01-16";"01385069";"morning peak";1734;"Monday";1
"2017-01-17";"01385069";"morning peak";1761;"Tuesday";1
"2017-01-18";"01385069";"morning peak";1798;"Wednesday";1
"2017-01-19";"01385069";"morning peak";1771;"Thursday";1
"2017-01-20";"01385069";"morning peak";1710;"Friday";1
"2017-01-23";"01385069";"morning peak";1679;"Monday";1
"2017-01-24";"01385069";"morning peak";1800;"Tuesday";1
"2017-01-25";"01385069";"morning peak";1746;"Wednesday";1
"2017-01-26";"01385069";"morning peak";1772;"Thursday";1
"2017-01-27";"01385069";"morning peak";1865;"Friday";1
"2017-01-30";"01385069";"morning peak";1750;"Monday";1
"2017-01-31";"01385069";"morning peak";1655;"Tuesday";1
"2017-02-01";"01385069";"morning peak";1800;"Wednesday";1
"2017-02-02";"01385069";"morning peak";1859;"Thursday";2
"2017-02-03";"01385069";"morning peak";1829;"Friday";2
"2017-02-06";"01385069";"morning peak";1804;"Monday";2
"2017-02-07";"01385069";"morning peak";1855;"Tuesday";2
"2017-02-08";"01385069";"morning peak";1761;"Wednesday";2
"2017-02-09";"01385069";"morning peak";1879;"Thursday";2
"2017-02-10";"01385069";"morning peak";1866;"Friday";2
"2017-02-13";"01385069";"morning peak";1829;"Monday";2
"2017-02-14";"01385069";"morning peak";1824;"Tuesday";2
"2017-02-15";"01385069";"morning peak";1816;"Wednesday";2
"2017-02-16";"01385069";"morning peak";1872;"Thursday";2
"2017-02-17";"01385069";"morning peak";1713;"Friday";2
"2017-02-20";"01385069";"morning peak";1719;"Monday";2
"2017-02-21";"01385069";"morning peak";1779;"Tuesday";2
"2017-02-22";"01385069";"morning peak";1810;"Wednesday";2
"2017-02-23";"01385069";"morning peak";1803;"Thursday";2
"2017-02-24";"01385069";"morning peak";1782;"Friday";2
"2017-02-27";"01385069";"morning peak";NA;"Monday";2
"2017-02-28";"01385069";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385069";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385069";"morning peak";1733;"Thursday";3
"2017-03-03";"01385069";"morning peak";1551;"Friday";3
"2017-03-06";"01385069";"morning peak";1877;"Monday";3
"2017-03-07";"01385069";"morning peak";1827;"Tuesday";3
"2017-03-08";"01385069";"morning peak";1815;"Wednesday";3
"2017-03-09";"01385069";"morning peak";1457;"Thursday";3
"2017-03-10";"01385069";"morning peak";1681;"Friday";3
"2017-03-13";"01385069";"morning peak";1338;"Monday";3
"2017-03-14";"01385069";"morning peak";1338;"Tuesday";3
"2017-03-15";"01385069";"morning peak";NA;"Wednesday";3
"2017-03-16";"01385069";"morning peak";1304;"Thursday";3
"2017-03-17";"01385069";"morning peak";1312;"Friday";3
"2017-03-20";"01385069";"morning peak";1359;"Monday";3
"2017-03-21";"01385069";"morning peak";1299;"Tuesday";3
"2017-03-22";"01385069";"morning peak";1294;"Wednesday";3
"2017-03-23";"01385069";"morning peak";NA;"Thursday";3
"2017-03-24";"01385069";"morning peak";NA;"Friday";3
"2017-03-27";"01385069";"morning peak";1371;"Monday";3
"2017-03-28";"01385069";"morning peak";1364;"Tuesday";3
"2017-03-29";"01385069";"morning peak";1370;"Wednesday";3
"2017-03-30";"01385069";"morning peak";1423;"Thursday";3
"2017-03-31";"01385069";"morning peak";1829;"Friday";3
"2017-04-03";"01385069";"morning peak";1899;"Monday";4
"2017-04-04";"01385069";"morning peak";NA;"Tuesday";4
"2017-04-05";"01385069";"morning peak";1798;"Wednesday";4
"2017-04-06";"01385069";"morning peak";1908;"Thursday";4
"2017-04-07";"01385069";"morning peak";1896;"Friday";4
"2017-04-10";"01385069";"morning peak";1870;"Monday";4
"2017-04-11";"01385069";"morning peak";1444;"Tuesday";4
"2017-04-12";"01385069";"morning peak";1904;"Wednesday";4
"2017-04-13";"01385069";"morning peak";NA;"Thursday";4
"2017-04-14";"01385069";"morning peak";NA;"Friday";4
"2017-04-17";"01385069";"morning peak";1836;"Monday";4
"2017-04-18";"01385069";"morning peak";1880;"Tuesday";4
"2017-04-19";"01385069";"morning peak";1899;"Wednesday";4
"2017-04-20";"01385069";"morning peak";2030;"Thursday";4
"2017-04-21";"01385069";"morning peak";NA;"Friday";4
"2017-04-24";"01385069";"morning peak";1778;"Monday";4
"2017-04-25";"01385069";"morning peak";1904;"Tuesday";4
"2017-04-26";"01385069";"morning peak";1865;"Wednesday";4
"2017-04-27";"01385069";"morning peak";1884;"Thursday";4
"2017-04-28";"01385069";"morning peak";1630;"Friday";4
"2017-05-01";"01385069";"morning peak";NA;"Monday";4
"2017-05-02";"01385069";"morning peak";1887;"Tuesday";5
"2017-05-03";"01385069";"morning peak";1902;"Wednesday";5
"2017-05-04";"01385069";"morning peak";1896;"Thursday";5
"2017-05-05";"01385069";"morning peak";1911;"Friday";5
"2017-05-08";"01385069";"morning peak";1770;"Monday";5
"2017-05-09";"01385069";"morning peak";1713;"Tuesday";5
"2017-05-10";"01385069";"morning peak";1853;"Wednesday";5
"2017-05-11";"01385069";"morning peak";1851;"Thursday";5
"2017-05-12";"01385069";"morning peak";1805;"Friday";5
"2017-05-15";"01385069";"morning peak";1809;"Monday";5
"2017-05-16";"01385069";"morning peak";1788;"Tuesday";5
"2017-05-17";"01385069";"morning peak";1808;"Wednesday";5
"2017-05-18";"01385069";"morning peak";1854;"Thursday";5
"2017-05-19";"01385069";"morning peak";1833;"Friday";5
"2017-05-22";"01385069";"morning peak";1830;"Monday";5
"2017-05-23";"01385069";"morning peak";1810;"Tuesday";5
"2017-05-24";"01385069";"morning peak";1793;"Wednesday";5
"2017-05-25";"01385069";"morning peak";1706;"Thursday";5
"2017-05-26";"01385069";"morning peak";NA;"Friday";5
"2017-05-29";"01385069";"morning peak";1684;"Monday";5
"2017-05-30";"01385069";"morning peak";1741;"Tuesday";5
"2017-05-31";"01385069";"morning peak";1785;"Wednesday";5
"2017-06-01";"01385069";"morning peak";1781;"Thursday";5
"2017-06-02";"01385069";"morning peak";1755;"Friday";6
"2017-06-05";"01385069";"morning peak";1815;"Monday";6
"2017-06-06";"01385069";"morning peak";1797;"Tuesday";6
"2017-06-07";"01385069";"morning peak";1804;"Wednesday";6
"2017-06-08";"01385069";"morning peak";1784;"Thursday";6
"2017-06-09";"01385069";"morning peak";1777;"Friday";6
"2017-06-12";"01385069";"morning peak";1757;"Monday";6
"2017-06-13";"01385069";"morning peak";1658;"Tuesday";6
"2017-06-14";"01385069";"morning peak";1812;"Wednesday";6
"2017-06-15";"01385069";"morning peak";NA;"Thursday";6
"2017-06-16";"01385069";"morning peak";1631;"Friday";6
"2017-06-19";"01385069";"morning peak";1754;"Monday";6
"2017-06-20";"01385069";"morning peak";1768;"Tuesday";6
"2017-06-21";"01385069";"morning peak";1752;"Wednesday";6
"2017-06-22";"01385069";"morning peak";1779;"Thursday";6
"2017-06-23";"01385069";"morning peak";1726;"Friday";6
"2017-06-26";"01385069";"morning peak";1751;"Monday";6
"2017-06-27";"01385069";"morning peak";1710;"Tuesday";6
"2017-06-28";"01385069";"morning peak";1770;"Wednesday";6
"2017-06-29";"01385069";"morning peak";1731;"Thursday";6
"2017-06-30";"01385069";"morning peak";1510;"Friday";6
"2017-07-03";"01385069";"morning peak";1563;"Monday";7
"2017-07-04";"01385069";"morning peak";1703;"Tuesday";7
"2017-07-05";"01385069";"morning peak";1710;"Wednesday";7
"2017-07-06";"01385069";"morning peak";1725;"Thursday";7
"2017-07-07";"01385069";"morning peak";1557;"Friday";7
"2017-07-10";"01385069";"morning peak";1685;"Monday";7
"2017-07-11";"01385069";"morning peak";1665;"Tuesday";7
"2017-07-12";"01385069";"morning peak";1718;"Wednesday";7
"2017-07-13";"01385069";"morning peak";1650;"Thursday";7
"2017-07-14";"01385069";"morning peak";1648;"Friday";7
"2017-07-17";"01385069";"morning peak";1633;"Monday";7
"2017-07-18";"01385069";"morning peak";1634;"Tuesday";7
"2017-07-19";"01385069";"morning peak";1674;"Wednesday";7
"2017-07-20";"01385069";"morning peak";1655;"Thursday";7
"2017-07-21";"01385069";"morning peak";1456;"Friday";7
"2017-07-24";"01385069";"morning peak";1639;"Monday";7
"2017-07-25";"01385069";"morning peak";1592;"Tuesday";7
"2017-07-26";"01385069";"morning peak";1646;"Wednesday";7
"2017-07-27";"01385069";"morning peak";1635;"Thursday";7
"2017-07-28";"01385069";"morning peak";1679;"Friday";7
"2017-07-31";"01385069";"morning peak";1680;"Monday";7
"2017-08-01";"01385069";"morning peak";1769;"Tuesday";7
"2017-08-02";"01385069";"morning peak";1736;"Wednesday";8
"2017-08-03";"01385069";"morning peak";1751;"Thursday";8
"2017-08-04";"01385069";"morning peak";1742;"Friday";8
"2017-08-07";"01385069";"morning peak";1771;"Monday";8
"2017-08-08";"01385069";"morning peak";1743;"Tuesday";8
"2017-08-09";"01385069";"morning peak";1767;"Wednesday";8
"2017-08-10";"01385069";"morning peak";1800;"Thursday";8
"2017-08-11";"01385069";"morning peak";1771;"Friday";8
"2017-08-14";"01385069";"morning peak";1585;"Monday";8
"2017-08-15";"01385069";"morning peak";NA;"Tuesday";8
"2017-08-16";"01385069";"morning peak";1888;"Wednesday";8
"2017-08-17";"01385069";"morning peak";1802;"Thursday";8
"2017-08-18";"01385069";"morning peak";1781;"Friday";8
"2017-08-21";"01385069";"morning peak";NA;"Monday";8
"2017-08-22";"01385069";"morning peak";NA;"Tuesday";8
"2017-08-23";"01385069";"morning peak";NA;"Wednesday";8
"2017-08-24";"01385069";"morning peak";NA;"Thursday";8
"2017-08-25";"01385069";"morning peak";1604;"Friday";8
"2017-08-28";"01385069";"morning peak";1656;"Monday";8
"2017-08-29";"01385069";"morning peak";1512;"Tuesday";8
"2017-08-30";"01385069";"morning peak";NA;"Wednesday";8
"2017-08-31";"01385069";"morning peak";1677;"Thursday";8
"2017-09-01";"01385069";"morning peak";1692;"Friday";8
"2017-09-04";"01385069";"morning peak";1726;"Monday";9
"2017-09-05";"01385069";"morning peak";1686;"Tuesday";9
"2017-09-06";"01385069";"morning peak";1708;"Wednesday";9
"2017-09-07";"01385069";"morning peak";NA;"Thursday";9
"2017-09-08";"01385069";"morning peak";1544;"Friday";9
"2017-09-11";"01385069";"morning peak";1672;"Monday";9
"2017-09-12";"01385069";"morning peak";1645;"Tuesday";9
"2017-09-13";"01385069";"morning peak";1674;"Wednesday";9
"2017-09-14";"01385069";"morning peak";1622;"Thursday";9
"2017-09-15";"01385069";"morning peak";1647;"Friday";9
"2017-09-18";"01385069";"morning peak";1609;"Monday";9
"2017-09-19";"01385069";"morning peak";1616;"Tuesday";9
"2017-09-20";"01385069";"morning peak";1634;"Wednesday";9
"2017-09-21";"01385069";"morning peak";1669;"Thursday";9
"2017-09-22";"01385069";"morning peak";1650;"Friday";9
"2017-09-25";"01385069";"morning peak";1472;"Monday";9
"2017-09-26";"01385069";"morning peak";1601;"Tuesday";9
"2017-09-27";"01385069";"morning peak";1664;"Wednesday";9
"2017-09-28";"01385069";"morning peak";1664;"Thursday";9
"2017-09-29";"01385069";"morning peak";1610;"Friday";9
"2017-10-02";"01385069";"morning peak";1702;"Monday";10
"2017-10-03";"01385069";"morning peak";1643;"Tuesday";10
"2017-10-04";"01385069";"morning peak";1654;"Wednesday";10
"2017-10-05";"01385069";"morning peak";1598;"Thursday";10
"2017-10-06";"01385069";"morning peak";1664;"Friday";10
"2017-10-09";"01385069";"morning peak";1698;"Monday";10
"2017-10-10";"01385069";"morning peak";1699;"Tuesday";10
"2017-10-11";"01385069";"morning peak";1727;"Wednesday";10
"2017-10-12";"01385069";"morning peak";NA;"Thursday";10
"2017-10-13";"01385069";"morning peak";1515;"Friday";10
"2017-10-16";"01385069";"morning peak";1653;"Monday";10
"2017-10-17";"01385069";"morning peak";1640;"Tuesday";10
"2017-10-18";"01385069";"morning peak";1649;"Wednesday";10
"2017-10-19";"01385069";"morning peak";1581;"Thursday";10
"2017-10-20";"01385069";"morning peak";1578;"Friday";10
"2017-10-23";"01385069";"morning peak";1610;"Monday";10
"2017-10-24";"01385069";"morning peak";1576;"Tuesday";10
"2017-10-25";"01385069";"morning peak";1647;"Wednesday";10
"2017-10-26";"01385069";"morning peak";NA;"Thursday";10
"2017-10-27";"01385069";"morning peak";1611;"Friday";10
"2017-10-30";"01385069";"morning peak";1660;"Monday";10
"2017-10-31";"01385069";"morning peak";1640;"Tuesday";10
"2017-11-01";"01385069";"morning peak";1693;"Wednesday";10
"2017-11-02";"01385069";"morning peak";NA;"Thursday";11
"2017-11-03";"01385069";"morning peak";1560;"Friday";11
"2017-11-06";"01385069";"morning peak";1724;"Monday";11
"2017-11-07";"01385069";"morning peak";1625;"Tuesday";11
"2017-11-08";"01385069";"morning peak";1628;"Wednesday";11
"2017-11-09";"01385069";"morning peak";1680;"Thursday";11
"2017-11-10";"01385069";"morning peak";NA;"Friday";11
"2017-11-13";"01385069";"morning peak";1612;"Monday";11
"2017-11-14";"01385069";"morning peak";1659;"Tuesday";11
"2017-11-15";"01385069";"morning peak";NA;"Wednesday";11
"2017-11-16";"01385069";"morning peak";1619;"Thursday";11
"2017-11-17";"01385069";"morning peak";1624;"Friday";11
"2017-11-20";"01385069";"morning peak";1655;"Monday";11
"2017-11-21";"01385069";"morning peak";1671;"Tuesday";11
"2017-11-22";"01385069";"morning peak";1692;"Wednesday";11
"2017-11-23";"01385069";"morning peak";1730;"Thursday";11
"2017-11-24";"01385069";"morning peak";1702;"Friday";11
"2017-11-27";"01385069";"morning peak";1633;"Monday";11
"2017-11-28";"01385069";"morning peak";1551;"Tuesday";11
"2017-11-29";"01385069";"morning peak";1657;"Wednesday";11
"2017-11-30";"01385069";"morning peak";1664;"Thursday";11
"2017-12-01";"01385069";"morning peak";1690;"Friday";11
"2017-12-04";"01385069";"morning peak";1599;"Monday";12
"2017-12-05";"01385069";"morning peak";1591;"Tuesday";12
"2017-12-06";"01385069";"morning peak";1702;"Wednesday";12
"2017-12-07";"01385069";"morning peak";1700;"Thursday";12
"2017-12-08";"01385069";"morning peak";1649;"Friday";12
"2017-12-11";"01385069";"morning peak";1647;"Monday";12
"2017-12-12";"01385069";"morning peak";1648;"Tuesday";12
"2017-12-13";"01385069";"morning peak";1609;"Wednesday";12
"2017-12-14";"01385069";"morning peak";1713;"Thursday";12
"2017-12-15";"01385069";"morning peak";1705;"Friday";12
"2017-12-18";"01385069";"morning peak";1568;"Monday";12
"2017-12-19";"01385069";"morning peak";1491;"Tuesday";12
"2017-12-20";"01385069";"morning peak";1670;"Wednesday";12
"2017-12-21";"01385069";"morning peak";1630;"Thursday";12
