"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"AT223";"morning peak";NA;"Monday";1
"2017-01-03";"AT223";"morning peak";1069;"Tuesday";1
"2017-01-04";"AT223";"morning peak";1106;"Wednesday";1
"2017-01-05";"AT223";"morning peak";1081;"Thursday";1
"2017-01-06";"AT223";"morning peak";1131;"Friday";1
"2017-01-09";"AT223";"morning peak";1114;"Monday";1
"2017-01-10";"AT223";"morning peak";1147;"Tuesday";1
"2017-01-11";"AT223";"morning peak";NA;"Wednesday";1
"2017-01-12";"AT223";"morning peak";1163;"Thursday";1
"2017-01-13";"AT223";"morning peak";1106;"Friday";1
"2017-01-16";"AT223";"morning peak";1202;"Monday";1
"2017-01-17";"AT223";"morning peak";1218;"Tuesday";1
"2017-01-18";"AT223";"morning peak";1197;"Wednesday";1
"2017-01-19";"AT223";"morning peak";1184;"Thursday";1
"2017-01-20";"AT223";"morning peak";1144;"Friday";1
"2017-01-23";"AT223";"morning peak";1228;"Monday";1
"2017-01-24";"AT223";"morning peak";1227;"Tuesday";1
"2017-01-25";"AT223";"morning peak";1204;"Wednesday";1
"2017-01-26";"AT223";"morning peak";1211;"Thursday";1
"2017-01-27";"AT223";"morning peak";1112;"Friday";1
"2017-01-30";"AT223";"morning peak";1115;"Monday";1
"2017-01-31";"AT223";"morning peak";1027;"Tuesday";1
"2017-02-01";"AT223";"morning peak";1088;"Wednesday";1
"2017-02-02";"AT223";"morning peak";1269;"Thursday";2
"2017-02-03";"AT223";"morning peak";1284;"Friday";2
"2017-02-06";"AT223";"morning peak";1267;"Monday";2
"2017-02-07";"AT223";"morning peak";1308;"Tuesday";2
"2017-02-08";"AT223";"morning peak";1227;"Wednesday";2
"2017-02-09";"AT223";"morning peak";1211;"Thursday";2
"2017-02-10";"AT223";"morning peak";1215;"Friday";2
"2017-02-13";"AT223";"morning peak";1037;"Monday";2
"2017-02-14";"AT223";"morning peak";1275;"Tuesday";2
"2017-02-15";"AT223";"morning peak";1288;"Wednesday";2
"2017-02-16";"AT223";"morning peak";1288;"Thursday";2
"2017-02-17";"AT223";"morning peak";1228;"Friday";2
"2017-02-20";"AT223";"morning peak";1269;"Monday";2
"2017-02-21";"AT223";"morning peak";1243;"Tuesday";2
"2017-02-22";"AT223";"morning peak";1266;"Wednesday";2
"2017-02-23";"AT223";"morning peak";1304;"Thursday";2
"2017-02-24";"AT223";"morning peak";1258;"Friday";2
"2017-02-27";"AT223";"morning peak";NA;"Monday";2
"2017-02-28";"AT223";"morning peak";NA;"Tuesday";2
"2017-03-01";"AT223";"morning peak";NA;"Wednesday";2
"2017-03-02";"AT223";"morning peak";1198;"Thursday";3
"2017-03-03";"AT223";"morning peak";1102;"Friday";3
"2017-03-06";"AT223";"morning peak";1300;"Monday";3
"2017-03-07";"AT223";"morning peak";1321;"Tuesday";3
"2017-03-08";"AT223";"morning peak";1295;"Wednesday";3
"2017-03-09";"AT223";"morning peak";1138;"Thursday";3
"2017-03-10";"AT223";"morning peak";1232;"Friday";3
"2017-03-13";"AT223";"morning peak";1343;"Monday";3
"2017-03-14";"AT223";"morning peak";1314;"Tuesday";3
"2017-03-15";"AT223";"morning peak";1322;"Wednesday";3
"2017-03-16";"AT223";"morning peak";1287;"Thursday";3
"2017-03-17";"AT223";"morning peak";1268;"Friday";3
"2017-03-20";"AT223";"morning peak";1285;"Monday";3
"2017-03-21";"AT223";"morning peak";1180;"Tuesday";3
"2017-03-22";"AT223";"morning peak";1272;"Wednesday";3
"2017-03-23";"AT223";"morning peak";NA;"Thursday";3
"2017-03-24";"AT223";"morning peak";1183;"Friday";3
"2017-03-27";"AT223";"morning peak";1314;"Monday";3
"2017-03-28";"AT223";"morning peak";1309;"Tuesday";3
"2017-03-29";"AT223";"morning peak";1311;"Wednesday";3
"2017-03-30";"AT223";"morning peak";1261;"Thursday";3
"2017-03-31";"AT223";"morning peak";1257;"Friday";3
"2017-04-03";"AT223";"morning peak";1185;"Monday";4
"2017-04-04";"AT223";"morning peak";1291;"Tuesday";4
"2017-04-05";"AT223";"morning peak";1207;"Wednesday";4
"2017-04-06";"AT223";"morning peak";1362;"Thursday";4
"2017-04-07";"AT223";"morning peak";1378;"Friday";4
"2017-04-10";"AT223";"morning peak";1326;"Monday";4
"2017-04-11";"AT223";"morning peak";1236;"Tuesday";4
"2017-04-12";"AT223";"morning peak";1336;"Wednesday";4
"2017-04-13";"AT223";"morning peak";NA;"Thursday";4
"2017-04-14";"AT223";"morning peak";NA;"Friday";4
"2017-04-17";"AT223";"morning peak";1357;"Monday";4
"2017-04-18";"AT223";"morning peak";1077;"Tuesday";4
"2017-04-19";"AT223";"morning peak";1339;"Wednesday";4
"2017-04-20";"AT223";"morning peak";1411;"Thursday";4
"2017-04-21";"AT223";"morning peak";NA;"Friday";4
"2017-04-24";"AT223";"morning peak";1288;"Monday";4
"2017-04-25";"AT223";"morning peak";1281;"Tuesday";4
"2017-04-26";"AT223";"morning peak";1229;"Wednesday";4
"2017-04-27";"AT223";"morning peak";1231;"Thursday";4
"2017-04-28";"AT223";"morning peak";1116;"Friday";4
"2017-05-01";"AT223";"morning peak";NA;"Monday";4
"2017-05-02";"AT223";"morning peak";1289;"Tuesday";5
"2017-05-03";"AT223";"morning peak";1333;"Wednesday";5
"2017-05-04";"AT223";"morning peak";1258;"Thursday";5
"2017-05-05";"AT223";"morning peak";1294;"Friday";5
"2017-05-08";"AT223";"morning peak";1319;"Monday";5
"2017-05-09";"AT223";"morning peak";1262;"Tuesday";5
"2017-05-10";"AT223";"morning peak";1296;"Wednesday";5
"2017-05-11";"AT223";"morning peak";1268;"Thursday";5
"2017-05-12";"AT223";"morning peak";1322;"Friday";5
"2017-05-15";"AT223";"morning peak";1262;"Monday";5
"2017-05-16";"AT223";"morning peak";1268;"Tuesday";5
"2017-05-17";"AT223";"morning peak";1323;"Wednesday";5
"2017-05-18";"AT223";"morning peak";1196;"Thursday";5
"2017-05-19";"AT223";"morning peak";1254;"Friday";5
"2017-05-22";"AT223";"morning peak";1284;"Monday";5
"2017-05-23";"AT223";"morning peak";1276;"Tuesday";5
"2017-05-24";"AT223";"morning peak";1263;"Wednesday";5
"2017-05-25";"AT223";"morning peak";1242;"Thursday";5
"2017-05-26";"AT223";"morning peak";1267;"Friday";5
"2017-05-29";"AT223";"morning peak";1176;"Monday";5
"2017-05-30";"AT223";"morning peak";1234;"Tuesday";5
"2017-05-31";"AT223";"morning peak";1272;"Wednesday";5
"2017-06-01";"AT223";"morning peak";1293;"Thursday";5
"2017-06-02";"AT223";"morning peak";1308;"Friday";6
"2017-06-05";"AT223";"morning peak";1288;"Monday";6
"2017-06-06";"AT223";"morning peak";1292;"Tuesday";6
"2017-06-07";"AT223";"morning peak";1277;"Wednesday";6
"2017-06-08";"AT223";"morning peak";1304;"Thursday";6
"2017-06-09";"AT223";"morning peak";1313;"Friday";6
"2017-06-12";"AT223";"morning peak";1294;"Monday";6
"2017-06-13";"AT223";"morning peak";1281;"Tuesday";6
"2017-06-14";"AT223";"morning peak";1319;"Wednesday";6
"2017-06-15";"AT223";"morning peak";NA;"Thursday";6
"2017-06-16";"AT223";"morning peak";1075;"Friday";6
"2017-06-19";"AT223";"morning peak";1291;"Monday";6
"2017-06-20";"AT223";"morning peak";1276;"Tuesday";6
"2017-06-21";"AT223";"morning peak";1133;"Wednesday";6
"2017-06-22";"AT223";"morning peak";1255;"Thursday";6
"2017-06-23";"AT223";"morning peak";1274;"Friday";6
"2017-06-26";"AT223";"morning peak";1225;"Monday";6
"2017-06-27";"AT223";"morning peak";1207;"Tuesday";6
"2017-06-28";"AT223";"morning peak";1169;"Wednesday";6
"2017-06-29";"AT223";"morning peak";1192;"Thursday";6
"2017-06-30";"AT223";"morning peak";1221;"Friday";6
"2017-07-03";"AT223";"morning peak";1177;"Monday";7
"2017-07-04";"AT223";"morning peak";1176;"Tuesday";7
"2017-07-05";"AT223";"morning peak";1174;"Wednesday";7
"2017-07-06";"AT223";"morning peak";1187;"Thursday";7
"2017-07-07";"AT223";"morning peak";1184;"Friday";7
"2017-07-10";"AT223";"morning peak";1140;"Monday";7
"2017-07-11";"AT223";"morning peak";1132;"Tuesday";7
"2017-07-12";"AT223";"morning peak";1108;"Wednesday";7
"2017-07-13";"AT223";"morning peak";1097;"Thursday";7
"2017-07-14";"AT223";"morning peak";1159;"Friday";7
"2017-07-17";"AT223";"morning peak";1079;"Monday";7
"2017-07-18";"AT223";"morning peak";1121;"Tuesday";7
"2017-07-19";"AT223";"morning peak";1116;"Wednesday";7
"2017-07-20";"AT223";"morning peak";1086;"Thursday";7
"2017-07-21";"AT223";"morning peak";1024;"Friday";7
"2017-07-24";"AT223";"morning peak";1087;"Monday";7
"2017-07-25";"AT223";"morning peak";1118;"Tuesday";7
"2017-07-26";"AT223";"morning peak";1120;"Wednesday";7
"2017-07-27";"AT223";"morning peak";1116;"Thursday";7
"2017-07-28";"AT223";"morning peak";1126;"Friday";7
"2017-07-31";"AT223";"morning peak";1328;"Monday";7
"2017-08-01";"AT223";"morning peak";1270;"Tuesday";7
"2017-08-02";"AT223";"morning peak";1274;"Wednesday";8
"2017-08-03";"AT223";"morning peak";1298;"Thursday";8
"2017-08-04";"AT223";"morning peak";1275;"Friday";8
"2017-08-07";"AT223";"morning peak";1269;"Monday";8
"2017-08-08";"AT223";"morning peak";1337;"Tuesday";8
"2017-08-09";"AT223";"morning peak";1299;"Wednesday";8
