"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"FS023";"morning peak";NA;"Monday";1
"2017-01-03";"FS023";"morning peak";NA;"Tuesday";1
"2017-01-04";"FS023";"morning peak";NA;"Wednesday";1
"2017-01-05";"FS023";"morning peak";NA;"Thursday";1
"2017-01-06";"FS023";"morning peak";NA;"Friday";1
"2017-01-09";"FS023";"morning peak";NA;"Monday";1
"2017-01-10";"FS023";"morning peak";NA;"Tuesday";1
"2017-01-11";"FS023";"morning peak";NA;"Wednesday";1
"2017-01-12";"FS023";"morning peak";NA;"Thursday";1
"2017-01-13";"FS023";"morning peak";NA;"Friday";1
"2017-01-16";"FS023";"morning peak";NA;"Monday";1
"2017-01-17";"FS023";"morning peak";1002;"Tuesday";1
"2017-01-18";"FS023";"morning peak";NA;"Wednesday";1
"2017-01-19";"FS023";"morning peak";NA;"Thursday";1
"2017-01-20";"FS023";"morning peak";940;"Friday";1
"2017-01-23";"FS023";"morning peak";1032;"Monday";1
"2017-01-24";"FS023";"morning peak";NA;"Tuesday";1
"2017-01-25";"FS023";"morning peak";1010;"Wednesday";1
"2017-01-26";"FS023";"morning peak";972;"Thursday";1
"2017-01-27";"FS023";"morning peak";1042;"Friday";1
"2017-01-30";"FS023";"morning peak";NA;"Monday";1
"2017-01-31";"FS023";"morning peak";NA;"Tuesday";1
"2017-02-01";"FS023";"morning peak";NA;"Wednesday";1
"2017-02-02";"FS023";"morning peak";NA;"Thursday";2
"2017-02-03";"FS023";"morning peak";NA;"Friday";2
"2017-02-06";"FS023";"morning peak";1083;"Monday";2
"2017-02-07";"FS023";"morning peak";NA;"Tuesday";2
"2017-02-08";"FS023";"morning peak";NA;"Wednesday";2
"2017-02-09";"FS023";"morning peak";1043;"Thursday";2
"2017-02-10";"FS023";"morning peak";NA;"Friday";2
"2017-02-13";"FS023";"morning peak";NA;"Monday";2
"2017-02-14";"FS023";"morning peak";1004;"Tuesday";2
"2017-02-15";"FS023";"morning peak";NA;"Wednesday";2
"2017-02-16";"FS023";"morning peak";992;"Thursday";2
"2017-02-17";"FS023";"morning peak";NA;"Friday";2
"2017-02-20";"FS023";"morning peak";NA;"Monday";2
"2017-02-21";"FS023";"morning peak";NA;"Tuesday";2
"2017-02-22";"FS023";"morning peak";NA;"Wednesday";2
"2017-02-23";"FS023";"morning peak";1044;"Thursday";2
"2017-02-24";"FS023";"morning peak";1054;"Friday";2
"2017-02-27";"FS023";"morning peak";NA;"Monday";2
"2017-02-28";"FS023";"morning peak";NA;"Tuesday";2
"2017-03-01";"FS023";"morning peak";NA;"Wednesday";2
"2017-03-02";"FS023";"morning peak";1035;"Thursday";3
"2017-03-03";"FS023";"morning peak";NA;"Friday";3
"2017-03-06";"FS023";"morning peak";NA;"Monday";3
"2017-03-07";"FS023";"morning peak";NA;"Tuesday";3
"2017-03-08";"FS023";"morning peak";NA;"Wednesday";3
"2017-03-09";"FS023";"morning peak";NA;"Thursday";3
"2017-03-10";"FS023";"morning peak";NA;"Friday";3
"2017-03-13";"FS023";"morning peak";NA;"Monday";3
"2017-03-14";"FS023";"morning peak";NA;"Tuesday";3
"2017-03-15";"FS023";"morning peak";NA;"Wednesday";3
"2017-03-16";"FS023";"morning peak";NA;"Thursday";3
"2017-03-17";"FS023";"morning peak";NA;"Friday";3
"2017-03-20";"FS023";"morning peak";NA;"Monday";3
"2017-03-21";"FS023";"morning peak";NA;"Tuesday";3
"2017-03-22";"FS023";"morning peak";1043;"Wednesday";3
"2017-03-23";"FS023";"morning peak";NA;"Thursday";3
"2017-03-24";"FS023";"morning peak";NA;"Friday";3
"2017-03-27";"FS023";"morning peak";1038;"Monday";3
"2017-03-28";"FS023";"morning peak";NA;"Tuesday";3
"2017-03-29";"FS023";"morning peak";NA;"Wednesday";3
"2017-03-30";"FS023";"morning peak";NA;"Thursday";3
"2017-03-31";"FS023";"morning peak";999;"Friday";3
"2017-04-03";"FS023";"morning peak";NA;"Monday";4
"2017-04-04";"FS023";"morning peak";NA;"Tuesday";4
"2017-04-05";"FS023";"morning peak";NA;"Wednesday";4
"2017-04-06";"FS023";"morning peak";1017;"Thursday";4
"2017-04-07";"FS023";"morning peak";NA;"Friday";4
"2017-04-10";"FS023";"morning peak";NA;"Monday";4
"2017-04-11";"FS023";"morning peak";NA;"Tuesday";4
"2017-04-12";"FS023";"morning peak";NA;"Wednesday";4
"2017-04-13";"FS023";"morning peak";NA;"Thursday";4
"2017-04-14";"FS023";"morning peak";NA;"Friday";4
"2017-04-17";"FS023";"morning peak";NA;"Monday";4
"2017-04-18";"FS023";"morning peak";NA;"Tuesday";4
"2017-04-19";"FS023";"morning peak";NA;"Wednesday";4
"2017-04-20";"FS023";"morning peak";NA;"Thursday";4
"2017-04-21";"FS023";"morning peak";NA;"Friday";4
"2017-04-24";"FS023";"morning peak";1075;"Monday";4
"2017-04-25";"FS023";"morning peak";1060;"Tuesday";4
"2017-04-26";"FS023";"morning peak";NA;"Wednesday";4
"2017-04-27";"FS023";"morning peak";NA;"Thursday";4
"2017-04-28";"FS023";"morning peak";NA;"Friday";4
"2017-05-01";"FS023";"morning peak";NA;"Monday";4
"2017-05-02";"FS023";"morning peak";NA;"Tuesday";5
"2017-05-03";"FS023";"morning peak";NA;"Wednesday";5
"2017-05-04";"FS023";"morning peak";NA;"Thursday";5
"2017-05-05";"FS023";"morning peak";NA;"Friday";5
"2017-05-08";"FS023";"morning peak";NA;"Monday";5
"2017-05-09";"FS023";"morning peak";NA;"Tuesday";5
"2017-05-10";"FS023";"morning peak";NA;"Wednesday";5
"2017-05-11";"FS023";"morning peak";NA;"Thursday";5
"2017-05-12";"FS023";"morning peak";NA;"Friday";5
"2017-05-15";"FS023";"morning peak";NA;"Monday";5
"2017-05-16";"FS023";"morning peak";NA;"Tuesday";5
"2017-05-17";"FS023";"morning peak";NA;"Wednesday";5
"2017-05-18";"FS023";"morning peak";NA;"Thursday";5
"2017-05-19";"FS023";"morning peak";NA;"Friday";5
"2017-05-22";"FS023";"morning peak";NA;"Monday";5
"2017-05-23";"FS023";"morning peak";NA;"Tuesday";5
"2017-05-24";"FS023";"morning peak";NA;"Wednesday";5
"2017-05-25";"FS023";"morning peak";NA;"Thursday";5
"2017-05-26";"FS023";"morning peak";NA;"Friday";5
"2017-05-29";"FS023";"morning peak";NA;"Monday";5
"2017-05-30";"FS023";"morning peak";NA;"Tuesday";5
"2017-05-31";"FS023";"morning peak";NA;"Wednesday";5
"2017-06-01";"FS023";"morning peak";NA;"Thursday";5
"2017-06-02";"FS023";"morning peak";NA;"Friday";6
"2017-06-05";"FS023";"morning peak";NA;"Monday";6
"2017-06-06";"FS023";"morning peak";NA;"Tuesday";6
"2017-06-07";"FS023";"morning peak";NA;"Wednesday";6
"2017-06-08";"FS023";"morning peak";926;"Thursday";6
"2017-06-09";"FS023";"morning peak";965;"Friday";6
"2017-06-12";"FS023";"morning peak";1100;"Monday";6
"2017-06-13";"FS023";"morning peak";NA;"Tuesday";6
"2017-06-14";"FS023";"morning peak";NA;"Wednesday";6
"2017-06-15";"FS023";"morning peak";NA;"Thursday";6
"2017-06-16";"FS023";"morning peak";NA;"Friday";6
"2017-06-19";"FS023";"morning peak";1111;"Monday";6
"2017-06-20";"FS023";"morning peak";NA;"Tuesday";6
"2017-06-21";"FS023";"morning peak";1096;"Wednesday";6
"2017-06-22";"FS023";"morning peak";1035;"Thursday";6
"2017-06-23";"FS023";"morning peak";1082;"Friday";6
"2017-06-26";"FS023";"morning peak";1006;"Monday";6
"2017-06-27";"FS023";"morning peak";NA;"Tuesday";6
"2017-06-28";"FS023";"morning peak";NA;"Wednesday";6
"2017-06-29";"FS023";"morning peak";1029;"Thursday";6
"2017-06-30";"FS023";"morning peak";1030;"Friday";6
"2017-07-03";"FS023";"morning peak";NA;"Monday";7
"2017-07-04";"FS023";"morning peak";924;"Tuesday";7
"2017-07-05";"FS023";"morning peak";NA;"Wednesday";7
"2017-07-06";"FS023";"morning peak";942;"Thursday";7
"2017-07-07";"FS023";"morning peak";930;"Friday";7
"2017-07-10";"FS023";"morning peak";980;"Monday";7
"2017-07-11";"FS023";"morning peak";NA;"Tuesday";7
"2017-07-12";"FS023";"morning peak";975;"Wednesday";7
"2017-07-13";"FS023";"morning peak";996;"Thursday";7
"2017-07-14";"FS023";"morning peak";NA;"Friday";7
"2017-07-17";"FS023";"morning peak";1040;"Monday";7
"2017-07-18";"FS023";"morning peak";991;"Tuesday";7
"2017-07-19";"FS023";"morning peak";999;"Wednesday";7
"2017-07-20";"FS023";"morning peak";971;"Thursday";7
"2017-07-21";"FS023";"morning peak";993;"Friday";7
"2017-07-24";"FS023";"morning peak";1039;"Monday";7
"2017-07-25";"FS023";"morning peak";1002;"Tuesday";7
"2017-07-26";"FS023";"morning peak";911;"Wednesday";7
"2017-07-27";"FS023";"morning peak";1020;"Thursday";7
"2017-07-28";"FS023";"morning peak";NA;"Friday";7
"2017-07-31";"FS023";"morning peak";1121;"Monday";7
"2017-08-01";"FS023";"morning peak";1074;"Tuesday";7
"2017-08-02";"FS023";"morning peak";1038;"Wednesday";8
"2017-08-03";"FS023";"morning peak";1063;"Thursday";8
"2017-08-04";"FS023";"morning peak";1047;"Friday";8
"2017-08-07";"FS023";"morning peak";667;"Monday";8
"2017-08-08";"FS023";"morning peak";1063;"Tuesday";8
"2017-08-09";"FS023";"morning peak";1077;"Wednesday";8
"2017-08-10";"FS023";"morning peak";1062;"Thursday";8
"2017-08-11";"FS023";"morning peak";NA;"Friday";8
"2017-08-14";"FS023";"morning peak";1039;"Monday";8
"2017-08-15";"FS023";"morning peak";639;"Tuesday";8
"2017-08-16";"FS023";"morning peak";1114;"Wednesday";8
"2017-08-17";"FS023";"morning peak";1047;"Thursday";8
"2017-08-18";"FS023";"morning peak";1080;"Friday";8
"2017-08-21";"FS023";"morning peak";1090;"Monday";8
"2017-08-22";"FS023";"morning peak";1074;"Tuesday";8
"2017-08-23";"FS023";"morning peak";1039;"Wednesday";8
"2017-08-24";"FS023";"morning peak";1065;"Thursday";8
"2017-08-25";"FS023";"morning peak";NA;"Friday";8
"2017-08-28";"FS023";"morning peak";NA;"Monday";8
"2017-08-29";"FS023";"morning peak";1062;"Tuesday";8
"2017-08-30";"FS023";"morning peak";868;"Wednesday";8
"2017-08-31";"FS023";"morning peak";601;"Thursday";8
"2017-09-01";"FS023";"morning peak";1049;"Friday";8
"2017-09-04";"FS023";"morning peak";938;"Monday";9
"2017-09-05";"FS023";"morning peak";947;"Tuesday";9
"2017-09-06";"FS023";"morning peak";603;"Wednesday";9
"2017-09-07";"FS023";"morning peak";NA;"Thursday";9
"2017-09-08";"FS023";"morning peak";NA;"Friday";9
"2017-09-11";"FS023";"morning peak";1055;"Monday";9
"2017-09-12";"FS023";"morning peak";1099;"Tuesday";9
"2017-09-13";"FS023";"morning peak";1066;"Wednesday";9
"2017-09-14";"FS023";"morning peak";NA;"Thursday";9
"2017-09-15";"FS023";"morning peak";1056;"Friday";9
"2017-09-18";"FS023";"morning peak";1102;"Monday";9
"2017-09-19";"FS023";"morning peak";1085;"Tuesday";9
"2017-09-20";"FS023";"morning peak";1034;"Wednesday";9
"2017-09-21";"FS023";"morning peak";1062;"Thursday";9
"2017-09-22";"FS023";"morning peak";1049;"Friday";9
"2017-09-25";"FS023";"morning peak";NA;"Monday";9
"2017-09-26";"FS023";"morning peak";1094;"Tuesday";9
"2017-09-27";"FS023";"morning peak";1041;"Wednesday";9
"2017-09-28";"FS023";"morning peak";1041;"Thursday";9
"2017-09-29";"FS023";"morning peak";1090;"Friday";9
"2017-10-02";"FS023";"morning peak";1064;"Monday";10
"2017-10-03";"FS023";"morning peak";1074;"Tuesday";10
"2017-10-04";"FS023";"morning peak";1026;"Wednesday";10
"2017-10-05";"FS023";"morning peak";1097;"Thursday";10
"2017-10-06";"FS023";"morning peak";1104;"Friday";10
"2017-10-09";"FS023";"morning peak";NA;"Monday";10
"2017-10-10";"FS023";"morning peak";969;"Tuesday";10
"2017-10-11";"FS023";"morning peak";NA;"Wednesday";10
"2017-10-12";"FS023";"morning peak";NA;"Thursday";10
"2017-10-13";"FS023";"morning peak";978;"Friday";10
"2017-10-16";"FS023";"morning peak";1027;"Monday";10
"2017-10-17";"FS023";"morning peak";1086;"Tuesday";10
"2017-10-18";"FS023";"morning peak";1092;"Wednesday";10
"2017-10-19";"FS023";"morning peak";1023;"Thursday";10
"2017-10-20";"FS023";"morning peak";1068;"Friday";10
"2017-10-23";"FS023";"morning peak";1054;"Monday";10
"2017-10-24";"FS023";"morning peak";1046;"Tuesday";10
"2017-10-25";"FS023";"morning peak";1045;"Wednesday";10
"2017-10-26";"FS023";"morning peak";NA;"Thursday";10
"2017-10-27";"FS023";"morning peak";1056;"Friday";10
"2017-10-30";"FS023";"morning peak";NA;"Monday";10
"2017-10-31";"FS023";"morning peak";1030;"Tuesday";10
"2017-11-01";"FS023";"morning peak";1121;"Wednesday";10
"2017-11-02";"FS023";"morning peak";NA;"Thursday";11
"2017-11-03";"FS023";"morning peak";962;"Friday";11
"2017-11-06";"FS023";"morning peak";1104;"Monday";11
"2017-11-07";"FS023";"morning peak";NA;"Tuesday";11
"2017-11-08";"FS023";"morning peak";NA;"Wednesday";11
"2017-11-09";"FS023";"morning peak";1051;"Thursday";11
"2017-11-10";"FS023";"morning peak";1007;"Friday";11
"2017-11-13";"FS023";"morning peak";1011;"Monday";11
"2017-11-14";"FS023";"morning peak";1077;"Tuesday";11
"2017-11-15";"FS023";"morning peak";NA;"Wednesday";11
"2017-11-16";"FS023";"morning peak";NA;"Thursday";11
"2017-11-17";"FS023";"morning peak";1064;"Friday";11
"2017-11-20";"FS023";"morning peak";NA;"Monday";11
"2017-11-21";"FS023";"morning peak";1060;"Tuesday";11
"2017-11-22";"FS023";"morning peak";1042;"Wednesday";11
"2017-11-23";"FS023";"morning peak";1040;"Thursday";11
"2017-11-24";"FS023";"morning peak";NA;"Friday";11
"2017-11-27";"FS023";"morning peak";756;"Monday";11
"2017-11-28";"FS023";"morning peak";1068;"Tuesday";11
"2017-11-29";"FS023";"morning peak";996;"Wednesday";11
"2017-11-30";"FS023";"morning peak";NA;"Thursday";11
"2017-12-01";"FS023";"morning peak";1002;"Friday";11
"2017-12-04";"FS023";"morning peak";NA;"Monday";12
"2017-12-05";"FS023";"morning peak";NA;"Tuesday";12
"2017-12-06";"FS023";"morning peak";1002;"Wednesday";12
"2017-12-07";"FS023";"morning peak";1048;"Thursday";12
"2017-12-08";"FS023";"morning peak";1010;"Friday";12
"2017-12-11";"FS023";"morning peak";1058;"Monday";12
"2017-12-12";"FS023";"morning peak";1042;"Tuesday";12
"2017-12-13";"FS023";"morning peak";978;"Wednesday";12
"2017-12-14";"FS023";"morning peak";983;"Thursday";12
"2017-12-15";"FS023";"morning peak";1006;"Friday";12
"2017-12-18";"FS023";"morning peak";604;"Monday";12
"2017-12-19";"FS023";"morning peak";NA;"Tuesday";12
"2017-12-20";"FS023";"morning peak";1035;"Wednesday";12
"2017-12-21";"FS023";"morning peak";1046;"Thursday";12
"2017-12-22";"FS023";"morning peak";1025;"Friday";12
"2017-12-25";"FS023";"morning peak";NA;"Monday";12
"2017-12-26";"FS023";"morning peak";NA;"Tuesday";12
"2017-12-27";"FS023";"morning peak";NA;"Wednesday";12
"2017-12-28";"FS023";"morning peak";NA;"Thursday";12
"2017-12-29";"FS023";"morning peak";NA;"Friday";12
"2017-01-02";"FS023";"midday period";1116;"Monday";1
"2017-01-03";"FS023";"midday period";1096;"Tuesday";1
"2017-01-04";"FS023";"midday period";1054;"Wednesday";1
"2017-01-05";"FS023";"midday period";1101;"Thursday";1
"2017-01-06";"FS023";"midday period";1165;"Friday";1
"2017-01-09";"FS023";"midday period";1127;"Monday";1
"2017-01-10";"FS023";"midday period";1090;"Tuesday";1
"2017-01-11";"FS023";"midday period";1107;"Wednesday";1
"2017-01-12";"FS023";"midday period";1081;"Thursday";1
"2017-01-13";"FS023";"midday period";1167;"Friday";1
"2017-01-16";"FS023";"midday period";1088;"Monday";1
"2017-01-17";"FS023";"midday period";1080;"Tuesday";1
"2017-01-18";"FS023";"midday period";1100;"Wednesday";1
"2017-01-19";"FS023";"midday period";1068;"Thursday";1
"2017-01-20";"FS023";"midday period";1214;"Friday";1
"2017-01-23";"FS023";"midday period";1055;"Monday";1
"2017-01-24";"FS023";"midday period";1073;"Tuesday";1
"2017-01-25";"FS023";"midday period";1060;"Wednesday";1
"2017-01-26";"FS023";"midday period";1075;"Thursday";1
"2017-01-27";"FS023";"midday period";1118;"Friday";1
"2017-01-30";"FS023";"midday period";1087;"Monday";1
"2017-01-31";"FS023";"midday period";1074;"Tuesday";1
"2017-02-01";"FS023";"midday period";1052;"Wednesday";1
"2017-02-02";"FS023";"midday period";NA;"Thursday";2
"2017-02-03";"FS023";"midday period";1187;"Friday";2
"2017-02-06";"FS023";"midday period";1092;"Monday";2
"2017-02-07";"FS023";"midday period";1106;"Tuesday";2
"2017-02-08";"FS023";"midday period";1095;"Wednesday";2
"2017-02-09";"FS023";"midday period";1056;"Thursday";2
"2017-02-10";"FS023";"midday period";1148;"Friday";2
"2017-02-13";"FS023";"midday period";1042;"Monday";2
"2017-02-14";"FS023";"midday period";1083;"Tuesday";2
"2017-02-15";"FS023";"midday period";1081;"Wednesday";2
"2017-02-16";"FS023";"midday period";1050;"Thursday";2
"2017-02-17";"FS023";"midday period";1195;"Friday";2
"2017-02-20";"FS023";"midday period";1054;"Monday";2
"2017-02-21";"FS023";"midday period";1086;"Tuesday";2
"2017-02-22";"FS023";"midday period";1070;"Wednesday";2
"2017-02-23";"FS023";"midday period";1142;"Thursday";2
"2017-02-24";"FS023";"midday period";NA;"Friday";2
"2017-02-27";"FS023";"midday period";NA;"Monday";2
"2017-02-28";"FS023";"midday period";NA;"Tuesday";2
"2017-03-01";"FS023";"midday period";NA;"Wednesday";2
"2017-03-02";"FS023";"midday period";1098;"Thursday";3
"2017-03-03";"FS023";"midday period";1177;"Friday";3
"2017-03-06";"FS023";"midday period";1116;"Monday";3
"2017-03-07";"FS023";"midday period";1095;"Tuesday";3
"2017-03-08";"FS023";"midday period";1107;"Wednesday";3
"2017-03-09";"FS023";"midday period";NA;"Thursday";3
"2017-03-10";"FS023";"midday period";NA;"Friday";3
"2017-03-13";"FS023";"midday period";1135;"Monday";3
"2017-03-14";"FS023";"midday period";1060;"Tuesday";3
"2017-03-15";"FS023";"midday period";1067;"Wednesday";3
"2017-03-16";"FS023";"midday period";1040;"Thursday";3
"2017-03-17";"FS023";"midday period";1156;"Friday";3
"2017-03-20";"FS023";"midday period";NA;"Monday";3
"2017-03-21";"FS023";"midday period";1048;"Tuesday";3
"2017-03-22";"FS023";"midday period";1031;"Wednesday";3
"2017-03-23";"FS023";"midday period";1105;"Thursday";3
"2017-03-24";"FS023";"midday period";1103;"Friday";3
"2017-03-27";"FS023";"midday period";1019;"Monday";3
"2017-03-28";"FS023";"midday period";1064;"Tuesday";3
"2017-03-29";"FS023";"midday period";1085;"Wednesday";3
"2017-03-30";"FS023";"midday period";NA;"Thursday";3
"2017-03-31";"FS023";"midday period";1210;"Friday";3
"2017-04-03";"FS023";"midday period";1073;"Monday";4
"2017-04-04";"FS023";"midday period";1069;"Tuesday";4
"2017-04-05";"FS023";"midday period";1131;"Wednesday";4
"2017-04-06";"FS023";"midday period";1118;"Thursday";4
"2017-04-07";"FS023";"midday period";1213;"Friday";4
"2017-04-10";"FS023";"midday period";1089;"Monday";4
"2017-04-11";"FS023";"midday period";1031;"Tuesday";4
